00007ff81c11b2a3 (__TEXT,__text) non-external +[CalAlarm alarm]
00007ff81c120ac2 (__TEXT,__text) non-external +[CalCalendar calendar]
00007ff81c12522e (__TEXT,__text) non-external +[CalCalendarItem sortedAlarms:]
00007ff81c120698 (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportEventsErrorWithCalendarName:]
00007ff81c12088c (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportTasksErrorWithCalendarName:]
00007ff81c1204a1 (__TEXT,__text) non-external +[CalCalendarStore _calendarNotEditableErrorWithCalendarName:isEvent:]
00007ff81c120221 (__TEXT,__text) non-external +[CalCalendarStore _calendarNotFoundWithCalendarName:isEvent:]
00007ff81c11a572 (__TEXT,__text) non-external +[CalCalendarStore _dateFromPotentialNSCalendarDate:]
00007ff81c119f2e (__TEXT,__text) non-external +[CalCalendarStore allocWithZone:]
00007ff81c119e20 (__TEXT,__text) non-external +[CalCalendarStore defaultCalendarStore]
00007ff81c11fabe (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:UID:calendars:]
00007ff81c11a35e (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:calendars:]
00007ff81c11d0c6 (__TEXT,__text) non-external +[CalCalendarStore requestAccessForEntityType:eventStore:]
00007ff81c11cfcb (__TEXT,__text) non-external +[CalCalendarStore setDefaultCalendarStore:]
00007ff81c11fd5f (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithCalendars:]
00007ff81c11fe7a (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithTasksCompletedSince:calendars:]
00007ff81c11ffbe (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasks:]
00007ff81c1200dd (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasksDueBefore:calendars:]
00007ff81c11f912 (__TEXT,__text) non-external +[CalCalendarStore toEKCalendarsFromCalCalendars:]
00007ff81c121b11 (__TEXT,__text) non-external +[CalEvent event]
00007ff81c122282 (__TEXT,__text) non-external +[CalEvent sortedAttendees:]
00007ff81c123dca (__TEXT,__text) non-external +[CalNthWeekDay nthWeekDayWithDayOfTheWeek:weekNumber:]
00007ff81c123e96 (__TEXT,__text) non-external +[CalRecurrenceEnd recurrenceEndWithEndDate:]
00007ff81c123ee3 (__TEXT,__text) non-external +[CalRecurrenceEnd recurrenceEndWithOccurrenceCount:]
00007ff81c1231d6 (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromDate:isDateOnly:isFloating:]
00007ff81c1231b5 (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromRecurrenceType:]
00007ff81c1255c1 (__TEXT,__text) non-external +[CalTask task]
00007ff81c121ade (__TEXT,__text) non-external -[CalAlarm .cxx_destruct]
00007ff81c11c41a (__TEXT,__text) non-external -[CalAlarm absoluteTrigger]
00007ff81c11c430 (__TEXT,__text) non-external -[CalAlarm acknowledged]
00007ff81c11c38c (__TEXT,__text) non-external -[CalAlarm action]
00007ff81c1219d6 (__TEXT,__text) non-external -[CalAlarm copyWithZone:]
00007ff81c11c224 (__TEXT,__text) non-external -[CalAlarm description]
00007ff81c121a48 (__TEXT,__text) non-external -[CalAlarm ekAlarm]
00007ff81c11c3ee (__TEXT,__text) non-external -[CalAlarm emailAddress]
00007ff81c12140a (__TEXT,__text) non-external -[CalAlarm hash]
00007ff81c1211e1 (__TEXT,__text) non-external -[CalAlarm initWithEKAlarm:]
00007ff81c11b2bc (__TEXT,__text) non-external -[CalAlarm init]
00007ff81c121420 (__TEXT,__text) non-external -[CalAlarm isEqual:]
00007ff81c121a7a (__TEXT,__text) non-external -[CalAlarm relatedToString]
00007ff81c121304 (__TEXT,__text) non-external -[CalAlarm relatedTo]
00007ff81c11c404 (__TEXT,__text) non-external -[CalAlarm relativeTrigger]
00007ff81c11b318 (__TEXT,__text) non-external -[CalAlarm setAbsoluteTrigger:]
00007ff81c11b5aa (__TEXT,__text) non-external -[CalAlarm setAcknowledged:]
00007ff81c11b312 (__TEXT,__text) non-external -[CalAlarm setAction:]
00007ff81c121a52 (__TEXT,__text) non-external -[CalAlarm setEkAlarm:]
00007ff81c11b5d6 (__TEXT,__text) non-external -[CalAlarm setEmailAddress:]
00007ff81c121275 (__TEXT,__text) non-external -[CalAlarm setRelatedTo:]
00007ff81c121a84 (__TEXT,__text) non-external -[CalAlarm setRelatedToString:]
00007ff81c11b32e (__TEXT,__text) non-external -[CalAlarm setRelativeTrigger:]
00007ff81c11b5c0 (__TEXT,__text) non-external -[CalAlarm setSound:]
00007ff81c121ab6 (__TEXT,__text) non-external -[CalAlarm setUnsavedRelateToDictionary:]
00007ff81c11b5ec (__TEXT,__text) non-external -[CalAlarm setUrl:]
00007ff81c11c3d8 (__TEXT,__text) non-external -[CalAlarm sound]
00007ff81c12136a (__TEXT,__text) non-external -[CalAlarm triggerDateRelativeTo:]
00007ff81c121aac (__TEXT,__text) non-external -[CalAlarm unsavedRelateToDictionary]
00007ff81c11c3c2 (__TEXT,__text) non-external -[CalAlarm url]
00007ff81c11cfbb (__TEXT,__text) non-external -[CalAttendee .cxx_destruct]
00007ff81c11c97a (__TEXT,__text) non-external -[CalAttendee address]
00007ff81c11c990 (__TEXT,__text) non-external -[CalAttendee commonName]
00007ff81c11cf17 (__TEXT,__text) non-external -[CalAttendee copyWithZone:]
00007ff81c11c8a0 (__TEXT,__text) non-external -[CalAttendee description]
00007ff81c11cf89 (__TEXT,__text) non-external -[CalAttendee ekParticipant]
00007ff81c11cc25 (__TEXT,__text) non-external -[CalAttendee hash]
00007ff81c11cb91 (__TEXT,__text) non-external -[CalAttendee initWithEKParticipant:]
00007ff81c11cc3b (__TEXT,__text) non-external -[CalAttendee isEqual:]
00007ff81c11cf93 (__TEXT,__text) non-external -[CalAttendee setEkParticipant:]
00007ff81c11c9a6 (__TEXT,__text) non-external -[CalAttendee status]
00007ff81c1211d1 (__TEXT,__text) non-external -[CalCalendar .cxx_destruct]
00007ff81c11c1dd (__TEXT,__text) non-external -[CalCalendar color]
00007ff81c121135 (__TEXT,__text) non-external -[CalCalendar copyWithZone:]
00007ff81c11c03b (__TEXT,__text) non-external -[CalCalendar description]
00007ff81c12119f (__TEXT,__text) non-external -[CalCalendar ekCalendar]
00007ff81c120c6a (__TEXT,__text) non-external -[CalCalendar hash]
00007ff81c120bd6 (__TEXT,__text) non-external -[CalCalendar initWithEKCalendar:]
00007ff81c120adb (__TEXT,__text) non-external -[CalCalendar init]
00007ff81c11a348 (__TEXT,__text) non-external -[CalCalendar isEditable]
00007ff81c120c80 (__TEXT,__text) non-external -[CalCalendar isEqual:]
00007ff81c11c192 (__TEXT,__text) non-external -[CalCalendar notes]
00007ff81c11a332 (__TEXT,__text) non-external -[CalCalendar setColor:]
00007ff81c1211a9 (__TEXT,__text) non-external -[CalCalendar setEkCalendar:]
00007ff81c11a31c (__TEXT,__text) non-external -[CalCalendar setNotes:]
00007ff81c11a306 (__TEXT,__text) non-external -[CalCalendar setTitle:]
00007ff81c11c17c (__TEXT,__text) non-external -[CalCalendar title]
00007ff81c11c1f3 (__TEXT,__text) non-external -[CalCalendar type]
00007ff81c11a937 (__TEXT,__text) non-external -[CalCalendar uid]
00007ff81c125599 (__TEXT,__text) non-external -[CalCalendarItem .cxx_destruct]
00007ff81c11b39e (__TEXT,__text) non-external -[CalCalendarItem addAlarm:]
00007ff81c1245e6 (__TEXT,__text) non-external -[CalCalendarItem addAlarms:]
00007ff81c11bd25 (__TEXT,__text) non-external -[CalCalendarItem alarms]
00007ff81c11bcbb (__TEXT,__text) non-external -[CalCalendarItem calendar]
00007ff81c1254cb (__TEXT,__text) non-external -[CalCalendarItem copyWithZone:]
00007ff81c11bc63 (__TEXT,__text) non-external -[CalCalendarItem dateStamp]
00007ff81c11baee (__TEXT,__text) non-external -[CalCalendarItem description]
00007ff81c125535 (__TEXT,__text) non-external -[CalCalendarItem ekCalendarItem]
00007ff81c1245c8 (__TEXT,__text) non-external -[CalCalendarItem hasAlarm]
00007ff81c1254b5 (__TEXT,__text) non-external -[CalCalendarItem hash]
00007ff81c124484 (__TEXT,__text) non-external -[CalCalendarItem initWithEKCalendarItem:]
00007ff81c124a5d (__TEXT,__text) non-external -[CalCalendarItem isEqual:]
00007ff81c1245de (__TEXT,__text) non-external -[CalCalendarItem nextAlarmDate]
00007ff81c11bc8f (__TEXT,__text) non-external -[CalCalendarItem notes]
00007ff81c124712 (__TEXT,__text) non-external -[CalCalendarItem removeAlarm:]
00007ff81c124762 (__TEXT,__text) non-external -[CalCalendarItem removeAlarms:]
00007ff81c12488e (__TEXT,__text) non-external -[CalCalendarItem setAlarms:]
00007ff81c11b495 (__TEXT,__text) non-external -[CalCalendarItem setCalendar:]
00007ff81c12553f (__TEXT,__text) non-external -[CalCalendarItem setEkCalendarItem:]
00007ff81c11aa35 (__TEXT,__text) non-external -[CalCalendarItem setNotes:]
00007ff81c11a94d (__TEXT,__text) non-external -[CalCalendarItem setTitle:]
00007ff81c125571 (__TEXT,__text) non-external -[CalCalendarItem setUnsavedRelateToDictionary:]
00007ff81c11aa4b (__TEXT,__text) non-external -[CalCalendarItem setUrl:]
00007ff81c1251c4 (__TEXT,__text) non-external -[CalCalendarItem sortedAlarms]
00007ff81c11bc79 (__TEXT,__text) non-external -[CalCalendarItem title]
00007ff81c11bc4d (__TEXT,__text) non-external -[CalCalendarItem uid]
00007ff81c125567 (__TEXT,__text) non-external -[CalCalendarItem unsavedRelateToDictionary]
00007ff81c11bca5 (__TEXT,__text) non-external -[CalCalendarItem url]
00007ff81c120ab2 (__TEXT,__text) non-external -[CalCalendarStore .cxx_destruct]
00007ff81c11ed7e (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:]
00007ff81c11ed92 (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:forCalendar:]
00007ff81c11d292 (__TEXT,__text) non-external -[CalCalendarStore calendarWithUID:]
00007ff81c119fd2 (__TEXT,__text) non-external -[CalCalendarStore calendars]
00007ff81c11d279 (__TEXT,__text) non-external -[CalCalendarStore copyWithZone:]
00007ff81c11dc30 (__TEXT,__text) non-external -[CalCalendarStore ekSpanFromCalSpan:]
00007ff81c120a80 (__TEXT,__text) non-external -[CalCalendarStore eventStore]
00007ff81c11d371 (__TEXT,__text) non-external -[CalCalendarStore eventWithUID:occurrence:]
00007ff81c11a6b3 (__TEXT,__text) non-external -[CalCalendarStore eventsWithPredicate:]
00007ff81c11efbc (__TEXT,__text) non-external -[CalCalendarStore generateUntitledTitle]
00007ff81c11d76e (__TEXT,__text) non-external -[CalCalendarStore handleUnsavedRelateToDictionaryWithCalendarItem:]
00007ff81c11d032 (__TEXT,__text) non-external -[CalCalendarStore initWithEventStore:]
00007ff81c11cff7 (__TEXT,__text) non-external -[CalCalendarStore init]
00007ff81c11f793 (__TEXT,__text) non-external -[CalCalendarStore removeCalendar:error:]
00007ff81c11e223 (__TEXT,__text) non-external -[CalCalendarStore removeEvent:span:error:]
00007ff81c11eada (__TEXT,__text) non-external -[CalCalendarStore removeTask:error:]
00007ff81c11f0cd (__TEXT,__text) non-external -[CalCalendarStore saveCalendar:error:]
00007ff81c11dc4c (__TEXT,__text) non-external -[CalCalendarStore saveEvent:span:error:]
00007ff81c11e605 (__TEXT,__text) non-external -[CalCalendarStore saveTask:error:]
00007ff81c120a8a (__TEXT,__text) non-external -[CalCalendarStore setEventStore:]
00007ff81c11d68f (__TEXT,__text) non-external -[CalCalendarStore taskWithUID:]
00007ff81c11d46b (__TEXT,__text) non-external -[CalCalendarStore tasksWithPredicate:]
00007ff81c122616 (__TEXT,__text) non-external -[CalEvent .cxx_destruct]
00007ff81c11c690 (__TEXT,__text) non-external -[CalEvent attendees]
00007ff81c11b8bb (__TEXT,__text) non-external -[CalEvent compareStartDate:]
00007ff81c11b94c (__TEXT,__text) non-external -[CalEvent description]
00007ff81c121bd3 (__TEXT,__text) non-external -[CalEvent ekEvent]
00007ff81c11c54f (__TEXT,__text) non-external -[CalEvent endDate]
00007ff81c121b2a (__TEXT,__text) non-external -[CalEvent init]
00007ff81c11c59f (__TEXT,__text) non-external -[CalEvent isAllDay]
00007ff81c1223cc (__TEXT,__text) non-external -[CalEvent isDetached]
00007ff81c121bf7 (__TEXT,__text) non-external -[CalEvent isEqual:]
00007ff81c11c4ff (__TEXT,__text) non-external -[CalEvent location]
00007ff81c122411 (__TEXT,__text) non-external -[CalEvent nextAlarmDate]
00007ff81c11c446 (__TEXT,__text) non-external -[CalEvent occurrence]
00007ff81c11c5e4 (__TEXT,__text) non-external -[CalEvent recurrenceRule]
00007ff81c121be5 (__TEXT,__text) non-external -[CalEvent setEKEvent:]
00007ff81c1225de (__TEXT,__text) non-external -[CalEvent setEkEvent:]
00007ff81c11a9cc (__TEXT,__text) non-external -[CalEvent setEndDate:]
00007ff81c11aaca (__TEXT,__text) non-external -[CalEvent setIsAllDay:]
00007ff81c11aa61 (__TEXT,__text) non-external -[CalEvent setLocation:]
00007ff81c11ac26 (__TEXT,__text) non-external -[CalEvent setRecurrenceRule:]
00007ff81c11a963 (__TEXT,__text) non-external -[CalEvent setStartDate:]
00007ff81c122218 (__TEXT,__text) non-external -[CalEvent sortedAttendees]
00007ff81c11ab14 (__TEXT,__text) non-external -[CalEvent startDate]
00007ff81c123e86 (__TEXT,__text) non-external -[CalNthWeekDay .cxx_destruct]
00007ff81c123d60 (__TEXT,__text) non-external -[CalNthWeekDay copyWithZone:]
00007ff81c123e28 (__TEXT,__text) non-external -[CalNthWeekDay dayOfTheWeek]
00007ff81c123bd0 (__TEXT,__text) non-external -[CalNthWeekDay description]
00007ff81c123e54 (__TEXT,__text) non-external -[CalNthWeekDay ekRecurrenceDayOfWeek]
00007ff81c123c8b (__TEXT,__text) non-external -[CalNthWeekDay hash]
00007ff81c123b3c (__TEXT,__text) non-external -[CalNthWeekDay initWithEKRecurrenceDayOfWeek:]
00007ff81c123ca1 (__TEXT,__text) non-external -[CalNthWeekDay isEqual:]
00007ff81c123e5e (__TEXT,__text) non-external -[CalNthWeekDay setEkRecurrenceDayOfWeek:]
00007ff81c123e3e (__TEXT,__text) non-external -[CalNthWeekDay weekNumber]
00007ff81c11cb7e (__TEXT,__text) non-external -[CalPredicate .cxx_destruct]
00007ff81c11caba (__TEXT,__text) non-external -[CalPredicate copyWithZone:]
00007ff81c11a5e8 (__TEXT,__text) non-external -[CalPredicate initWithPredicate:]
00007ff81c11cb10 (__TEXT,__text) non-external -[CalPredicate predicate]
00007ff81c11ca8b (__TEXT,__text) non-external -[CalPredicate setSubpredicate:]
00007ff81c11ca63 (__TEXT,__text) non-external -[CalPredicate subpredicate]
00007ff81c124474 (__TEXT,__text) non-external -[CalRecurrenceEnd .cxx_destruct]
00007ff81c1241d9 (__TEXT,__text) non-external -[CalRecurrenceEnd copyWithZone:]
00007ff81c123f52 (__TEXT,__text) non-external -[CalRecurrenceEnd description]
00007ff81c124442 (__TEXT,__text) non-external -[CalRecurrenceEnd ekRecurrenceEnd]
00007ff81c124416 (__TEXT,__text) non-external -[CalRecurrenceEnd endDate]
00007ff81c124073 (__TEXT,__text) non-external -[CalRecurrenceEnd hash]
00007ff81c124382 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEKRecurrenceEnd:]
00007ff81c124238 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEndDate:]
00007ff81c1242e6 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithOccurrenceCount:]
00007ff81c124089 (__TEXT,__text) non-external -[CalRecurrenceEnd isEqual:]
00007ff81c12442c (__TEXT,__text) non-external -[CalRecurrenceEnd occurrenceCount]
00007ff81c12444c (__TEXT,__text) non-external -[CalRecurrenceEnd setEkRecurrenceEnd:]
00007ff81c123f19 (__TEXT,__text) non-external -[CalRecurrenceEnd usesEndDate]
00007ff81c123b2c (__TEXT,__text) non-external -[CalRecurrenceRule .cxx_destruct]
00007ff81c11ad2e (__TEXT,__text) non-external -[CalRecurrenceRule copyWithZone:]
00007ff81c11aff3 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheMonth]
00007ff81c11add6 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheWeek]
00007ff81c11c9d7 (__TEXT,__text) non-external -[CalRecurrenceRule description]
00007ff81c123afa (__TEXT,__text) non-external -[CalRecurrenceRule ekRecurrenceRule]
00007ff81c123af2 (__TEXT,__text) non-external -[CalRecurrenceRule firstDayOfTheWeek]
00007ff81c122cc8 (__TEXT,__text) non-external -[CalRecurrenceRule hash]
00007ff81c11ab64 (__TEXT,__text) non-external -[CalRecurrenceRule initDailyRecurrenceWithInterval:end:]
00007ff81c1226bd (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:end:]
00007ff81c122874 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:end:]
00007ff81c122782 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDaysOfTheMonth:end:]
00007ff81c11b4e5 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:end:]
00007ff81c11b602 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:forDaysOfTheWeek:end:]
00007ff81c122629 (__TEXT,__text) non-external -[CalRecurrenceRule initWithEKRecurrenceRule:]
00007ff81c1229ad (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:end:]
00007ff81c122b6d (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:forMonthsOfTheYear:end:]
00007ff81c122a72 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forMonthsOfTheYear:end:]
00007ff81c122cde (__TEXT,__text) non-external -[CalRecurrenceRule isEqual:]
00007ff81c11b223 (__TEXT,__text) non-external -[CalRecurrenceRule monthsOfTheYear]
00007ff81c11b009 (__TEXT,__text) non-external -[CalRecurrenceRule nthWeekDaysOfTheMonth]
00007ff81c11b239 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceEnd]
00007ff81c11adc0 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceInterval]
00007ff81c11ad98 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceType]
00007ff81c123b04 (__TEXT,__text) non-external -[CalRecurrenceRule setEkRecurrenceRule:]
00007ff81c1232d9 (__TEXT,__text) non-external -[CalRecurrenceRule stringValueAsDateOnly:isFloating:]
00007ff81c125e5d (__TEXT,__text) non-external -[CalTask .cxx_destruct]
00007ff81c125736 (__TEXT,__text) non-external -[CalTask completedDate]
00007ff81c125ad7 (__TEXT,__text) non-external -[CalTask description]
00007ff81c1257ef (__TEXT,__text) non-external -[CalTask dueDate]
00007ff81c125683 (__TEXT,__text) non-external -[CalTask ekReminder]
00007ff81c1255da (__TEXT,__text) non-external -[CalTask init]
00007ff81c1256a7 (__TEXT,__text) non-external -[CalTask isCompleted]
00007ff81c125bd8 (__TEXT,__text) non-external -[CalTask isEqual:]
00007ff81c125938 (__TEXT,__text) non-external -[CalTask nextAlarmDate]
00007ff81c1258a8 (__TEXT,__text) non-external -[CalTask priority]
00007ff81c125786 (__TEXT,__text) non-external -[CalTask setCompletedDate:]
00007ff81c12583f (__TEXT,__text) non-external -[CalTask setDueDate:]
00007ff81c125695 (__TEXT,__text) non-external -[CalTask setEKReminder:]
00007ff81c125e25 (__TEXT,__text) non-external -[CalTask setEkReminder:]
00007ff81c1256ec (__TEXT,__text) non-external -[CalTask setIsCompleted:]
00007ff81c1258ec (__TEXT,__text) non-external -[CalTask setPriority:]
00007ff81c127358 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00007ff81c12736c (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00007ff81c127380 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00007ff84295a018 (__DATA_CONST,__const) external _CalAlarmActionDisplay
00007ff84295a020 (__DATA_CONST,__const) external _CalAlarmActionEmail
00007ff84295a028 (__DATA_CONST,__const) external _CalAlarmActionProcedure
00007ff84295a030 (__DATA_CONST,__const) external _CalAlarmActionSound
00007ff842959ea8 (__DATA_CONST,__const) external _CalAttendeeStatusAccepted
00007ff842959ec8 (__DATA_CONST,__const) external _CalAttendeeStatusCompleted
00007ff842959eb0 (__DATA_CONST,__const) external _CalAttendeeStatusDeclined
00007ff842959ec0 (__DATA_CONST,__const) external _CalAttendeeStatusDelegated
00007ff842959ed0 (__DATA_CONST,__const) external _CalAttendeeStatusInProcess
00007ff842959ea0 (__DATA_CONST,__const) external _CalAttendeeStatusNeedsAction
00007ff842959eb8 (__DATA_CONST,__const) external _CalAttendeeStatusTentative
00007ff842959f70 (__DATA_CONST,__const) external _CalCalendarStoreErrorDomain
00007ff842959fa8 (__DATA_CONST,__const) external _CalCalendarTypeBirthday
00007ff842959fb0 (__DATA_CONST,__const) external _CalCalendarTypeCalDAV
00007ff842959fd0 (__DATA_CONST,__const) external _CalCalendarTypeExchange
00007ff842959fb8 (__DATA_CONST,__const) external _CalCalendarTypeIMAP
00007ff842959fc0 (__DATA_CONST,__const) external _CalCalendarTypeLocal
00007ff842959fc8 (__DATA_CONST,__const) external _CalCalendarTypeSubscription
00007ff842959fd8 (__DATA_CONST,__const) external _CalCalendarTypeSuggestions
00007ff842959fe0 (__DATA_CONST,__const) external _CalCalendarTypeUnknown
00007ff842959f30 (__DATA_CONST,__const) external _CalCalendarsChangedExternallyNotification
00007ff842959f18 (__DATA_CONST,__const) external _CalCalendarsChangedNotification
00007ff81c127570 (__TEXT,__const) external _CalDefaultRecurrenceInterval
00007ff842959f58 (__DATA_CONST,__const) external _CalDeletedRecordsKey
00007ff842959f38 (__DATA_CONST,__const) external _CalEventsChangedExternallyNotification
00007ff842959f20 (__DATA_CONST,__const) external _CalEventsChangedNotification
00007ff842959f48 (__DATA_CONST,__const) external _CalInsertedRecordsKey
00007ff842959f60 (__DATA_CONST,__const) external _CalSenderProcessIDKey
00007ff84295a070 (__DATA_CONST,__const) external _CalStoreAPI_NS_Log
00007ff842959f40 (__DATA_CONST,__const) external _CalTasksChangedExternallyNotification
00007ff842959f28 (__DATA_CONST,__const) external _CalTasksChangedNotification
00007ff842959f50 (__DATA_CONST,__const) external _CalUpdatedRecordsKey
00007ff842959f68 (__DATA_CONST,__const) external _CalUserUIDKey
                 (undefined) external _EKErrorDomain (from EventKit)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
00007ff843ec52f0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalAlarm
00007ff843ec5200 (__DATA,__objc_data) external _OBJC_CLASS_$_CalAttendee
00007ff843ec52a0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendar
