                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff81b79a9cb (__TEXT,__text) external _pcre_assign_jit_stack
00007ff843e60888 (__DATA,__common) external _pcre_callout
00007ff81b777813 (__TEXT,__text) external _pcre_compile
00007ff81b777828 (__TEXT,__text) external _pcre_compile2
00007ff81b7820dc (__TEXT,__text) external _pcre_config
00007ff81b79a6f6 (__TEXT,__text) external _pcre_copy_named_substring
00007ff81b79a69c (__TEXT,__text) external _pcre_copy_substring
00007ff81b782180 (__TEXT,__text) external _pcre_dfa_exec
00007ff81b789500 (__TEXT,__text) external _pcre_exec
00007ff843e60870 (__DATA,__data) external _pcre_free
00007ff81b79c6d8 (__TEXT,__text) external _pcre_free_study
00007ff81b79a9af (__TEXT,__text) external _pcre_free_substring
00007ff81b79a8c8 (__TEXT,__text) external _pcre_free_substring_list
00007ff81b79a164 (__TEXT,__text) external _pcre_fullinfo
00007ff81b79a968 (__TEXT,__text) external _pcre_get_named_substring
00007ff81b79a400 (__TEXT,__text) external _pcre_get_stringnumber
00007ff81b79a4f0 (__TEXT,__text) external _pcre_get_stringtable_entries
00007ff81b79a8d6 (__TEXT,__text) external _pcre_get_substring
00007ff81b79a7ce (__TEXT,__text) external _pcre_get_substring_list
00007ff81b79a9d1 (__TEXT,__text) external _pcre_jit_free_unused_memory
00007ff81b79a9bd (__TEXT,__text) external _pcre_jit_stack_alloc
00007ff81b79a9c5 (__TEXT,__text) external _pcre_jit_stack_free
00007ff81b79a9d7 (__TEXT,__text) external _pcre_maketables
00007ff843e60868 (__DATA,__data) external _pcre_malloc
00007ff81b777610 (__TEXT,__text) external _pcre_pattern_to_host_byte_order
00007ff81b79b2ac (__TEXT,__text) external _pcre_refcount
00007ff843e60880 (__DATA,__data) external _pcre_stack_free
00007ff843e60890 (__DATA,__common) external _pcre_stack_guard
00007ff843e60878 (__DATA,__data) external _pcre_stack_malloc
00007ff81b79b2fc (__TEXT,__text) external _pcre_study
00007ff81b79cc8c (__TEXT,__text) external _pcre_version
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
