
/System/Library/PrivateFrameworks/Hydra.framework/Versions/Current/Libraries/libAlembic.1.7.10.dylib (for architecture x86_64):
                 (undefined) external __Unwind_Resume (from libSystem)
00000000000b21be (__TEXT,__text) external __Z13iex_debugTrapv
00000000000b2475 (__TEXT,__text) external __Z9printBitsPc4half
00000000000b24b6 (__TEXT,__text) external __Z9printBitsPcf
00000000000b2390 (__TEXT,__text) external __Z9printBitsRNSt3__113basic_ostreamIcNS_11char_traitsIcEEEE4half
00000000000b2402 (__TEXT,__text) external __Z9printBitsRNSt3__113basic_ostreamIcNS_11char_traitsIcEEEEf
0000000000114008 (__DATA,__data) weak external __ZGVZNK7Alembic3Abc3v1114IBasePropertyTINSt3__110shared_ptrINS_15AbcCoreAbstract3v1119ArrayPropertyReaderEEEE9getHeaderEvE3phd
0000000000114018 (__DATA,__data) weak external __ZGVZNK7Alembic3Abc3v1114IBasePropertyTINSt3__110shared_ptrINS_15AbcCoreAbstract3v1120ScalarPropertyReaderEEEE9getHeaderEvE3phd
0000000000114048 (__DATA,__data) weak external __ZGVZNK7Alembic3Abc3v1114IBasePropertyTINSt3__110shared_ptrINS_15AbcCoreAbstract3v1122CompoundPropertyReaderEEEE9getHeaderEvE3phd
0000000000114038 (__DATA,__data) weak external __ZGVZNK7Alembic3Abc3v1114OBasePropertyTINSt3__110shared_ptrINS_15AbcCoreAbstract3v1119ArrayPropertyWriterEEEE9getHeaderEvE5g_phd
0000000000114028 (__DATA,__data) weak external __ZGVZNK7Alembic3Abc3v1114OBasePropertyTINSt3__110shared_ptrINS_15AbcCoreAbstract3v1120ScalarPropertyWriterEEEE9getHeaderEvE5g_phd
0000000000107fb0 (__TEXT,__const) external __ZN4half5_eLutE
00000000000b220a (__TEXT,__text) external __ZN4half7convertEi
00000000000c7fb0 (__TEXT,__const) external __ZN4half8_toFloatE
00000000000b21e0 (__TEXT,__text) external __ZN4half8overflowEv
00000000000a15a2 (__TEXT,__text) external __ZN7Alembic11AbcMaterial3v1111addMaterialENS_3Abc3v1117OCompoundPropertyERKNSt3__112basic_stringIcNS5_11char_traitsIcEENS5_9allocatorIcEEEE
00000000000a154a (__TEXT,__text) external __ZN7Alembic11AbcMaterial3v1111addMaterialENS_3Abc3v117OObjectERKNSt3__112basic_stringIcNS5_11char_traitsIcEENS5_9allocatorIcEEEE
00000000000a1179 (__TEXT,__text) external __ZN7Alembic11AbcMaterial3v1111hasMaterialENS_3Abc3v1117ICompoundPropertyERNS1_15IMaterialSchemaERKNSt3__112basic_stringIcNS7_11char_traitsIcEENS7_9allocatorIcEEEE
00000000000a10a8 (__TEXT,__text) external __ZN7Alembic11AbcMaterial3v1111hasMaterialENS_3Abc3v117IObjectERNS1_15IMaterialSchemaERKNSt3__112basic_stringIcNS7_11char_traitsIcEENS7_9allocatorIcEEEE
000000000009f216 (__TEXT,__text) external __ZN7Alembic11AbcMaterial3v1115IMaterialSchema11NetworkNode11getNodeTypeERNSt3__112basic_stringIcNS4_11char_traitsIcEENS4_9allocatorIcEEEE
000000000009f880 (__TEXT,__text) external __ZN7Alembic11AbcMaterial3v1115IMaterialSchema11NetworkNode13getConnectionERKNSt3__112basic_stringIcNS4_11char_traitsIcEENS4_9allocatorIcEEEERSA_SD_
000000000009f814 (__TEXT,__text) external __ZN7Alembic11AbcMaterial3v1115IMaterialSchema11NetworkNode13getConnectionEmRNSt3__112basic_stringIcNS4_11char_traitsIcEENS4_9allocatorIcEEEESB_SB_
000000000009f386 (__TEXT,__text) external __ZN7Alembic11AbcMaterial3v1115IMaterialSchema11NetworkNode13getParametersEv
000000000009f4d6 (__TEXT,__text) external __ZN7Alembic11AbcMaterial3v1115IMaterialSchema11NetworkNode17getNumConnectionsEv
000000000009f74e (__TEXT,__text) external __ZN7Alembic11AbcMaterial3v1115IMaterialSchema11NetworkNode20splitConnectionValueERKNSt3__112basic_stringIcNS4_11char_traitsIcEENS4_9allocatorIcEEEERSA_SD_
000000000009f02c (__TEXT,__text) external __ZN7Alembic11AbcMaterial3v1115IMaterialSchema11NetworkNode5validEv
000000000009f050 (__TEXT,__text) external __ZN7Alembic11AbcMaterial3v1115IMaterialSchema11NetworkNode7getNameEv
000000000009f0a2 (__TEXT,__text) external __ZN7Alembic11AbcMaterial3v1115IMaterialSchema11NetworkNode9getTargetERNSt3__112basic_stringIcNS4_11char_traitsIcEENS4_9allocatorIcEEEE
