000000018c744348 (__TEXT,__const) non-external _KW_ANY
000000018c7442cd (__TEXT,__const) non-external _KW_ATTLIST
000000018c7442fb (__TEXT,__const) non-external _KW_CDATA
000000018c7442b0 (__TEXT,__const) non-external _KW_DOCTYPE
000000018c7442d5 (__TEXT,__const) non-external _KW_ELEMENT
000000018c744342 (__TEXT,__const) non-external _KW_EMPTY
000000018c744311 (__TEXT,__const) non-external _KW_ENTITIES
000000018c7442c6 (__TEXT,__const) non-external _KW_ENTITY
000000018c74433c (__TEXT,__const) non-external _KW_FIXED
000000018c744301 (__TEXT,__const) non-external _KW_ID
000000018c744304 (__TEXT,__const) non-external _KW_IDREF
000000018c74430a (__TEXT,__const) non-external _KW_IDREFS
000000018c7442ee (__TEXT,__const) non-external _KW_IGNORE
000000018c74432b (__TEXT,__const) non-external _KW_IMPLIED
000000018c7442e6 (__TEXT,__const) non-external _KW_INCLUDE
000000018c744a58 (__TEXT,__const) non-external _KW_ISO_8859_1
000000018c7442f5 (__TEXT,__const) non-external _KW_NDATA
000000018c74431a (__TEXT,__const) non-external _KW_NMTOKEN
000000018c744322 (__TEXT,__const) non-external _KW_NMTOKENS
000000018c7442dd (__TEXT,__const) non-external _KW_NOTATION
000000018c74434c (__TEXT,__const) non-external _KW_PCDATA
000000018c7442bf (__TEXT,__const) non-external _KW_PUBLIC
000000018c744333 (__TEXT,__const) non-external _KW_REQUIRED
000000018c7442b8 (__TEXT,__const) non-external _KW_SYSTEM
000000018c744a63 (__TEXT,__const) non-external _KW_US_ASCII
000000018c744a72 (__TEXT,__const) non-external _KW_UTF_16
000000018c744a79 (__TEXT,__const) non-external _KW_UTF_16BE
000000018c744a82 (__TEXT,__const) non-external _KW_UTF_16LE
000000018c744a6c (__TEXT,__const) non-external _KW_UTF_8
000000018c744a99 (__TEXT,__const) non-external _KW_encoding
000000018c744ab1 (__TEXT,__const) non-external _KW_no
000000018c744aa2 (__TEXT,__const) non-external _KW_standalone
000000018c744a91 (__TEXT,__const) non-external _KW_version
000000018c744aad (__TEXT,__const) non-external _KW_yes
000000018c72cad4 (__TEXT,__text) external _XML_DefaultCurrent
000000018c72cc04 (__TEXT,__text) external _XML_ErrorString
000000018c72cc28 (__TEXT,__text) external _XML_ExpatVersion
000000018c72cc34 (__TEXT,__text) external _XML_ExpatVersionInfo
000000018c72b2a8 (__TEXT,__text) external _XML_ExternalEntityParserCreate
000000018c72ca80 (__TEXT,__text) external _XML_FreeContentModel
000000018c72bfa4 (__TEXT,__text) external _XML_GetBase
000000018c72c3e4 (__TEXT,__text) external _XML_GetBuffer
000000018c72c964 (__TEXT,__text) external _XML_GetCurrentByteCount
000000018c72c940 (__TEXT,__text) external _XML_GetCurrentByteIndex
000000018c72ca28 (__TEXT,__text) external _XML_GetCurrentColumnNumber
000000018c72c9cc (__TEXT,__text) external _XML_GetCurrentLineNumber
000000018c72c92c (__TEXT,__text) external _XML_GetErrorCode
000000018c72cc44 (__TEXT,__text) external _XML_GetFeatureList
00000001d4950d88 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
000000018c72bfc4 (__TEXT,__text) external _XML_GetIdAttributeIndex
000000018c72c98c (__TEXT,__text) external _XML_GetInputContext
000000018c72c904 (__TEXT,__text) external _XML_GetParsingStatus
000000018c743430 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
000000018c72bfb0 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
000000018c72cac0 (__TEXT,__text) external _XML_MemFree
000000018c72ca94 (__TEXT,__text) external _XML_MemMalloc
000000018c72caa8 (__TEXT,__text) external _XML_MemRealloc
000000018c72c1a0 (__TEXT,__text) external _XML_Parse
000000018c72c640 (__TEXT,__text) external _XML_ParseBuffer
000000018c72aa48 (__TEXT,__text) external _XML_ParserCreate
000000018c72aa60 (__TEXT,__text) external _XML_ParserCreateNS
000000018c72aa58 (__TEXT,__text) external _XML_ParserCreate_MM
000000018c72ba58 (__TEXT,__text) external _XML_ParserFree
000000018c72acf8 (__TEXT,__text) external _XML_ParserReset
000000018c72c814 (__TEXT,__text) external _XML_ResumeParser
000000018c72c120 (__TEXT,__text) external _XML_SetAttlistDeclHandler
000000018c72bef4 (__TEXT,__text) external _XML_SetBase
000000018c72cc80 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
000000018c72cc50 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
000000018c72c020 (__TEXT,__text) external _XML_SetCdataSectionHandler
000000018c72bffc (__TEXT,__text) external _XML_SetCharacterDataHandler
000000018c72c014 (__TEXT,__text) external _XML_SetCommentHandler
000000018c72c044 (__TEXT,__text) external _XML_SetDefaultHandler
000000018c72c054 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
