00007ff901305fc0 (__TEXT,__text) non-external +[Calculate _lock]
00007ff901305f09 (__TEXT,__text) non-external +[Calculate _resetGlobals]
00007ff901306083 (__TEXT,__text) non-external +[Calculate _unlock]
00007ff90130c937 (__TEXT,__text) non-external +[Calculate evaluate:options:]
00007ff9013060ed (__TEXT,__text) non-external +[Calculate evaluate:options:needsUpdate:]
00007ff90130c7c5 (__TEXT,__text) non-external +[Calculate evaluate:options:resultHandler:]
00007ff90130ced1 (__TEXT,__text) non-external +[CalculateRequest _lock]
00007ff90130cf09 (__TEXT,__text) non-external +[CalculateRequest _unlock]
00007ff90130cf22 (__TEXT,__text) non-external +[CalculateRequest serialQueue]
00007ff901315c2e (__TEXT,__text) non-external +[CalculateResult decimalNumberWithDecimal128:]
00007ff901315bab (__TEXT,__text) non-external +[CalculateResult defaultNumberFormatter]
00007ff9013161ae (__TEXT,__text) non-external +[CalculateResult preferMeasurementSystemsForLocale:preferred:fallback:]
00007ff901315cd7 (__TEXT,__text) non-external +[CalculateResult resultWithResultTree:parseTree:locales:numberFormatter:unitsInfo:unitType:unitExponent:expression:isTrivial:localizeUnit:unitFormat:autoScientificNotation:flexibleFractionDigits:hasStaleCurrencyData:]
00007ff901310ab5 (__TEXT,__text) non-external +[CalculateTerm termWithValue:units:result:]
00007ff9013168c2 (__TEXT,__text) non-external +[CalculateToken tokenWithType:range:text:ranks:]
00007ff90131aaaa (__TEXT,__text) non-external +[CalculateTokenizer displayNameExponent:]
00007ff90131aa48 (__TEXT,__text) non-external +[CalculateTokenizer prepareString:]
00007ff90131aa5d (__TEXT,__text) non-external +[CalculateTokenizer tokenizerWithUnits:]
00007ff901315a42 (__TEXT,__text) non-external +[CalculateUnit unitWithID:unitsInfo:exponent:]
00007ff901320f7a (__TEXT,__text) non-external +[Converter currencyCacheLastRefreshDate]
00007ff901320f4a (__TEXT,__text) non-external +[Converter dispatchQueue]
00007ff901320ef2 (__TEXT,__text) non-external +[Converter initialize]
00007ff901320fd1 (__TEXT,__text) non-external +[Converter needsRefresh]
00007ff901321069 (__TEXT,__text) non-external +[Converter refreshCurrencyCacheIfNeeded]
00007ff90132101d (__TEXT,__text) non-external +[Converter refreshCurrencyCache]
00007ff9012ef035 (__TEXT,__text) non-external +[CurrencyCache shared]
00007ff9013012d2 (__TEXT,__text) non-external +[Localize availableLocaleNames]
00007ff901301457 (__TEXT,__text) non-external +[Localize formatString:withExponent:formatter:]
00007ff901301329 (__TEXT,__text) non-external +[Localize localizationForLocale:]
00007ff9013017ba (__TEXT,__text) non-external +[Localize localizedStringForKey:value:table:localization:]
00007ff901301894 (__TEXT,__text) non-external +[Localize localizedStringsForTable:localization:]
00007ff9013012a7 (__TEXT,__text) non-external +[Localize mainBundle]
00007ff901301094 (__TEXT,__text) non-external +[Localize systemLocale]
00007ff9013010ad (__TEXT,__text) non-external +[Localize systemLocales]
00007ff901305db5 (__TEXT,__text) non-external +[Trie enumerateCharactersInKey:range:usingBlock:]
00007ff90130542c (__TEXT,__text) non-external +[TrieNode nodeWithTrie:node:offset:]
00007ff901302292 (__TEXT,__text) non-external +[UnitRanks unitRanksWithUnitsInfo:]
00007ff901305045 (__TEXT,__text) non-external +[UnitsInfo shouldSkipUnitName:]
00007ff90130506b (__TEXT,__text) non-external +[UnitsInfo unitsInfoWithDictionary:]
00007ff90130ccb7 (__TEXT,__text) non-external -[CalculateRequest .cxx_destruct]
00007ff90130ca76 (__TEXT,__text) non-external -[CalculateRequest cancel]
00007ff90130cc3a (__TEXT,__text) non-external -[CalculateRequest expression]
00007ff90130cb4d (__TEXT,__text) non-external -[CalculateRequest finish]
00007ff90130cc8b (__TEXT,__text) non-external -[CalculateRequest isCanceled]
00007ff90130cc55 (__TEXT,__text) non-external -[CalculateRequest options]
00007ff90130cc9e (__TEXT,__text) non-external -[CalculateRequest resultHandler]
00007ff90130cc70 (__TEXT,__text) non-external -[CalculateRequest result]
00007ff90130cc44 (__TEXT,__text) non-external -[CalculateRequest setExpression:]
00007ff90130cc95 (__TEXT,__text) non-external -[CalculateRequest setIsCanceled:]
00007ff90130cc5f (__TEXT,__text) non-external -[CalculateRequest setOptions:]
00007ff90130cc7a (__TEXT,__text) non-external -[CalculateRequest setResult:]
00007ff90130cca8 (__TEXT,__text) non-external -[CalculateRequest setResultHandler:]
00007ff90130c982 (__TEXT,__text) non-external -[CalculateRequest update]
00007ff901314b41 (__TEXT,__text) non-external -[CalculateResult .cxx_destruct]
00007ff9013114fe (__TEXT,__text) non-external -[CalculateResult _setConversions:]
00007ff90131167d (__TEXT,__text) non-external -[CalculateResult _setExpression:]
00007ff901311636 (__TEXT,__text) non-external -[CalculateResult _setInputValueAndUnit:]
00007ff90131168e (__TEXT,__text) non-external -[CalculateResult _setTerms:]
00007ff901314a05 (__TEXT,__text) non-external -[CalculateResult autoScientificNotation]
00007ff90131388b (__TEXT,__text) non-external -[CalculateResult availableConversions]
00007ff9013125f4 (__TEXT,__text) non-external -[CalculateResult bestConversion]
00007ff901311938 (__TEXT,__text) non-external -[CalculateResult compare:]
00007ff901312065 (__TEXT,__text) non-external -[CalculateResult conversionsForMetric:US:UK:]
00007ff901314a5c (__TEXT,__text) non-external -[CalculateResult conversions]
00007ff9013144ce (__TEXT,__text) non-external -[CalculateResult convertedTo:]
00007ff9013142a1 (__TEXT,__text) non-external -[CalculateResult convertedTree:needsUpdate:]
00007ff901311884 (__TEXT,__text) non-external -[CalculateResult dealloc]
00007ff901314932 (__TEXT,__text) non-external -[CalculateResult description]
00007ff901311e34 (__TEXT,__text) non-external -[CalculateResult enableMeasurementSystemsForLocale:metric:US:UK:]
00007ff9013149c5 (__TEXT,__text) non-external -[CalculateResult expression]
00007ff901314a18 (__TEXT,__text) non-external -[CalculateResult flexibleFractionDigits]
00007ff901311c4f (__TEXT,__text) non-external -[CalculateResult formattedExpression]
00007ff901311c61 (__TEXT,__text) non-external -[CalculateResult formattedResult]
00007ff901314a66 (__TEXT,__text) non-external -[CalculateResult hasStaleCurrencyData]
00007ff90131180a (__TEXT,__text) non-external -[CalculateResult init]
00007ff901314a52 (__TEXT,__text) non-external -[CalculateResult inputValueAndUnit]
00007ff901312490 (__TEXT,__text) non-external -[CalculateResult isAcceptableConversion:]
00007ff901311bed (__TEXT,__text) non-external -[CalculateResult isEqual:]
00007ff901314a2b (__TEXT,__text) non-external -[CalculateResult isTrivial]
00007ff9013149ea (__TEXT,__text) non-external -[CalculateResult locales]
00007ff901314ad2 (__TEXT,__text) non-external -[CalculateResult localizeUnit]
00007ff90131397d (__TEXT,__text) non-external -[CalculateResult localizedConversions]
00007ff901311fd5 (__TEXT,__text) non-external -[CalculateResult newUnit:]
00007ff9013149cf (__TEXT,__text) non-external -[CalculateResult numberFormatter]
00007ff901314a83 (__TEXT,__text) non-external -[CalculateResult parent]
00007ff901314aaa (__TEXT,__text) non-external -[CalculateResult parseTree]
00007ff901314abe (__TEXT,__text) non-external -[CalculateResult resultTree]
00007ff901314a0f (__TEXT,__text) non-external -[CalculateResult setAutoScientificNotation:]
00007ff901314a22 (__TEXT,__text) non-external -[CalculateResult setFlexibleFractionDigits:]
00007ff9013149f4 (__TEXT,__text) non-external -[CalculateResult setLocales:]
00007ff901314adc (__TEXT,__text) non-external -[CalculateResult setLocalizeUnit:]
00007ff9013149d9 (__TEXT,__text) non-external -[CalculateResult setNumberFormatter:]
00007ff901314a99 (__TEXT,__text) non-external -[CalculateResult setParent:]
00007ff901314ab4 (__TEXT,__text) non-external -[CalculateResult setParseTree:]
00007ff901314ac8 (__TEXT,__text) non-external -[CalculateResult setResultTree:]
00007ff901314b38 (__TEXT,__text) non-external -[CalculateResult setSingleUnitID:]
00007ff901314a7a (__TEXT,__text) non-external -[CalculateResult setSynchronous:]
00007ff901314b1e (__TEXT,__text) non-external -[CalculateResult setTypeInfo:]
00007ff901314aef (__TEXT,__text) non-external -[CalculateResult setUnitFormat:]
00007ff901314b03 (__TEXT,__text) non-external -[CalculateResult setUnitsInfo:]
00007ff901314b2f (__TEXT,__text) non-external -[CalculateResult singleUnitID]
00007ff901314a70 (__TEXT,__text) non-external -[CalculateResult synchronous]
00007ff901314a48 (__TEXT,__text) non-external -[CalculateResult terms]
00007ff901314b14 (__TEXT,__text) non-external -[CalculateResult typeInfo]
00007ff901314a3f (__TEXT,__text) non-external -[CalculateResult unitExponent]
00007ff901314ae5 (__TEXT,__text) non-external -[CalculateResult unitFormat]
00007ff901314a35 (__TEXT,__text) non-external -[CalculateResult unitType]
00007ff901314af9 (__TEXT,__text) non-external -[CalculateResult unitsInfo]
00007ff901310985 (__TEXT,__text) non-external -[CalculateTerm .cxx_destruct]
00007ff90130e53c (__TEXT,__text) non-external -[CalculateTerm _setDecimalValue:]
00007ff90130f481 (__TEXT,__text) non-external -[CalculateTerm _valueWithoutIrrelevantDecimals]
00007ff90131063c (__TEXT,__text) non-external -[CalculateTerm compare:]
00007ff901310969 (__TEXT,__text) non-external -[CalculateTerm decimalValue]
00007ff90131091c (__TEXT,__text) non-external -[CalculateTerm description]
00007ff90130f7af (__TEXT,__text) non-external -[CalculateTerm emptyNumeratorString]
00007ff9013101be (__TEXT,__text) non-external -[CalculateTerm formattedResult]
00007ff90130f9bb (__TEXT,__text) non-external -[CalculateTerm formattedUnitReplacingFirstNumerator:]
00007ff90130f9a7 (__TEXT,__text) non-external -[CalculateTerm formattedUnit]
00007ff90130ee16 (__TEXT,__text) non-external -[CalculateTerm formattedValue]
00007ff90130e918 (__TEXT,__text) non-external -[CalculateTerm getMaximumFractionDigits:minimumFractionDigits:]
00007ff90130e960 (__TEXT,__text) non-external -[CalculateTerm getMaximumFractionDigits:minimumFractionDigits:forValue:]
00007ff90130e4f2 (__TEXT,__text) non-external -[CalculateTerm init]
