00007ff80e667821 (__TEXT,__const) non-external _KW_ANY
00007ff80e667785 (__TEXT,__const) non-external _KW_ATTLIST
00007ff80e6677d4 (__TEXT,__const) non-external _KW_CDATA
00007ff80e667768 (__TEXT,__const) non-external _KW_DOCTYPE
00007ff80e66778d (__TEXT,__const) non-external _KW_ELEMENT
00007ff80e66781b (__TEXT,__const) non-external _KW_EMPTY
00007ff80e6677ea (__TEXT,__const) non-external _KW_ENTITIES
00007ff80e66777e (__TEXT,__const) non-external _KW_ENTITY
00007ff80e667815 (__TEXT,__const) non-external _KW_FIXED
00007ff80e6677da (__TEXT,__const) non-external _KW_ID
00007ff80e6677dd (__TEXT,__const) non-external _KW_IDREF
00007ff80e6677e3 (__TEXT,__const) non-external _KW_IDREFS
00007ff80e6677a6 (__TEXT,__const) non-external _KW_IGNORE
00007ff80e667804 (__TEXT,__const) non-external _KW_IMPLIED
00007ff80e66779e (__TEXT,__const) non-external _KW_INCLUDE
00007ff80e667f30 (__TEXT,__const) non-external _KW_ISO_8859_1
00007ff80e6677ad (__TEXT,__const) non-external _KW_NDATA
00007ff80e6677f3 (__TEXT,__const) non-external _KW_NMTOKEN
00007ff80e6677fb (__TEXT,__const) non-external _KW_NMTOKENS
00007ff80e667795 (__TEXT,__const) non-external _KW_NOTATION
00007ff80e667825 (__TEXT,__const) non-external _KW_PCDATA
00007ff80e667777 (__TEXT,__const) non-external _KW_PUBLIC
00007ff80e66780c (__TEXT,__const) non-external _KW_REQUIRED
00007ff80e667770 (__TEXT,__const) non-external _KW_SYSTEM
00007ff80e667f3b (__TEXT,__const) non-external _KW_US_ASCII
00007ff80e667f4a (__TEXT,__const) non-external _KW_UTF_16
00007ff80e667f51 (__TEXT,__const) non-external _KW_UTF_16BE
00007ff80e667f5a (__TEXT,__const) non-external _KW_UTF_16LE
00007ff80e667f44 (__TEXT,__const) non-external _KW_UTF_8
00007ff80e667f71 (__TEXT,__const) non-external _KW_encoding
00007ff80e667f89 (__TEXT,__const) non-external _KW_no
00007ff80e667f7a (__TEXT,__const) non-external _KW_standalone
00007ff80e667f69 (__TEXT,__const) non-external _KW_version
00007ff80e667f85 (__TEXT,__const) non-external _KW_yes
00007ff80e650f48 (__TEXT,__text) external _XML_DefaultCurrent
00007ff80e651062 (__TEXT,__text) external _XML_ErrorString
00007ff80e651083 (__TEXT,__text) external _XML_ExpatVersion
00007ff80e651090 (__TEXT,__text) external _XML_ExpatVersionInfo
00007ff80e64f4c2 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00007ff80e650eee (__TEXT,__text) external _XML_FreeContentModel
00007ff80e6503ab (__TEXT,__text) external _XML_GetBase
00007ff80e6508aa (__TEXT,__text) external _XML_GetBuffer
00007ff80e650ddd (__TEXT,__text) external _XML_GetCurrentByteCount
00007ff80e650db4 (__TEXT,__text) external _XML_GetCurrentByteIndex
00007ff80e650e98 (__TEXT,__text) external _XML_GetCurrentColumnNumber
00007ff80e650e3f (__TEXT,__text) external _XML_GetCurrentLineNumber
00007ff80e650d9d (__TEXT,__text) external _XML_GetErrorCode
00007ff80e6510a2 (__TEXT,__text) external _XML_GetFeatureList
00007ff8408f5290 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00007ff80e6503d7 (__TEXT,__text) external _XML_GetIdAttributeIndex
00007ff80e650e06 (__TEXT,__text) external _XML_GetInputContext
00007ff80e650d7c (__TEXT,__text) external _XML_GetParsingStatus
00007ff80e667124 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00007ff80e6503c0 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00007ff80e650f33 (__TEXT,__text) external _XML_MemFree
00007ff80e650f03 (__TEXT,__text) external _XML_MemMalloc
00007ff80e650f1a (__TEXT,__text) external _XML_MemRealloc
00007ff80e650672 (__TEXT,__text) external _XML_Parse
00007ff80e650adc (__TEXT,__text) external _XML_ParseBuffer
00007ff80e64eafc (__TEXT,__text) external _XML_ParserCreate
00007ff80e64eb18 (__TEXT,__text) external _XML_ParserCreateNS
00007ff80e64eb0c (__TEXT,__text) external _XML_ParserCreate_MM
00007ff80e64febb (__TEXT,__text) external _XML_ParserFree
00007ff80e64ee32 (__TEXT,__text) external _XML_ParserReset
00007ff80e650ca8 (__TEXT,__text) external _XML_ResumeParser
00007ff80e6505e0 (__TEXT,__text) external _XML_SetAttlistDeclHandler
00007ff80e650304 (__TEXT,__text) external _XML_SetBase
00007ff80e6510e9 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00007ff80e6510af (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00007ff80e650452 (__TEXT,__text) external _XML_SetCdataSectionHandler
00007ff80e65041f (__TEXT,__text) external _XML_SetCharacterDataHandler
00007ff80e650440 (__TEXT,__text) external _XML_SetCommentHandler
00007ff80e65048f (__TEXT,__text) external _XML_SetDefaultHandler
00007ff80e6504a8 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00007ff80e6504c1 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00007ff80e6505ce (__TEXT,__text) external _XML_SetElementDeclHandler
00007ff80e6503ee (__TEXT,__text) external _XML_SetElementHandler
00007ff80e64f411 (__TEXT,__text) external _XML_SetEncoding
00007ff80e65047d (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00007ff80e6504ec (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00007ff80e650410 (__TEXT,__text) external _XML_SetEndElementHandler
00007ff80e65054d (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00007ff80e6505f2 (__TEXT,__text) external _XML_SetEntityDeclHandler
00007ff80e650571 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00007ff80e650583 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00007ff80e65063c (__TEXT,__text) external _XML_SetHashSalt
00007ff80e650522 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00007ff80e65055f (__TEXT,__text) external _XML_SetNotStandaloneHandler
00007ff80e650510 (__TEXT,__text) external _XML_SetNotationDeclHandler
00007ff80e650616 (__TEXT,__text) external _XML_SetParamEntityParsing
00007ff80e65042e (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00007ff80e6502c7 (__TEXT,__text) external _XML_SetReturnNSTriplet
00007ff80e6505a3 (__TEXT,__text) external _XML_SetSkippedEntityHandler
00007ff80e65046b (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00007ff80e6504da (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
00007ff80e650401 (__TEXT,__text) external _XML_SetStartElementHandler
00007ff80e65053b (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00007ff80e6505b5 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00007ff80e6504fe (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00007ff80e6502e9 (__TEXT,__text) external _XML_SetUserData
00007ff80e650604 (__TEXT,__text) external _XML_SetXmlDeclHandler
00007ff80e650c39 (__TEXT,__text) external _XML_StopParser
00007ff80e650299 (__TEXT,__text) external _XML_UseForeignDTD
00007ff80e65028a (__TEXT,__text) external _XML_UseParserAsHandlerArg
00007ff80e65acaa (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00007ff80e65b1f2 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00007ff80e65ac9d (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00007ff80e65b1e5 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00007ff80e65acb7 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00007ff80e65b1ff (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00007ff80e65a731 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00007ff80e65b3f0 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
00007ff80e65adb5 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00007ff80e65b298 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00007ff80e658df4 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
00007ff80e658ed4 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
00007ff80e65a726 (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00007ff80e65a6da (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00007ff80e65a62a (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00007ff80e65a59c (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
