00000001841eeff8 (__TEXT,__text) external _CreateLSTMBreakEngine
00000001841eefb4 (__TEXT,__text) external _CreateLSTMData
00000001841eee44 (__TEXT,__text) external _CreateLSTMDataForScript
00000001841ef198 (__TEXT,__text) external _DeleteLSTMData
00000001841ef1e4 (__TEXT,__text) external _LSTMDataName
00000001841cc96c (__TEXT,__text) external _T_CString_int64ToString
00000001841cc8a0 (__TEXT,__text) external _T_CString_integerToString
00000001841cca3c (__TEXT,__text) external _T_CString_stringToInteger
00000001841cc84c (__TEXT,__text) external _T_CString_toLowerCase
00000001841cc874 (__TEXT,__text) external _T_CString_toUpperCase
00000001842393d4 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
0000000184239140 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
0000000184239018 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
0000000184239280 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
0000000184239948 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00000001842398f0 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
000000018423913c (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
0000000184239914 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
000000018425678c (__TEXT,__text) external _UDataMemory_createNewInstance
                 (undefined) external __DefaultRuneLocale (from libSystem)
000000018425f028 (__TEXT,__text) external __Z15ulocimp_getNamePKcR10UErrorCode
000000018425f0d0 (__TEXT,__text) external __Z15ulocimp_getNamePKcRN3icu8ByteSinkER10UErrorCode
0000000184260574 (__TEXT,__text) external __Z16ulocimp_toBcpKeyNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
000000018425eae4 (__TEXT,__text) external __Z17ulocimp_getParentPKcR10UErrorCode
000000018425eb88 (__TEXT,__text) external __Z17ulocimp_getParentPKcRN3icu8ByteSinkER10UErrorCode
000000018425db3c (__TEXT,__text) external __Z17ulocimp_getRegionPKcR10UErrorCode
000000018425da88 (__TEXT,__text) external __Z17ulocimp_getScriptPKcR10UErrorCode
00000001842606f4 (__TEXT,__text) external __Z17ulocimp_toBcpTypeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
000000018425dca4 (__TEXT,__text) external __Z18ulocimp_getSubtagsPKcPN3icu10CharStringES3_S3_S3_PS0_R10UErrorCode
000000018425de50 (__TEXT,__text) external __Z18ulocimp_getSubtagsPKcPN3icu8ByteSinkES3_S3_S3_PS0_R10UErrorCode
000000018425dbf0 (__TEXT,__text) external __Z18ulocimp_getVariantPKcR10UErrorCode
000000018425f8d0 (__TEXT,__text) external __Z19ulocimp_getBaseNamePKcR10UErrorCode
000000018425f978 (__TEXT,__text) external __Z19ulocimp_getBaseNamePKcRN3icu8ByteSinkER10UErrorCode
000000018425c458 (__TEXT,__text) external __Z19ulocimp_getKeywordsPKccRN3icu8ByteSinkEbR10UErrorCode
000000018425c39c (__TEXT,__text) external __Z19ulocimp_getKeywordsPKccbR10UErrorCode
000000018425d9d4 (__TEXT,__text) external __Z19ulocimp_getLanguagePKcR10UErrorCode
0000000184260634 (__TEXT,__text) external __Z19ulocimp_toLegacyKeyNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
000000018425fa48 (__TEXT,__text) external __Z20ulocimp_canonicalizePKcR10UErrorCode
000000018425faf0 (__TEXT,__text) external __Z20ulocimp_canonicalizePKcRN3icu8ByteSinkER10UErrorCode
00000001842609d0 (__TEXT,__text) external __Z20ulocimp_toLegacyTypeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
0000000184262628 (__TEXT,__text) external __Z21ulocimp_toLanguageTagPKcRN3icu8ByteSinkEbR10UErrorCode
0000000184262574 (__TEXT,__text) external __Z21ulocimp_toLanguageTagPKcbR10UErrorCode
0000000184263870 (__TEXT,__text) external __Z22ulocimp_forLanguageTagPKciPiR10UErrorCode
000000018426392c (__TEXT,__text) external __Z22ulocimp_forLanguageTagPKciRN3icu8ByteSinkEPiR10UErrorCode
000000018425c8e0 (__TEXT,__text) external __Z23ulocimp_getKeywordValuePKcNSt3__117basic_string_viewIcNS1_11char_traitsIcEEEER10UErrorCode
000000018425c99c (__TEXT,__text) external __Z23ulocimp_getKeywordValuePKcNSt3__117basic_string_viewIcNS1_11char_traitsIcEEEERN3icu8ByteSinkER10UErrorCode
00000001841e7600 (__TEXT,__text) external __Z23ulocimp_minimizeSubtagsPKcR10UErrorCode
00000001841e76a8 (__TEXT,__text) external __Z23ulocimp_minimizeSubtagsPKcRN3icu8ByteSinkEbR10UErrorCode
000000018425d7e8 (__TEXT,__text) external __Z23ulocimp_setKeywordValueNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_RN3icu10CharStringER10UErrorCode
000000018425d074 (__TEXT,__text) external __Z23ulocimp_setKeywordValueNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_S3_RN3icu8ByteSinkER10UErrorCode
00000001841e70c8 (__TEXT,__text) external __Z24ulocimp_addLikelySubtagsPKcR10UErrorCode
00000001841e716c (__TEXT,__text) external __Z24ulocimp_addLikelySubtagsPKcRN3icu8ByteSinkER10UErrorCode
000000018425fffc (__TEXT,__text) external __Z28ulocimp_toBcpKeyWithFallbackNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
000000018426011c (__TEXT,__text) external __Z29ulocimp_toBcpTypeWithFallbackNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
000000018428a670 (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
000000018426020c (__TEXT,__text) external __Z31ulocimp_toLegacyKeyWithFallbackNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
000000018440bd98 (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
0000000184260358 (__TEXT,__text) external __Z32ulocimp_toLegacyTypeWithFallbackNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
000000018440c460 (__TEXT,__text) external __Z35uspoof_getBidiSkeletonUnicodeStringPK13USpoofChecker14UBiDiDirectionRKN3icu13UnicodeStringERS4_P10UErrorCode
00000001841e8044 (__TEXT,__text) external __Z36ulocimp_getRegionForSupplementalDataPKcbR10UErrorCode
00000001841e2b1c (__TEXT,__text) external __Z36ulocimp_isCanonicalizedLocaleForTestPKc
00000001841e2b08 (__TEXT,__text) external __Z42ulocimp_getKnownCanonicalizedLocaleForTestRi
00000001841c39d8 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
00000001841c38f4 (__TEXT,__text) external __ZN3icu10Appendable15appendCodePointEi
00000001841c3a9c (__TEXT,__text) external __ZN3icu10Appendable15getAppendBufferEiiPDsiPi
00000001841c3a94 (__TEXT,__text) external __ZN3icu10Appendable21reserveAppendCapacityEi
00000001841c38f0 (__TEXT,__text) external __ZN3icu10AppendableD0Ev
00000001841c38ec (__TEXT,__text) external __ZN3icu10AppendableD1Ev
