00007ff81183ccb4 (__TEXT,__text) external _BNNSAffineGridSample
00007ff81184ffc5 (__TEXT,__text) external _BNNSApplyMultiheadAttention
00007ff811852488 (__TEXT,__text) external _BNNSApplyMultiheadAttentionBackward
00007ff81184a344 (__TEXT,__text) external _BNNSArithmeticFilterApplyBackwardBatch
00007ff811846da8 (__TEXT,__text) external _BNNSArithmeticFilterApplyBatch
00007ff81183cc89 (__TEXT,__text) external _BNNSBandPart
00007ff81153841b (__TEXT,__text) external _BNNSBitTranspose
00007ff811d32c2e (__TEXT,__text) external _BNNSClearNetwork
00007ff81183ed34 (__TEXT,__text) external _BNNSClipByGlobalNorm
00007ff81183e386 (__TEXT,__text) external _BNNSClipByNorm
00007ff81183dbae (__TEXT,__text) external _BNNSClipByValue
00007ff8118661d6 (__TEXT,__text) external _BNNSCompareTensor
00007ff811863ed7 (__TEXT,__text) external _BNNSComputeLSTMTrainingCacheCapacity
00007ff81183f5e1 (__TEXT,__text) external _BNNSComputeNorm
00007ff81183fe52 (__TEXT,__text) external _BNNSComputeNormBackward
00007ff81192a11c (__TEXT,__text) external _BNNSComputeSimilarities
00007ff8116d1f7e (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_D1_d16
00007ff8116d2ae8 (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_D2_d15
00007ff8116d3c02 (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_D3_d14
00007ff8116d1c05 (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_S1_d16
00007ff8116d25cb (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_S2_d15
00007ff8116d3574 (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_S3_d14
00007ff81185510f (__TEXT,__text) external _BNNSCopy
00007ff811835cf0 (__TEXT,__text) external _BNNSCreateNearestNeighbors
00007ff811845694 (__TEXT,__text) external _BNNSCreateRandomGenerator
00007ff8118456ce (__TEXT,__text) external _BNNSCreateRandomGeneratorWithSeed
00007ff81183cc96 (__TEXT,__text) external _BNNSCropResize
00007ff81183cca0 (__TEXT,__text) external _BNNSCropResizeBackward
00007ff811869036 (__TEXT,__text) external _BNNSDataLayoutGetRank
00007ff8115524de (__TEXT,__text) external _BNNSDequantize
00007ff811835f88 (__TEXT,__text) external _BNNSDestroyNearestNeighbors
00007ff8118456d8 (__TEXT,__text) external _BNNSDestroyRandomGenerator
00007ff8118653e5 (__TEXT,__text) external _BNNSDirectApplyActivationBatch
00007ff8118654d4 (__TEXT,__text) external _BNNSDirectApplyBroadcastMatMul
00007ff811863ecd (__TEXT,__text) external _BNNSDirectApplyFullyConnectedBatch
00007ff8118576f4 (__TEXT,__text) external _BNNSDirectApplyInTopK
00007ff811864136 (__TEXT,__text) external _BNNSDirectApplyLSTMBatchBackward
