00007ff841eac3a0 (__DATA,__data) external _NDR_record
00007ff8003a63cd (__TEXT,__text) non-external __Xexception_raise
00007ff8003a64d4 (__TEXT,__text) non-external __Xexception_raise_state
00007ff8003a6658 (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff800398a80 (__TEXT,__text) external _____sigwait_nocancel
00007ff8003b6978 (__TEXT,__const) external ____kernelVersionNumber
00007ff8003b6940 (__TEXT,__const) external ____kernelVersionString
00007ff800398a98 (__TEXT,__text) external ___abort_with_payload
00007ff8003952b4 (__TEXT,__text) external ___accept
00007ff800398ab0 (__TEXT,__text) external ___accept_nocancel
00007ff800398ac8 (__TEXT,__text) external ___access_extended
00007ff800398ae0 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff80039479c (__TEXT,__text) external ___bind
00007ff80039156c (__TEXT,__text) external ___bsdthread_create
00007ff80038fd08 (__TEXT,__text) external ___bsdthread_ctl
00007ff800393020 (__TEXT,__text) external ___bsdthread_register
00007ff8003909b8 (__TEXT,__text) external ___bsdthread_terminate
00007ff800399fad (__TEXT,__text) non-external ___bzero
00007ff800398429 (__TEXT,__text) external ___carbon_delete
00007ff800398af8 (__TEXT,__text) external ___channel_get_info
00007ff800398b10 (__TEXT,__text) external ___channel_get_opt
00007ff800398b28 (__TEXT,__text) external ___channel_open
00007ff800398b40 (__TEXT,__text) external ___channel_set_opt
00007ff800398b58 (__TEXT,__text) external ___channel_sync
00007ff8003914fc (__TEXT,__text) external ___chmod
00007ff800392bb4 (__TEXT,__text) external ___chmod_extended
00007ff80038f9c0 (__TEXT,__text) external ___close_nocancel
00007ff800398b70 (__TEXT,__text) external ___coalition
00007ff800398b88 (__TEXT,__text) external ___coalition_info
00007ff800398ba0 (__TEXT,__text) external ___coalition_ledger
00007ff80038fdd1 (__TEXT,__text) external ___commpage_gettimeofday
00007ff80038fdd8 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff800391c48 (__TEXT,__text) external ___connect
00007ff800391ad0 (__TEXT,__text) external ___connect_nocancel
00007ff800398bb8 (__TEXT,__text) external ___copyfile
00007ff80038eda4 (__TEXT,__text) external ___csrctl
00007ff80039fa27 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff800398bd0 (__TEXT,__text) external ___debug_syscall_reject
00007ff800398be8 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff800398440 (__TEXT,__text) external ___delete
00007ff8003909a0 (__TEXT,__text) external ___disable_threadsignal
00007ff80038ed0a (__TEXT,__text) external ___error
00007ff800398c00 (__TEXT,__text) external ___execve
00007ff8003942e4 (__TEXT,__text) external ___exit
00007ff800391e5c (__TEXT,__text) external ___fchmod
00007ff800392ce8 (__TEXT,__text) external ___fchmod_extended
00007ff80038efac (__TEXT,__text) external ___fcntl
00007ff800391aa0 (__TEXT,__text) external ___fcntl_nocancel
00007ff800394604 (__TEXT,__text) external ___fork
00007ff800398c18 (__TEXT,__text) external ___fs_snapshot
00007ff800392cd0 (__TEXT,__text) external ___fstat64_extended
00007ff800398c30 (__TEXT,__text) external ___fstat_extended
00007ff800398c48 (__TEXT,__text) external ___fsync_nocancel
00007ff800395e17 (__TEXT,__text) external ___get_remove_counter
00007ff80038ed24 (__TEXT,__text) external ___getattrlist
00007ff80038fc90 (__TEXT,__text) external ___getdirentries64
00007ff800392b84 (__TEXT,__text) external ___gethostuuid
00007ff800397f2c (__TEXT,__text) external ___getlogin
00007ff800391d4c (__TEXT,__text) external ___getpeername
00007ff80038e980 (__TEXT,__text) external ___getpid
00007ff8003901a0 (__TEXT,__text) external ___getrlimit
00007ff800398c60 (__TEXT,__text) external ___getsgroups
00007ff8003946a8 (__TEXT,__text) external ___getsockname
00007ff80038fb9c (__TEXT,__text) external ___gettid
00007ff8003915b1 (__TEXT,__text) external ___gettimeofday
00007ff80039159c (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff800398c78 (__TEXT,__text) external ___getwgroups
00007ff800398c90 (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff8003911ec (__TEXT,__text) external ___guarded_open_np
00007ff800398ca8 (__TEXT,__text) external ___identitysvc
00007ff8003913ca (__TEXT,__text) external ___inc_remove_counter
00007ff800397f14 (__TEXT,__text) external ___initgroups
00007ff800391c30 (__TEXT,__text) external ___ioctl
00007ff800391ec0 (__TEXT,__text) external ___iopolicysys
00007ff800398cc0 (__TEXT,__text) external ___kdebug_trace
00007ff80039082c (__TEXT,__text) external ___kdebug_trace64
00007ff800398cd8 (__TEXT,__text) external ___kdebug_trace_string
00007ff800392db8 (__TEXT,__text) external ___kdebug_typefilter
00007ff8003b69e8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff8003b69b0 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff800394d6c (__TEXT,__text) external ___kill
00007ff800393554 (__TEXT,__text) external ___kqueue_workloop_ctl
00007ff800392d48 (__TEXT,__text) external ___lchown
00007ff800392dcd (__TEXT,__text) external ___libkernel_init
00007ff80039a177 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff80039a0c7 (__TEXT,__text) external ___libkernel_init_late
00007ff80039300e (__TEXT,__text) external ___libkernel_platform_init
00007ff80038e976 (__TEXT,__text) external ___libkernel_voucher_init
00007ff80039529c (__TEXT,__text) external ___listen
00007ff800398cf0 (__TEXT,__text) external ___log_data
00007ff80038fa20 (__TEXT,__text) external ___lseek
00007ff800392bcc (__TEXT,__text) external ___lstat64_extended
00007ff800398d08 (__TEXT,__text) external ___lstat_extended
00007ff800398d20 (__TEXT,__text) external ___mac_execve
00007ff800398d38 (__TEXT,__text) external ___mac_get_fd
00007ff800398d50 (__TEXT,__text) external ___mac_get_file
00007ff800398d68 (__TEXT,__text) external ___mac_get_link
00007ff800398d80 (__TEXT,__text) external ___mac_get_mount
00007ff800398d98 (__TEXT,__text) external ___mac_get_pid
00007ff800398db0 (__TEXT,__text) external ___mac_get_proc
00007ff800398dc8 (__TEXT,__text) external ___mac_getfsstat
00007ff800398de0 (__TEXT,__text) external ___mac_mount
00007ff800398df8 (__TEXT,__text) external ___mac_set_fd
00007ff800398e10 (__TEXT,__text) external ___mac_set_file
00007ff800398e28 (__TEXT,__text) external ___mac_set_link
00007ff800395250 (__TEXT,__text) external ___mac_set_proc
00007ff80038fab8 (__TEXT,__text) external ___mac_syscall
00007ff800398e40 (__TEXT,__text) external ___mach_bridge_remote_time
00007ff800398e58 (__TEXT,__text) external ___mach_eventlink_signal
00007ff800398e70 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00007ff800398e88 (__TEXT,__text) external ___mach_eventlink_wait_until
00007ff800398ea0 (__TEXT,__text) external ___map_with_linking_np
00007ff800398eb8 (__TEXT,__text) external ___memorystatus_available_memory
00007ff800398ed0 (__TEXT,__text) external ___microstackshot
00007ff800398ee8 (__TEXT,__text) external ___mkdir_extended
00007ff800398f00 (__TEXT,__text) external ___mkfifo_extended
00007ff80038f098 (__TEXT,__text) external ___mmap
00007ff800391584 (__TEXT,__text) external ___mprotect
00007ff800398f18 (__TEXT,__text) external ___msgctl
00007ff800398f30 (__TEXT,__text) external ___msgrcv_nocancel
00007ff800398f48 (__TEXT,__text) external ___msgsnd_nocancel
00007ff800398f60 (__TEXT,__text) external ___msgsys
00007ff800393508 (__TEXT,__text) external ___msync
00007ff800398f78 (__TEXT,__text) external ___msync_nocancel
00007ff8003912d8 (__TEXT,__text) external ___munmap
00007ff800398f90 (__TEXT,__text) external ___nexus_create
00007ff800398fa8 (__TEXT,__text) external ___nexus_deregister
00007ff800398fc0 (__TEXT,__text) external ___nexus_destroy
00007ff800398fd8 (__TEXT,__text) external ___nexus_get_opt
00007ff800398ff0 (__TEXT,__text) external ___nexus_open
00007ff800399008 (__TEXT,__text) external ___nexus_register
00007ff800399020 (__TEXT,__text) external ___nexus_set_opt
00007ff80038ed54 (__TEXT,__text) external ___open
00007ff800392cb8 (__TEXT,__text) external ___open_dprotected_np
00007ff8003983fc (__TEXT,__text) external ___open_extended
00007ff80038eff4 (__TEXT,__text) external ___open_nocancel
00007ff80038f9d8 (__TEXT,__text) external ___openat
00007ff800399038 (__TEXT,__text) external ___openat_dprotected_np
00007ff800392d78 (__TEXT,__text) external ___openat_nocancel
00007ff841eac468 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00007ff8003a3b97 (__TEXT,__text) external ___os_nexus_flow_add
00007ff8003a3bff (__TEXT,__text) external ___os_nexus_flow_del
00007ff8003a3c67 (__TEXT,__text) external ___os_nexus_get_llink_info
00007ff8003a3a1d (__TEXT,__text) external ___os_nexus_ifattach
00007ff8003a3b02 (__TEXT,__text) external ___os_nexus_ifdetach
00007ff800391658 (__TEXT,__text) external ___persona
00007ff800393520 (__TEXT,__text) external ___pipe
00007ff800399050 (__TEXT,__text) external ___poll_nocancel
00007ff800394078 (__TEXT,__text) external ___posix_spawn
00007ff800399068 (__TEXT,__text) external ___pread_nocancel
00007ff800399080 (__TEXT,__text) external ___preadv_nocancel
00007ff80038f618 (__TEXT,__text) external ___proc_info
00007ff800399098 (__TEXT,__text) external ___proc_info_extended_id
00007ff800394708 (__TEXT,__text) external ___process_policy
00007ff800393350 (__TEXT,__text) external ___pselect
00007ff8003990b0 (__TEXT,__text) external ___pselect_nocancel
00007ff800391128 (__TEXT,__text) external ___psynch_cvbroad
00007ff8003915f4 (__TEXT,__text) external ___psynch_cvclrprepost
00007ff8003921d4 (__TEXT,__text) external ___psynch_cvsignal
00007ff800391110 (__TEXT,__text) external ___psynch_cvwait
