                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018d42cf18 (__TEXT,__text) non-external _au_assemble
000000018d42e714 (__TEXT,__text) external _au_bsm_to_domain
000000018d43ac44 (__TEXT,__text) external _au_bsm_to_errno
000000018d43ad18 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
000000018d43635c (__TEXT,__text) external _au_bsm_to_socket_type
000000018d42d1ac (__TEXT,__text) external _au_close
000000018d42d27c (__TEXT,__text) external _au_close_buffer
000000018d42d360 (__TEXT,__text) external _au_close_token
000000018d42ce30 (__TEXT,__text) external _au_close_with_errors
00000001e7c4679c (__DATA,__bss) non-external _au_cond
000000018d42e6dc (__TEXT,__text) external _au_domain_to_bsm
000000018d43ac08 (__TEXT,__text) external _au_errno_to_bsm
000000018d43ace0 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
000000018d42c9a4 (__TEXT,__text) external _au_fetch_tok
000000018d42cbf4 (__TEXT,__text) external _au_free_token
000000018d436214 (__TEXT,__text) external _au_get_state
000000018d436130 (__TEXT,__text) external _au_notify_initialize
000000018d4361ec (__TEXT,__text) external _au_notify_terminate
000000018d42cc3c (__TEXT,__text) external _au_open
00000001e42deda8 (__DATA_CONST,__const) non-external _au_polstr
000000018d42d818 (__TEXT,__text) external _au_poltostr
000000018d435ee4 (__TEXT,__text) external _au_preselect
000000018d4308cc (__TEXT,__text) external _au_print_flags_tok
000000018d434f5c (__TEXT,__text) external _au_print_tok
000000018d434f74 (__TEXT,__text) external _au_print_tok_xml
000000018d42f038 (__TEXT,__text) external _au_print_xml_footer
000000018d42efdc (__TEXT,__text) external _au_print_xml_header
000000018d434f90 (__TEXT,__text) external _au_read_rec
000000018d43abbc (__TEXT,__text) external _au_sdev_close
000000018d43ac00 (__TEXT,__text) external _au_sdev_fd
000000018d42c54c (__TEXT,__text) external _au_sdev_open
000000018d42c620 (__TEXT,__text) external _au_sdev_read_aia
00000001e42dee98 (__DATA_CONST,__const) non-external _au_sflagsstr
000000018d42d9d8 (__TEXT,__text) external _au_sflagstostr
000000018d436324 (__TEXT,__text) external _au_socket_type_to_bsm
000000018d42e0a8 (__TEXT,__text) non-external _au_spacetobytes
000000018d43ac90 (__TEXT,__text) external _au_strerror
000000018d42d8f0 (__TEXT,__text) external _au_strtopol
000000018d42dab0 (__TEXT,__text) external _au_strtosflags
000000018d42d0f0 (__TEXT,__text) non-external _au_teardown
000000018d436584 (__TEXT,__text) external _au_to_arg
000000018d436364 (__TEXT,__text) external _au_to_arg32
000000018d436464 (__TEXT,__text) external _au_to_arg64
000000018d438870 (__TEXT,__text) external _au_to_certificate_hash
000000018d436588 (__TEXT,__text) external _au_to_data
000000018d438728 (__TEXT,__text) external _au_to_exec_args
000000018d438868 (__TEXT,__text) external _au_to_exec_env
000000018d436688 (__TEXT,__text) external _au_to_exit
000000018d436d0c (__TEXT,__text) external _au_to_file
000000018d436750 (__TEXT,__text) external _au_to_groups
000000018d4390c4 (__TEXT,__text) external _au_to_header
000000018d438fb4 (__TEXT,__text) external _au_to_header32
000000018d438f00 (__TEXT,__text) external _au_to_header32_ex
000000018d438c0c (__TEXT,__text) external _au_to_header32_ex_tm
000000018d438adc (__TEXT,__text) external _au_to_header32_tm
000000018d43903c (__TEXT,__text) external _au_to_header64
000000018d438dac (__TEXT,__text) external _au_to_header64_tm
000000018d4390c8 (__TEXT,__text) external _au_to_header_ex
000000018d43894c (__TEXT,__text) external _au_to_identity
000000018d436830 (__TEXT,__text) external _au_to_in_addr
000000018d4368c0 (__TEXT,__text) external _au_to_in_addr_ex
000000018d43695c (__TEXT,__text) external _au_to_ip
000000018d4369fc (__TEXT,__text) external _au_to_ipc
000000018d436aac (__TEXT,__text) external _au_to_ipc_perm
000000018d436bb8 (__TEXT,__text) external _au_to_iport
000000018d439174 (__TEXT,__text) external _au_to_kevent
000000018d438878 (__TEXT,__text) external _au_to_krb5_principal
000000018d438680 (__TEXT,__text) external _au_to_me
000000018d43675c (__TEXT,__text) external _au_to_newgroups
000000018d436c48 (__TEXT,__text) external _au_to_opaque
000000018d436f04 (__TEXT,__text) external _au_to_path
000000018d437340 (__TEXT,__text) external _au_to_process
000000018d436fd0 (__TEXT,__text) external _au_to_process32
000000018d437344 (__TEXT,__text) external _au_to_process32_ex
000000018d43716c (__TEXT,__text) external _au_to_process64
000000018d437598 (__TEXT,__text) external _au_to_process64_ex
000000018d437820 (__TEXT,__text) external _au_to_process_ex
000000018d4379a4 (__TEXT,__text) external _au_to_return
000000018d437824 (__TEXT,__text) external _au_to_return32
000000018d4378d4 (__TEXT,__text) external _au_to_return64
000000018d4379a8 (__TEXT,__text) external _au_to_seq
000000018d437e30 (__TEXT,__text) external _au_to_sock_inet
000000018d437d80 (__TEXT,__text) external _au_to_sock_inet128
000000018d437ce0 (__TEXT,__text) external _au_to_sock_inet32
000000018d437c04 (__TEXT,__text) external _au_to_sock_unix
000000018d437a48 (__TEXT,__text) external _au_to_socket_ex
000000018d438730 (__TEXT,__text) non-external _au_to_strings
000000018d4381a4 (__TEXT,__text) external _au_to_subject
000000018d437e34 (__TEXT,__text) external _au_to_subject32
000000018d4381a8 (__TEXT,__text) external _au_to_subject32_ex
000000018d437fd0 (__TEXT,__text) external _au_to_subject64
000000018d4383f8 (__TEXT,__text) external _au_to_subject64_ex
000000018d43867c (__TEXT,__text) external _au_to_subject_ex
000000018d436e38 (__TEXT,__text) external _au_to_text
000000018d4390cc (__TEXT,__text) external _au_to_trailer
000000018d438880 (__TEXT,__text) external _au_to_zonename
000000018d4394dc (__TEXT,__text) external _au_user_mask
000000018d42cd90 (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00000001e7c460b0 (__DATA,__bss) non-external _audit_free_q
000000018d43ab14 (__TEXT,__text) external _audit_get_car
000000018d43a7c0 (__TEXT,__text) external _audit_get_class
000000018d4399a8 (__TEXT,__text) external _audit_get_cond
000000018d43ab24 (__TEXT,__text) external _audit_get_ctlmode
000000018d43ab04 (__TEXT,__text) external _audit_get_cwd
000000018d43ab70 (__TEXT,__text) external _audit_get_expire_after
000000018d43a8f0 (__TEXT,__text) external _audit_get_fsize
000000018d43a728 (__TEXT,__text) external _audit_get_kaudit
