                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff81261c1d2 (__TEXT,__text) non-external _au_assemble
00007ff81261d63d (__TEXT,__text) external _au_bsm_to_domain
00007ff8126287dc (__TEXT,__text) external _au_bsm_to_errno
00007ff81262888a (__TEXT,__text) external _au_bsm_to_fcntl_cmd
00007ff81262493e (__TEXT,__text) external _au_bsm_to_socket_type
00007ff81261c408 (__TEXT,__text) external _au_close
00007ff81261c4b9 (__TEXT,__text) external _au_close_buffer
00007ff81261c579 (__TEXT,__text) external _au_close_token
00007ff81261c107 (__TEXT,__text) external _au_close_with_errors
00007ff843769870 (__DATA_DIRTY,__bss) non-external _au_cond
00007ff81261d612 (__TEXT,__text) external _au_domain_to_bsm
00007ff8126287ae (__TEXT,__text) external _au_errno_to_bsm
00007ff81262885f (__TEXT,__text) external _au_fcntl_cmd_to_bsm
00007ff81261bb93 (__TEXT,__text) external _au_fetch_tok
00007ff81261bf1d (__TEXT,__text) external _au_free_token
00007ff81262483d (__TEXT,__text) external _au_get_state
00007ff81262479d (__TEXT,__text) external _au_notify_initialize
00007ff812624824 (__TEXT,__text) external _au_notify_terminate
00007ff81261bf47 (__TEXT,__text) external _au_open
00007ff8414b5e30 (__DATA_CONST,__const) non-external _au_polstr
00007ff81261c9f5 (__TEXT,__text) external _au_poltostr
00007ff81262458d (__TEXT,__text) external _au_preselect
00007ff81261f408 (__TEXT,__text) external _au_print_flags_tok
00007ff81262381c (__TEXT,__text) external _au_print_tok
00007ff812623836 (__TEXT,__text) external _au_print_tok_xml
00007ff81261df01 (__TEXT,__text) external _au_print_xml_footer
00007ff81261dec0 (__TEXT,__text) external _au_print_xml_header
00007ff812623856 (__TEXT,__text) external _au_read_rec
00007ff81262876e (__TEXT,__text) external _au_sdev_close
00007ff8126287a1 (__TEXT,__text) external _au_sdev_fd
00007ff81261b75b (__TEXT,__text) external _au_sdev_open
00007ff81261b82e (__TEXT,__text) external _au_sdev_read_aia
00007ff8414b5f20 (__DATA_CONST,__const) non-external _au_sflagsstr
00007ff81261cb5e (__TEXT,__text) external _au_sflagstostr
00007ff812624913 (__TEXT,__text) external _au_socket_type_to_bsm
00007ff81261d0d7 (__TEXT,__text) non-external _au_spacetobytes
00007ff81262881b (__TEXT,__text) external _au_strerror
00007ff81261ca98 (__TEXT,__text) external _au_strtopol
00007ff81261cbfe (__TEXT,__text) external _au_strtosflags
00007ff81261c370 (__TEXT,__text) non-external _au_teardown
00007ff812624b6a (__TEXT,__text) external _au_to_arg
00007ff812624977 (__TEXT,__text) external _au_to_arg32
00007ff812624a5b (__TEXT,__text) external _au_to_arg64
00007ff812626984 (__TEXT,__text) external _au_to_certificate_hash
00007ff812624b74 (__TEXT,__text) external _au_to_data
00007ff812626844 (__TEXT,__text) external _au_to_exec_args
00007ff812626975 (__TEXT,__text) external _au_to_exec_env
00007ff812624c59 (__TEXT,__text) external _au_to_exit
00007ff812625188 (__TEXT,__text) external _au_to_file
00007ff812624cfc (__TEXT,__text) external _au_to_groups
00007ff81262707d (__TEXT,__text) external _au_to_header
00007ff812626fd7 (__TEXT,__text) external _au_to_header32
00007ff812626f45 (__TEXT,__text) external _au_to_header32_ex
00007ff812626ca5 (__TEXT,__text) external _au_to_header32_ex_tm
00007ff812626baa (__TEXT,__text) external _au_to_header32_tm
00007ff81262702a (__TEXT,__text) external _au_to_header64
00007ff812626e16 (__TEXT,__text) external _au_to_header64_tm
00007ff812627087 (__TEXT,__text) external _au_to_header_ex
00007ff812626a50 (__TEXT,__text) external _au_to_identity
00007ff812624dbc (__TEXT,__text) external _au_to_in_addr
00007ff812624e2a (__TEXT,__text) external _au_to_in_addr_ex
00007ff812624ea1 (__TEXT,__text) external _au_to_ip
00007ff812624f1f (__TEXT,__text) external _au_to_ipc
00007ff812624fab (__TEXT,__text) external _au_to_ipc_perm
00007ff81262507a (__TEXT,__text) external _au_to_iport
00007ff812627113 (__TEXT,__text) external _au_to_kevent
00007ff812626993 (__TEXT,__text) external _au_to_krb5_principal
00007ff8126267bc (__TEXT,__text) external _au_to_me
00007ff812624d0e (__TEXT,__text) external _au_to_newgroups
00007ff8126250e4 (__TEXT,__text) external _au_to_opaque
00007ff81262533e (__TEXT,__text) external _au_to_path
00007ff8126256df (__TEXT,__text) external _au_to_process
00007ff8126253ec (__TEXT,__text) external _au_to_process32
00007ff8126256e9 (__TEXT,__text) external _au_to_process32_ex
00007ff812625542 (__TEXT,__text) external _au_to_process64
00007ff812625905 (__TEXT,__text) external _au_to_process64_ex
00007ff812625b42 (__TEXT,__text) external _au_to_process_ex
00007ff812625c89 (__TEXT,__text) external _au_to_return
00007ff812625b4c (__TEXT,__text) external _au_to_return32
00007ff812625bd8 (__TEXT,__text) external _au_to_return64
00007ff812625c93 (__TEXT,__text) external _au_to_seq
00007ff812626062 (__TEXT,__text) external _au_to_sock_inet
00007ff812625fd4 (__TEXT,__text) external _au_to_sock_inet128
00007ff812625f54 (__TEXT,__text) external _au_to_sock_inet32
00007ff812625e95 (__TEXT,__text) external _au_to_sock_unix
00007ff812625d0d (__TEXT,__text) external _au_to_socket_ex
00007ff812626853 (__TEXT,__text) non-external _au_to_strings
00007ff81262635f (__TEXT,__text) external _au_to_subject
00007ff81262606c (__TEXT,__text) external _au_to_subject32
00007ff812626369 (__TEXT,__text) external _au_to_subject32_ex
00007ff8126261c2 (__TEXT,__text) external _au_to_subject64
00007ff81262657d (__TEXT,__text) external _au_to_subject64_ex
00007ff8126267b2 (__TEXT,__text) external _au_to_subject_ex
00007ff812625290 (__TEXT,__text) external _au_to_text
00007ff812627091 (__TEXT,__text) external _au_to_trailer
00007ff8126269a2 (__TEXT,__text) external _au_to_zonename
00007ff812627422 (__TEXT,__text) external _au_user_mask
00007ff81261c085 (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00007ff843c71178 (__DATA,__bss) non-external _audit_free_q
00007ff8126286f7 (__TEXT,__text) external _audit_get_car
00007ff8126284c7 (__TEXT,__text) external _audit_get_class
00007ff812627a0b (__TEXT,__text) external _audit_get_cond
00007ff81262870c (__TEXT,__text) external _audit_get_ctlmode
00007ff8126286e2 (__TEXT,__text) external _audit_get_cwd
00007ff81262873d (__TEXT,__text) external _audit_get_expire_after
00007ff81262858b (__TEXT,__text) external _audit_get_fsize
00007ff812628465 (__TEXT,__text) external _audit_get_kaudit
00007ff812628529 (__TEXT,__text) external _audit_get_kmask
00007ff81262861e (__TEXT,__text) external _audit_get_pinfo
00007ff81262864f (__TEXT,__text) external _audit_get_pinfo_addr
00007ff8126281c7 (__TEXT,__text) external _audit_get_policy
00007ff8126282fc (__TEXT,__text) external _audit_get_qctrl
00007ff812628295 (__TEXT,__text) external _audit_get_sflags
00007ff8126282d0 (__TEXT,__text) external _audit_get_sflags_mask
00007ff81261beec (__TEXT,__text) external _audit_get_sinfo_addr
00007ff812628680 (__TEXT,__text) external _audit_get_stat
00007ff843c71170 (__DATA,__bss) non-external _audit_rec_count
00007ff81262844e (__TEXT,__text) external _audit_send_trigger
00007ff8126284f8 (__TEXT,__text) external _audit_set_class
00007ff812628160 (__TEXT,__text) external _audit_set_cond
00007ff8126285bc (__TEXT,__text) external _audit_set_fsize
00007ff812628496 (__TEXT,__text) external _audit_set_kaudit
00007ff81262855a (__TEXT,__text) external _audit_set_kmask
00007ff8126285ed (__TEXT,__text) external _audit_set_pmask
00007ff81262822e (__TEXT,__text) external _audit_set_policy
00007ff8126283a5 (__TEXT,__text) external _audit_set_qctrl
00007ff8126282ac (__TEXT,__text) external _audit_set_sflags
00007ff8126282e6 (__TEXT,__text) external _audit_set_sflags_mask
00007ff8126286b1 (__TEXT,__text) external _audit_set_stat
00007ff812627b48 (__TEXT,__text) non-external _audit_set_terminal_host
00007ff812627a72 (__TEXT,__text) external _audit_set_terminal_id
00007ff812627bdf (__TEXT,__text) external _audit_set_terminal_id_ex
00007ff812627aa7 (__TEXT,__text) non-external _audit_set_terminal_port
00007ff8126275aa (__TEXT,__text) external _audit_submit
00007ff81261b6a0 (__TEXT,__text) external _audit_token_to_asid
00007ff81261b6e8 (__TEXT,__text) external _audit_token_to_au32
00007ff81261b6c4 (__TEXT,__text) external _audit_token_to_auid
00007ff81261b6cd (__TEXT,__text) external _audit_token_to_egid
00007ff81261b6b2 (__TEXT,__text) external _audit_token_to_euid
00007ff81261b6a9 (__TEXT,__text) external _audit_token_to_pid
00007ff81261b6df (__TEXT,__text) external _audit_token_to_pidversion
00007ff81261b6d6 (__TEXT,__text) external _audit_token_to_rgid
00007ff81261b6bb (__TEXT,__text) external _audit_token_to_ruid
00007ff812627c14 (__TEXT,__text) external _audit_write
00007ff812627ed7 (__TEXT,__text) external _audit_write_failure
00007ff812627f9c (__TEXT,__text) external _audit_write_failure_ex
