                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff8102215ee (__TEXT,__text) non-external _alone_decode
00007ff8102218a8 (__TEXT,__text) non-external _alone_decoder_end
00007ff8102218c9 (__TEXT,__text) non-external _alone_decoder_memconfig
00007ff81022017b (__TEXT,__text) non-external _alone_encode
00007ff81022023f (__TEXT,__text) non-external _alone_encoder_end
00007ff810220000 (__TEXT,__text) non-external _alone_encoder_init
00007ff81022baca (__TEXT,__text) non-external _arm64_code
00007ff81022eaa9 (__TEXT,__text) non-external _arm_code
00007ff81022eb73 (__TEXT,__text) non-external _armthumb_code
00007ff810221a8f (__TEXT,__text) non-external _auto_decode
00007ff810221bd4 (__TEXT,__text) non-external _auto_decoder_end
00007ff810221bf5 (__TEXT,__text) non-external _auto_decoder_get_check
00007ff8102219b3 (__TEXT,__text) non-external _auto_decoder_init
00007ff810221c0c (__TEXT,__text) non-external _auto_decoder_memconfig
00007ff8102346b0 (__TEXT,__const) non-external _bcj_optmap
00007ff8102202fc (__TEXT,__text) non-external _block_buffer_encode
00007ff810221f18 (__TEXT,__text) non-external _block_decode
00007ff81022219b (__TEXT,__text) non-external _block_decoder_end
00007ff81021aea1 (__TEXT,__text) non-external _block_encode
00007ff8102205ce (__TEXT,__text) non-external _block_encode_normal
00007ff810220730 (__TEXT,__text) non-external _block_encode_uncompressed
00007ff81021f13a (__TEXT,__text) non-external _block_encoder_end
00007ff810219101 (__TEXT,__text) non-external _block_encoder_init
00007ff8102208b1 (__TEXT,__text) non-external _block_encoder_update
00007ff81021df84 (__TEXT,__text) non-external _bt_find_func
00007ff81021bfc8 (__TEXT,__text) non-external _bt_skip_func
                 (undefined) external _clock_gettime (from libSystem)
00007ff81022e400 (__TEXT,__text) non-external _copy_or_code
00007ff810226a95 (__TEXT,__text) non-external _decode_buffer
00007ff8102225db (__TEXT,__text) non-external _decoder_find
00007ff84156c060 (__DATA_CONST,__const) non-external _decoders
00007ff81022dca5 (__TEXT,__text) non-external _delta_coder_end
00007ff81022de84 (__TEXT,__text) non-external _delta_decode
00007ff81022dd16 (__TEXT,__text) non-external _delta_encode
00007ff81022de33 (__TEXT,__text) non-external _delta_encoder_update
00007ff8102346d0 (__TEXT,__const) non-external _delta_optmap
00007ff810219665 (__TEXT,__text) non-external _encoder_find
00007ff84156bdf0 (__DATA_CONST,__const) non-external _encoders
00007ff810230480 (__TEXT,__const) non-external _features
00007ff810227659 (__TEXT,__text) non-external _file_info_decode
00007ff810227d1c (__TEXT,__text) non-external _file_info_decoder_end
00007ff810227d5c (__TEXT,__text) non-external _file_info_decoder_memconfig
00007ff84156c1c0 (__DATA_CONST,__const) non-external _filter_name_map
                 (undefined) external _free (from libSystem)
00007ff81021e0fa (__TEXT,__text) non-external _get_literal_price
00007ff81022f09c (__TEXT,__text) non-external _get_options
00007ff81022fac6 (__TEXT,__text) non-external _get_progress
00007ff81022d649 (__TEXT,__text) non-external _get_thread
00007ff810222e81 (__TEXT,__text) non-external _hash_append
00007ff810224bb2 (__TEXT,__text) non-external _hc_find_func
00007ff81022e86f (__TEXT,__text) non-external _ia64_code
00007ff810236850 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
00007ff81021fb9f (__TEXT,__text) non-external _index_cat_helper
00007ff81022285d (__TEXT,__text) non-external _index_decode
00007ff810222b4c (__TEXT,__text) non-external _index_decoder_end
00007ff810222b71 (__TEXT,__text) non-external _index_decoder_memconfig
00007ff81021e931 (__TEXT,__text) non-external _index_encode
00007ff81021f1e8 (__TEXT,__text) non-external _index_encoder_end
00007ff81021f242 (__TEXT,__text) non-external _index_stream_end
00007ff810218dc7 (__TEXT,__text) non-external _index_tree_append
00007ff81021f1f2 (__TEXT,__text) non-external _index_tree_node_end
00007ff810219de1 (__TEXT,__text) non-external _is_options_valid
00007ff81021ed92 (__TEXT,__text) non-external _iter_set_info
00007ff81021e3d5 (__TEXT,__text) non-external _length
00007ff810219e22 (__TEXT,__text) non-external _length_encoder_reset
00007ff810219ef7 (__TEXT,__text) non-external _length_update_prices
00007ff8102268aa (__TEXT,__text) non-external _lz_decode
00007ff810226a3f (__TEXT,__text) non-external _lz_decoder_end
00007ff81021b0a2 (__TEXT,__text) non-external _lz_encode
00007ff81021f15b (__TEXT,__text) non-external _lz_encoder_end
00007ff81021a0bf (__TEXT,__text) non-external _lz_encoder_prepare
00007ff810224a0c (__TEXT,__text) non-external _lz_encoder_set_out_limit
00007ff8102249b1 (__TEXT,__text) non-external _lz_encoder_update
00007ff810224452 (__TEXT,__text) non-external _lzip_decode
00007ff810224888 (__TEXT,__text) non-external _lzip_decoder_end
00007ff8102248b0 (__TEXT,__text) non-external _lzip_decoder_get_check
00007ff8102248bb (__TEXT,__text) non-external _lzip_decoder_memconfig
00007ff810234650 (__TEXT,__const) non-external _lzma12_mf_map
00007ff810234620 (__TEXT,__const) non-external _lzma12_mode_map
00007ff84156c3a0 (__DATA_CONST,__const) non-external _lzma12_optmap
00007ff81022bcf0 (__TEXT,__text) non-external _lzma2_decode
00007ff81022bffc (__TEXT,__text) non-external _lzma2_decoder_end
00007ff81022bbc9 (__TEXT,__text) non-external _lzma2_decoder_init
00007ff81021b2b0 (__TEXT,__text) non-external _lzma2_encode
00007ff81021f1c0 (__TEXT,__text) non-external _lzma2_encoder_end
00007ff810219945 (__TEXT,__text) non-external _lzma2_encoder_init
00007ff81022ba19 (__TEXT,__text) non-external _lzma2_encoder_options_update
00007ff810230468 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
00007ff810230440 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
00007ff810218ca8 (__TEXT,__text) non-external (was a private external) _lzma_alloc
00007ff81021f35e (__TEXT,__text) non-external (was a private external) _lzma_alloc_zero
00007ff8102218f5 (__TEXT,__text) external _lzma_alone_decoder
00007ff810221504 (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
00007ff81021ffa6 (__TEXT,__text) external _lzma_alone_encoder
00007ff810221954 (__TEXT,__text) external _lzma_auto_decoder
00007ff8102202a4 (__TEXT,__text) external _lzma_block_buffer_bound
00007ff810220260 (__TEXT,__text) non-external (was a private external) _lzma_block_buffer_bound64
00007ff810221c60 (__TEXT,__text) external _lzma_block_buffer_decode
00007ff8102202e8 (__TEXT,__text) external _lzma_block_buffer_encode
00007ff81021f504 (__TEXT,__text) external _lzma_block_compressed_size
00007ff8102221c0 (__TEXT,__text) external _lzma_block_decoder
00007ff810221d8b (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
00007ff8102208cb (__TEXT,__text) external _lzma_block_encoder
00007ff8102192ef (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
00007ff81022221a (__TEXT,__text) external _lzma_block_header_decode
00007ff81021aad6 (__TEXT,__text) external _lzma_block_header_encode
00007ff810219151 (__TEXT,__text) external _lzma_block_header_size
00007ff81021f561 (__TEXT,__text) external _lzma_block_total_size
00007ff8102205ab (__TEXT,__text) external _lzma_block_uncomp_encode
00007ff81021ac11 (__TEXT,__text) external _lzma_block_unpadded_size
00007ff81021aa75 (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
00007ff81022421d (__TEXT,__text) non-external (was a private external) _lzma_check_finish
00007ff81021945a (__TEXT,__text) non-external (was a private external) _lzma_check_init
00007ff81021943c (__TEXT,__text) external _lzma_check_is_supported
00007ff8102305f0 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
00007ff81021e5a8 (__TEXT,__text) external _lzma_check_size
00007ff810230600 (__TEXT,__const) non-external _lzma_check_size.check_sizes
00007ff81021be2c (__TEXT,__text) non-external (was a private external) _lzma_check_update
00007ff81021a4c9 (__TEXT,__text) external _lzma_code
00007ff810220f2d (__TEXT,__text) external _lzma_cputhreads
00007ff810218ead (__TEXT,__text) external _lzma_crc32
00007ff810230610 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
00007ff810224249 (__TEXT,__text) external _lzma_crc64
00007ff810232610 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
00007ff810227f4a (__TEXT,__text) non-external _lzma_decode
00007ff810236730 (__TEXT,__const) non-external _lzma_decode.next_state
00007ff81022b7e6 (__TEXT,__text) non-external _lzma_decoder_init
00007ff81022b52c (__TEXT,__text) non-external _lzma_decoder_reset
00007ff81022b7c2 (__TEXT,__text) non-external _lzma_decoder_uncompressed
00007ff81022db74 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
00007ff81022dcc6 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
00007ff81022de6f (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
00007ff81022dcf6 (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
00007ff81022def9 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
00007ff81022de41 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
00007ff810220927 (__TEXT,__text) external _lzma_easy_buffer_encode
00007ff8102223f1 (__TEXT,__text) external _lzma_easy_decoder_memusage
00007ff8102189e0 (__TEXT,__text) external _lzma_easy_encoder
