00007ff8036546a1 (__TEXT,__text) external _CreateLSTMBreakEngine
00007ff803654663 (__TEXT,__text) external _CreateLSTMData
00007ff803654518 (__TEXT,__text) external _CreateLSTMDataForScript
00007ff803654841 (__TEXT,__text) external _DeleteLSTMData
00007ff803654872 (__TEXT,__text) external _LSTMDataName
00007ff803634e28 (__TEXT,__text) external _T_CString_int64ToString
00007ff803634d89 (__TEXT,__text) external _T_CString_integerToString
00007ff803634eca (__TEXT,__text) external _T_CString_stringToInteger
00007ff803634d29 (__TEXT,__text) external _T_CString_toLowerCase
00007ff803634d59 (__TEXT,__text) external _T_CString_toUpperCase
00007ff80369964d (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00007ff803699405 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
00007ff803699306 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
00007ff803699523 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
00007ff803699bee (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00007ff803699b9c (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00007ff8036993ff (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
00007ff803699bbe (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
00007ff8036b7a70 (__TEXT,__text) external _UDataMemory_createNewInstance
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ff8036e6a05 (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
00007ff80383e029 (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
00007ff80383e683 (__TEXT,__text) external __Z35uspoof_getBidiSkeletonUnicodeStringPK13USpoofChecker14UBiDiDirectionRKN3icu13UnicodeStringERS4_P10UErrorCode
00007ff80362ceb0 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
