00007ff81be59efc (__TEXT,__text) external _ACBSConfigCopy
00007ff81be59f95 (__TEXT,__text) external _ACBSConfigCopySymbologiesEnabled
00007ff81be59e9b (__TEXT,__text) external _ACBSConfigCreate
00007ff81be59ed7 (__TEXT,__text) external _ACBSConfigFree
00007ff81be59fc3 (__TEXT,__text) external _ACBSConfigSetDebuggingEnabled
00007ff81be59fcc (__TEXT,__text) external _ACBSConfigSetFailedLocationsEnabled
00007ff81be59f39 (__TEXT,__text) external _ACBSConfigSetLocateMode
00007ff81be59f4b (__TEXT,__text) external _ACBSConfigSetMaxLinearDecodeScanlines
00007ff81be59f54 (__TEXT,__text) external _ACBSConfigSetMaxLinearDecodeTime
00007ff81be59f27 (__TEXT,__text) external _ACBSConfigSetMaxQRModuleSamples
00007ff81be59f30 (__TEXT,__text) external _ACBSConfigSetMaxQRPatternSets
00007ff81be59fd6 (__TEXT,__text) external _ACBSConfigSetStopsAtFirstPyramidWith2DCode
00007ff81be59f5f (__TEXT,__text) external _ACBSConfigSetSymbologiesEnabled
00007ff81be59f42 (__TEXT,__text) external _ACBSConfigSetWantedLinearDecodeScanlines
00007ff81bde47c0 (__TEXT,__text) external _ACBSCopyAllSupportedBarcodeTypes
00007ff81be59fe0 (__TEXT,__text) external _ACBSCreateFrameInfoBySearchingForBarcodesInCGImage
00007ff81be5a3ce (__TEXT,__text) external _ACBSCreateFrameInfoBySearchingForBarcodesInCVPixelBuffer
00007ff81be5aca7 (__TEXT,__text) external _ACBSCreateSymbolDescriptorFromBasicDescriptor
00007ff81be5ab24 (__TEXT,__text) external _ACBSCreateSymbolDescriptorFromBasicDescriptorWithDefaultPayloadEncoding
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayCreate (from CoreFoundation)
                 (undefined) external _CFArrayCreateCopy (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetFirstIndexOfValue (from CoreFoundation)
                 (undefined) external _CFArrayGetTypeID (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayRemoveValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFBundleCopyResourceURL (from CoreFoundation)
                 (undefined) external _CFBundleCreate (from CoreFoundation)
                 (undefined) external _CFBundleGetBundleWithIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetValueForInfoDictionaryKey (from CoreFoundation)
                 (undefined) external _CFCopyDescription (from CoreFoundation)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateMutable (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetMutableBytePtr (from CoreFoundation)
                 (undefined) external _CFDataSetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryApplyFunction (from CoreFoundation)
                 (undefined) external _CFDictionaryCreate (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateCopy (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutableCopy (from CoreFoundation)
                 (undefined) external _CFDictionaryGetCount (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryRemoveValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFEqual (from CoreFoundation)
                 (undefined) external _CFErrorCopyUserInfo (from CoreFoundation)
                 (undefined) external _CFErrorCreate (from CoreFoundation)
                 (undefined) external _CFErrorGetDomain (from CoreFoundation)
