00007ff841a606e8 (__DATA,__data) non-external _C
00007ff841a62640 (__DATA,__bss) non-external _CF6464
00007ff80026dcd0 (__TEXT,__const) non-external _CIFP
00007ff80026dca0 (__TEXT,__const) non-external _ExpandTr
00007ff841a62630 (__DATA,__bss) non-external _IE3264
00007ff80026dc60 (__TEXT,__const) non-external _IP
00007ff841a625a0 (__DATA,__bss) non-external _KS
00007ff841a3c580 (__DATA_DIRTY,__bss) non-external _NXArgc_pointer
00007ff841a3c578 (__DATA_DIRTY,__bss) non-external _NXArgv_pointer
                 (undefined) external _OSAtomicDequeue (from libsystem_platform)
                 (undefined) external _OSAtomicEnqueue (from libsystem_platform)
00007ff80026dd10 (__TEXT,__const) non-external _P32Tr
00007ff80026dc20 (__TEXT,__const) non-external _PC1
00007ff841a62598 (__DATA,__bss) non-external _PC1ROT
00007ff80026dbe0 (__TEXT,__const) non-external _PC2
00007ff841a62620 (__DATA,__bss) non-external _PC2ROT
00007ff80026dbd0 (__TEXT,__const) non-external _Rotates
00007ff80026dd30 (__TEXT,__const) non-external _S
00007ff841a62638 (__DATA,__bss) non-external _SPE
00007ff800241511 (__TEXT,__text) non-external (was a private external) __BIG5_init
00007ff800241548 (__TEXT,__text) non-external __BIG5_mbrtowc
00007ff80024164f (__TEXT,__text) non-external __BIG5_mbsinit
00007ff800241610 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff841a60820 (__DATA,__data) non-external __C_lconv
00007ff840020da0 (__DATA_CONST,__const) non-external __C_messages_locale
00007ff840020dc0 (__DATA_CONST,__const) non-external __C_monetary_locale
00007ff840020e68 (__DATA_CONST,__const) non-external __C_numeric_locale
00007ff840021080 (__DATA_CONST,__const) non-external __C_time_locale
00007ff841a60970 (__DATA,__data) external __CurrentRuneLocale
00007ff841a60be8 (__DATA,__constrw) external __DefaultRuneLocale
00007ff841a61870 (__DATA,__constrw) non-external (was a private external) __DefaultRuneXLocale
00007ff80024341a (__TEXT,__text) non-external __EUC_free_extra
00007ff8002427b0 (__TEXT,__text) non-external (was a private external) __EUC_init
00007ff800242936 (__TEXT,__text) non-external __EUC_mbrtowc
00007ff800243400 (__TEXT,__text) non-external __EUC_mbsinit
00007ff800242ae3 (__TEXT,__text) non-external __EUC_wcrtomb
