                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
00007ffc10aa25a4 (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffc10aa2d90 (__TEXT,__const) external _libopenpam
00007ffc10aa29ab (__TEXT,__text) external _misc_conv
00007ffc10aa275a (__TEXT,__text) external _pam_acct_mgmt
00007ffc10aa268e (__TEXT,__text) external _pam_authenticate
00007ffc10aa27c0 (__TEXT,__text) external _pam_chauthtok
00007ffc10aa2884 (__TEXT,__text) external _pam_close_session
00007ffc10aa263a (__TEXT,__text) external _pam_end
00007ffc10aa2b51 (__TEXT,__text) external _pam_get_data
00007ffc10aa2946 (__TEXT,__text) external _pam_get_item
00007ffc10aa2cfc (__TEXT,__text) external _pam_get_pass
00007ffc10aa2c20 (__TEXT,__text) external _pam_get_user
00007ffc10aa2ab8 (__TEXT,__text) external _pam_getenv
00007ffc10aa2b07 (__TEXT,__text) external _pam_getenvlist
00007ffc10aa2827 (__TEXT,__text) external _pam_open_session
00007ffc10aa2c85 (__TEXT,__text) external _pam_prompt
00007ffc10aa2a62 (__TEXT,__text) external _pam_putenv
00007ffc10aa2bb6 (__TEXT,__text) external _pam_set_data
00007ffc10aa28e1 (__TEXT,__text) external _pam_set_item
00007ffc10aa26f4 (__TEXT,__text) external _pam_setcred
00007ffc10aa25d0 (__TEXT,__text) external _pam_start
00007ffc10aa2a15 (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ffc10aa2532 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
00007ffc10aa2547 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
00007ffc10aa259c (__TEXT,__text) external _xlate_pam_shim_item_type
00007ffc10aa2579 (__TEXT,__text) external _xlate_pam_shim_retval
00007ffc10aa255c (__TEXT,__text) external _xlate_pam_shim_session_flags
00007ffc10aa256c (__TEXT,__text) external _xlate_pam_shim_setcred_flags
