                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff8153b2dbd (__TEXT,__text) external _pcre_assign_jit_stack
00007ff8428f8470 (__DATA,__common) external _pcre_callout
00007ff81538f2a3 (__TEXT,__text) external _pcre_compile
00007ff81538f2b8 (__TEXT,__text) external _pcre_compile2
00007ff815399b2c (__TEXT,__text) external _pcre_config
00007ff8153b2b06 (__TEXT,__text) external _pcre_copy_named_substring
00007ff8153b2aac (__TEXT,__text) external _pcre_copy_substring
00007ff815399bd0 (__TEXT,__text) external _pcre_dfa_exec
00007ff8153a1560 (__TEXT,__text) external _pcre_exec
00007ff8428f8458 (__DATA,__data) external _pcre_free
00007ff8153b4a28 (__TEXT,__text) external _pcre_free_study
00007ff8153b2da1 (__TEXT,__text) external _pcre_free_substring
00007ff8153b2cbc (__TEXT,__text) external _pcre_free_substring_list
00007ff8153b256c (__TEXT,__text) external _pcre_fullinfo
00007ff8153b2d5a (__TEXT,__text) external _pcre_get_named_substring
00007ff8153b2800 (__TEXT,__text) external _pcre_get_stringnumber
00007ff8153b28f1 (__TEXT,__text) external _pcre_get_stringtable_entries
00007ff8153b2cca (__TEXT,__text) external _pcre_get_substring
00007ff8153b2bdc (__TEXT,__text) external _pcre_get_substring_list
00007ff8153b2dc3 (__TEXT,__text) external _pcre_jit_free_unused_memory
00007ff8153b2daf (__TEXT,__text) external _pcre_jit_stack_alloc
00007ff8153b2db7 (__TEXT,__text) external _pcre_jit_stack_free
00007ff8153b2dc9 (__TEXT,__text) external _pcre_maketables
00007ff8428f8450 (__DATA,__data) external _pcre_malloc
00007ff81538f090 (__TEXT,__text) external _pcre_pattern_to_host_byte_order
00007ff8153b3583 (__TEXT,__text) external _pcre_refcount
00007ff8428f8468 (__DATA,__data) external _pcre_stack_free
00007ff8428f8478 (__DATA,__common) external _pcre_stack_guard
00007ff8428f8460 (__DATA,__data) external _pcre_stack_malloc
00007ff8153b35d4 (__TEXT,__text) external _pcre_study
00007ff8153b4f94 (__TEXT,__text) external _pcre_version
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
