                 (undefined) external _CBAdvertisementDataIsConnectable (from CoreBluetooth)
                 (undefined) external _CBAdvertisementDataServiceDataKey (from CoreBluetooth)
                 (undefined) external _CBCentralManagerScanOptionAllowDuplicatesKey (from CoreBluetooth)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytes (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFNumberGetValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _DNSServiceBrowse (from libSystem)
                 (undefined) external _DNSServiceCreateConnection (from libSystem)
                 (undefined) external _DNSServiceGetAddrInfo (from libSystem)
                 (undefined) external _DNSServiceReconfirmRecord (from libSystem)
                 (undefined) external _DNSServiceRefDeallocate (from libSystem)
                 (undefined) external _DNSServiceRegister (from libSystem)
                 (undefined) external _DNSServiceRegisterRecord (from libSystem)
                 (undefined) external _DNSServiceResolve (from libSystem)
                 (undefined) external _DNSServiceSetDispatchQueue (from libSystem)
                 (undefined) external _DNSServiceUpdateRecord (from libSystem)
                 (undefined) external _IOIteratorNext (from IOKit)
                 (undefined) external _IOObjectGetRetainCount (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryGetParentEntry (from IOKit)
                 (undefined) external _IOServiceGetMatchingServices (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
00000001f2296390 (__DATA_CONST,__const) external _MTRArrayValueType
00000001f2296308 (__DATA_CONST,__const) external _MTRAttributePathKey
00000001f2296358 (__DATA_CONST,__const) external _MTRBooleanValueType
00000001f2296310 (__DATA_CONST,__const) external _MTRCommandPathKey
00000001f2296340 (__DATA_CONST,__const) external _MTRContextTagKey
00000001f2296320 (__DATA_CONST,__const) external _MTRDataKey
00000001f2296378 (__DATA_CONST,__const) external _MTRDoubleValueType
00000001f2298ef0 (__DATA_CONST,__const) external _MTRErrorDomain
00000001f2296328 (__DATA_CONST,__const) external _MTRErrorKey
00000001f22963c0 (__DATA_CONST,__const) external _MTREventIsHistoricalKey
00000001f2296398 (__DATA_CONST,__const) external _MTREventNumberKey
00000001f2296318 (__DATA_CONST,__const) external _MTREventPathKey
00000001f22963a0 (__DATA_CONST,__const) external _MTREventPriorityKey
00000001f22963b0 (__DATA_CONST,__const) external _MTREventSystemUpTimeKey
00000001f22963a8 (__DATA_CONST,__const) external _MTREventTimeTypeKey
00000001f22963b8 (__DATA_CONST,__const) external _MTREventTimestampDateKey
00000001f2296370 (__DATA_CONST,__const) external _MTRFloatValueType
00000001f2298ef8 (__DATA_CONST,__const) external _MTRInteractionErrorDomain
00000001f2296380 (__DATA_CONST,__const) external _MTRNullValueType
00000001f2296368 (__DATA_CONST,__const) external _MTROctetStringValueType
00000001dcc53060 (__TEXT,__text) external _MTRSetLogCallback
00000001f2296348 (__DATA_CONST,__const) external _MTRSignedIntegerValueType
00000001dce2e130 (__TEXT,__const) external _MTRSizeThreadExtendedPANID
00000001dce2e138 (__TEXT,__const) external _MTRSizeThreadExtendedPanId
00000001dce2e140 (__TEXT,__const) external _MTRSizeThreadMasterKey
00000001dce2e128 (__TEXT,__const) external _MTRSizeThreadNetworkName
00000001dce2e150 (__TEXT,__const) external _MTRSizeThreadPANID
00000001dce2e148 (__TEXT,__const) external _MTRSizeThreadPSKc
