00007ffb198f8c15 (__TEXT,__text) non-external DKeyHas4Words
00007ffb198f8ea1 (__TEXT,__text) non-external DKeyHas6Words
00007ffb198f91af (__TEXT,__text) non-external DKeyHas8Words
00007ffb198f86df (__TEXT,__text) non-external EKeyHas4Words
00007ffb198f87eb (__TEXT,__text) non-external EKeyHas6Words
00007ffb198f8955 (__TEXT,__text) non-external EKeyHas8Words
00007ffb198f8b34 (__TEXT,__text) non-external InvMixColumn
00007ffb19906700 (__TEXT,__const) non-external K_XMM_AR
00007ffb19907940 (__TEXT,__const) non-external K_XMM_AR
00007ffb19914320 (__TEXT,__const) non-external K_XMM_AR
00007ffb19907980 (__TEXT,__const) non-external REV32
00007ffb19914360 (__TEXT,__const) non-external REV32
00007ffb19919370 (__TEXT,__const) non-external (was a private external) _AESInvMixColumnTable
00007ffb19919364 (__TEXT,__const) non-external (was a private external) _AESRcon
00007ffb1991a370 (__TEXT,__const) non-external (was a private external) _AESSubBytesWordTable
00007ffb19909108 (__TEXT,__const) non-external (was a private external) _AccelerateCrypto_AESDecryptTable
00007ffb19908108 (__TEXT,__const) non-external (was a private external) _AccelerateCrypto_AESEncryptTable
00007ffb1990b108 (__TEXT,__const) non-external (was a private external) _AccelerateCrypto_AESInvSubBytesWordTable
00007ffb1990a108 (__TEXT,__const) non-external (was a private external) _AccelerateCrypto_AESSubBytesWordTable
00007ffb198e6cb0 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_AES_decrypt_aesni
00007ffb198cd95f (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_AES_decrypt_nonaesni
00007ffb198cddc9 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_AES_decrypt_xmm_no_save
00007ffb198e69b0 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_AES_encrypt_aesni
00007ffb198cd72a (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_AES_encrypt_nonaesni
00007ffb198cdb94 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_AES_encrypt_xmm_no_save
00007ffb198b68b0 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA1_compress_AVX1
00007ffb198e47e0 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA1_compress_AVX2
00007ffb198b0a50 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA1_compress_ssse3
00007ffb198cabe8 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA256_compress_AVX1
00007ffb198c5e81 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA256_compress_AVX2
00007ffb198ac8cd (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA256_compress_ssse3
00007ffb1990c1a0 (__TEXT,__const) non-external _Bi
00007ffb198ef229 (__TEXT,__text) non-external (was a private external) _CCDH_POWER_BLINDED_WORKSPACE_N
00007ffb199142b0 (__TEXT,__const) external _CCEC_FAULT_CANARY
00007ffb198bb284 (__TEXT,__text) non-external (was a private external) _CCEC_GENERATE_SCALAR_FIPS_EXTRABITS_WORKSPACE_N
00007ffb198c07e9 (__TEXT,__text) non-external (was a private external) _CCEC_MULT_DIV_MASK_WORKSPACE_N
00007ffb198c79a1 (__TEXT,__text) non-external (was a private external) _CCN_DIV_EUCLID_WORKSPACE_N
00007ffb198da7ad (__TEXT,__text) non-external (was a private external) _CCRSA_CRT_POWER_BLINDED_WORKSPACE_N
00007ffb199142d0 (__TEXT,__const) external _CCRSA_PKCS1_FAULT_CANARY
00007ffb199142c0 (__TEXT,__const) external _CCRSA_PSS_FAULT_CANARY
00007ffb198ff675 (__TEXT,__const) non-external (was a private external) _CCSAE_STATE_COMMIT_BOTH
00007ffb198ff673 (__TEXT,__const) non-external (was a private external) _CCSAE_STATE_COMMIT_GENERATED
00007ffb198ff671 (__TEXT,__const) non-external (was a private external) _CCSAE_STATE_COMMIT_INIT
00007ffb198ff672 (__TEXT,__const) non-external (was a private external) _CCSAE_STATE_COMMIT_UPDATE
00007ffb198ff674 (__TEXT,__const) non-external (was a private external) _CCSAE_STATE_COMMIT_VERIFIED
00007ffb198ff678 (__TEXT,__const) non-external (was a private external) _CCSAE_STATE_CONFIRMATION_BOTH
00007ffb198ff676 (__TEXT,__const) non-external (was a private external) _CCSAE_STATE_CONFIRMATION_GENERATED
00007ffb198ff677 (__TEXT,__const) non-external (was a private external) _CCSAE_STATE_CONFIRMATION_VERIFIED
00007ffb198ff670 (__TEXT,__const) non-external (was a private external) _CCSAE_STATE_INIT
00007ffb19914580 (__TEXT,__const) non-external (was a private external) _CCSPAKE_STATE_INIT
00007ffb19914583 (__TEXT,__const) non-external (was a private external) _CCSPAKE_STATE_KEX_BOTH
00007ffb19914581 (__TEXT,__const) non-external (was a private external) _CCSPAKE_STATE_KEX_GENERATE
00007ffb19914582 (__TEXT,__const) non-external (was a private external) _CCSPAKE_STATE_KEX_PROCESS
00007ffb19914584 (__TEXT,__const) non-external (was a private external) _CCSPAKE_STATE_MAC_GENERATE
00007ffb19914585 (__TEXT,__const) non-external (was a private external) _CCSPAKE_STATE_MAC_VERIFY
00007ffb19906810 (__TEXT,__const) external _CCSS_PRIME_P192
00007ffb19906830 (__TEXT,__const) external _CCSS_PRIME_P224
00007ffb19906850 (__TEXT,__const) external _CCSS_PRIME_P256
00007ffb19906870 (__TEXT,__const) external _CCSS_PRIME_P384
00007ffb199068a0 (__TEXT,__const) external _CCSS_PRIME_P521
00007ffb198a454e (__TEXT,__text) non-external (was a private external) _CCZP_GENERATE_NON_ZERO_ELEMENT_WORKSPACE_N
00007ffb198ac753 (__TEXT,__text) non-external (was a private external) _CCZP_GENERATE_RANDOM_ELEMENT_WORKSPACE_N
00007ffb198ecb27 (__TEXT,__text) non-external (was a private external) _CCZP_INIT_COMPUTE_R2_WORKSPACE_N
00007ffb198ca329 (__TEXT,__text) non-external (was a private external) _CCZP_POWER_BLINDED_DIV_MASK_WORKSPACE_N
00007ffb199046d0 (__TEXT,__const) non-external (was a private external) _CC_CAST_S_table0
00007ffb19904ad0 (__TEXT,__const) non-external (was a private external) _CC_CAST_S_table1
00007ffb19904ed0 (__TEXT,__const) non-external (was a private external) _CC_CAST_S_table2
00007ffb199052d0 (__TEXT,__const) non-external (was a private external) _CC_CAST_S_table3
00007ffb199056d0 (__TEXT,__const) non-external (was a private external) _CC_CAST_S_table4
00007ffb19905ad0 (__TEXT,__const) non-external (was a private external) _CC_CAST_S_table5
00007ffb19905ed0 (__TEXT,__const) non-external (was a private external) _CC_CAST_S_table6
00007ffb199062d0 (__TEXT,__const) non-external (was a private external) _CC_CAST_S_table7
00007ffb198ab8a7 (__TEXT,__text) non-external (was a private external) _CC_CAST_decrypt
00007ffb198ab4f6 (__TEXT,__text) non-external (was a private external) _CC_CAST_encrypt
00007ffb198abc83 (__TEXT,__text) non-external (was a private external) _CC_CAST_set_key
00007ffb198b93b6 (__TEXT,__text) non-external _F
00007ffb198d94c9 (__TEXT,__text) non-external _F
00007ffb198ec860 (__TEXT,__text) non-external _F
00007ffb43265150 (__DATA,__data) non-external _FAKE_DIGEST
00007ffb198ff570 (__TEXT,__const) non-external _FIPS_RSA_OAEP_CIPHERTEXT
00007ffb198ff0a0 (__TEXT,__const) non-external _FIPS_RSA_OAEP_KEY
00007ffb198ff550 (__TEXT,__const) non-external _FIPS_RSA_OAEP_MESSAGE
00007ffb19907cf0 (__TEXT,__const) non-external _HPKE_EAE_LABEL
00007ffb19907d2b (__TEXT,__const) non-external _HPKE_EXP_LABEL
00007ffb19907d0f (__TEXT,__const) non-external _HPKE_INFO_LABEL
00007ffb19907d1e (__TEXT,__const) non-external _HPKE_KEY_LABEL
00007ffb19907d21 (__TEXT,__const) non-external _HPKE_NONCE_LABEL
00007ffb19907d04 (__TEXT,__const) non-external _HPKE_PSK_ID_LABEL
00007ffb19907d18 (__TEXT,__const) non-external _HPKE_SECRET_LABEL
00007ffb19907d2e (__TEXT,__const) non-external _HPKE_SEC_LABEL
00007ffb19907cf7 (__TEXT,__const) non-external _HPKE_SHARED_SECRET_LABEL
00007ffb19913fe0 (__TEXT,__const) non-external _KDF_LABEL
00007ffb198fe450 (__TEXT,__const) non-external (was a private external) _MESSAGE
00007ffb199068f0 (__TEXT,__const) non-external _ORIG_P
00007ffb19906940 (__TEXT,__const) non-external _ORIG_S
00007ffb19907d80 (__TEXT,__const) non-external _PI_SUBST
00007ffb198e979a (__TEXT,__text) non-external _PRF_EVAL
00007ffb19908100 (__TEXT,__const) non-external _REF_K
00007ffb199142a0 (__TEXT,__const) non-external _REF_X
00007ffb19907c30 (__TEXT,__const) non-external _RR_MOD_P
00007ffb19907c50 (__TEXT,__const) non-external _RR_MOD_P
00007ffb19907c70 (__TEXT,__const) non-external _RR_MOD_P
00007ffb198ff679 (__TEXT,__const) non-external (was a private external) _SAE_HUNT_AND_PECK_ITERATIONS
00007ffb432610b0 (__DATA,__data) non-external (was a private external) _SAE_HUNT_PECK_LABEL
00007ffb432610a8 (__DATA,__data) non-external (was a private external) _SAE_KCK_PMK_LABEL
00007ffb19914990 (__TEXT,__const) non-external _SP1
00007ffb19914d90 (__TEXT,__const) non-external _SP2
00007ffb19914890 (__TEXT,__const) non-external _SP3
00007ffb19914c90 (__TEXT,__const) non-external _SP4
00007ffb19914790 (__TEXT,__const) non-external _SP5
00007ffb19914b90 (__TEXT,__const) non-external _SP6
00007ffb19914690 (__TEXT,__const) non-external _SP7
00007ffb19914a90 (__TEXT,__const) non-external _SP8
00007ffb19907bf0 (__TEXT,__const) non-external _SQRT_C3
00007ffb19907c10 (__TEXT,__const) non-external _SQRT_C5
00007ffb19915290 (__TEXT,__const) non-external (was a private external) _TD0
00007ffb19917690 (__TEXT,__const) non-external (was a private external) _TD1
00007ffb19917a90 (__TEXT,__const) non-external (was a private external) _TD2
00007ffb19917e90 (__TEXT,__const) non-external (was a private external) _TD3
00007ffb19914e90 (__TEXT,__const) non-external (was a private external) _TE0
00007ffb19915a90 (__TEXT,__const) non-external (was a private external) _TE1
00007ffb19915e90 (__TEXT,__const) non-external (was a private external) _TE2
00007ffb19916290 (__TEXT,__const) non-external (was a private external) _TE3
00007ffb19915690 (__TEXT,__const) non-external (was a private external) _Td4
00007ffb19916690 (__TEXT,__const) non-external (was a private external) _Te4_0
00007ffb19916a90 (__TEXT,__const) non-external (was a private external) _Te4_1
00007ffb19916e90 (__TEXT,__const) non-external (was a private external) _Te4_2
00007ffb19917290 (__TEXT,__const) non-external (was a private external) _Te4_3
00007ffb19918290 (__TEXT,__const) non-external (was a private external) _Tks0
00007ffb19918690 (__TEXT,__const) non-external (was a private external) _Tks1
00007ffb19918a90 (__TEXT,__const) non-external (was a private external) _Tks2
00007ffb19918e90 (__TEXT,__const) non-external (was a private external) _Tks3
                 (undefined) weak external ____chkstk_darwin (from libsystem_pthread)
                 (undefined) external ___bzero (from libsystem_platform)
00007ffb1989daf0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffb1989db10 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___memcpy_chk (from libsystem_c)
                 (undefined) external ___memset_chk (from libsystem_c)
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external ___stderrp (from libsystem_c)
                 (undefined) external ___toupper (from libsystem_c)
00007ffb198f11b7 (__TEXT,__text) non-external __ccchacha20_xor
00007ffb432610b8 (__DATA,__data) non-external __ccdh_gp_apple768
00007ffb432664a0 (__DATA,__data) non-external __ccdh_gp_rfc2409group02
00007ffb43261490 (__DATA,__data) non-external __ccdh_gp_rfc3526group05
00007ffb432617b8 (__DATA,__data) non-external __ccdh_gp_rfc3526group14
00007ffb43261be0 (__DATA,__data) non-external __ccdh_gp_rfc3526group15
00007ffb43262208 (__DATA,__data) non-external __ccdh_gp_rfc3526group16
00007ffb43262a30 (__DATA,__data) non-external __ccdh_gp_rfc3526group17
00007ffb43263658 (__DATA,__data) non-external __ccdh_gp_rfc3526group18
00007ffb43264680 (__DATA,__data) non-external __ccdh_gp_rfc5114_MODP_1024_160
00007ffb432648a8 (__DATA,__data) non-external __ccdh_gp_rfc5114_MODP_2048_224
00007ffb43264cd0 (__DATA,__data) non-external __ccdh_gp_rfc5114_MODP_2048_256
00007ffb198f1eb7 (__TEXT,__text) non-external __ccpoly1305_update
00007ffb43265e50 (__DATA,__data) non-external __ccsrp_gp_rfc5054_1024
00007ffb43266078 (__DATA,__data) non-external __ccsrp_gp_rfc5054_2048
00007ffb432651f8 (__DATA,__data) non-external __ccsrp_gp_rfc5054_3072
00007ffb432666c8 (__DATA,__data) non-external __ccsrp_gp_rfc5054_4096
00007ffb43266ef0 (__DATA,__data) non-external __ccsrp_gp_rfc5054_8192
                 (undefined) external __os_log_fault_impl (from libsystem_trace)
                 (undefined) external __os_once (from libsystem_platform)
00007ffb40a20790 (__DATA_CONST,__const) non-external __vrf_irtf_ed25519_draft03
                 (undefined) external _abort (from libsystem_c)
00007ffb198f5e60 (__TEXT,__text) non-external (was a private external) _aes_decrypt_hw
00007ffb198f5750 (__TEXT,__text) non-external (was a private external) _aes_decrypt_key_hw
00007ffb198f5b60 (__TEXT,__text) non-external (was a private external) _aes_encrypt_hw
