00007ff909a2241f (__TEXT,__text) non-external +[AMFI isAvailable]
00007ff909a22436 (__TEXT,__text) non-external +[AMFI preflightBinary:withPlatform:error:]
00007ff909a13bd8 (__TEXT,__text) non-external +[AppWrapper checkAppWrapperWithURL:withProcessURL:]
00007ff909a13a48 (__TEXT,__text) non-external +[AppWrapper isAppWrapper:]
00007ff909a13f00 (__TEXT,__text) non-external +[AppWrapper wrappedAppURL:]
00007ff909a228b3 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:]
00007ff909a2566d (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.1
00007ff909a256f4 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.2
00007ff909a22bbf (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperProfileIsTrusted:]
00007ff909a22063 (__TEXT,__text) non-external +[GKScanResult supportsSecureCoding]
00007ff909a1b284 (__TEXT,__text) non-external +[MIS currentDeviceID]
00007ff909a24aab (__TEXT,__text) non-external +[MIS currentDeviceID].cold.1
00007ff909a1b2cd (__TEXT,__text) non-external +[MIS findProvisioningProfile:]
00007ff909a1b8c4 (__TEXT,__text) non-external +[MIS installProvisioningProfile:]
00007ff909a24c8b (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.1
00007ff909a24cf5 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.2
00007ff909a1b263 (__TEXT,__text) non-external +[MIS isAvailable]
00007ff909a1b7ce (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:]
00007ff909a24c23 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.1
00007ff909a24c57 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.2
00007ff909a1b71c (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:]
00007ff909a24bef (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:].cold.1
00007ff909a1b4d1 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:]
00007ff909a24ac3 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.1
00007ff909a24b2d (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.2
00007ff909a24b61 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.3
00007ff909a24b95 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.4
00007ff909a1bae7 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:]
00007ff909a24e13 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.1
00007ff909a24e93 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.2
00007ff909a1b9c3 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:]
00007ff909a24d29 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.1
00007ff909a24d93 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.2
00007ff909a2145e (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
00007ff909a253b5 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
00007ff909a2540f (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
00007ff909a1581a (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00007ff909a15942 (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
00007ff909a140be (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00007ff909a0eb34 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
00007ff909a22fd0 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00007ff909a0e7e9 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00007ff909a22fb8 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths].cold.1
00007ff909a1ae13 (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00007ff909a15fe6 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00007ff909a0d026 (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00007ff909a153a2 (__TEXT,__text) non-external +[SPLog exec]
00007ff909a244bc (__TEXT,__text) non-external +[SPLog exec].cold.1
00007ff909a15626 (__TEXT,__text) non-external +[SPLog generateSignpostID]
00007ff909a15306 (__TEXT,__text) non-external +[SPLog generic]
00007ff909a2448c (__TEXT,__text) non-external +[SPLog generic].cold.1
00007ff909a15354 (__TEXT,__text) non-external +[SPLog kext]
00007ff909a244a4 (__TEXT,__text) non-external +[SPLog kext].cold.1
00007ff909a153f0 (__TEXT,__text) non-external +[SPLog measurements]
00007ff909a244d4 (__TEXT,__text) non-external +[SPLog measurements].cold.1
00007ff909a1548c (__TEXT,__text) non-external +[SPLog sampling]
00007ff909a24504 (__TEXT,__text) non-external +[SPLog sampling].cold.1
00007ff909a1561a (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00007ff909a1543e (__TEXT,__text) non-external +[SPLog signposts]
00007ff909a244ec (__TEXT,__text) non-external +[SPLog signposts].cold.1
00007ff909a154da (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00007ff909a2451c (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled].cold.1
00007ff909a1e031 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00007ff909a1d863 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00007ff909a1c9d6 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00007ff909a25021 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00007ff909a1c812 (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00007ff909a1c7f4 (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00007ff909a1ce4e (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00007ff909a1c993 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
