00007ff80bc879c0 (__TEXT,__const) non-external _SHA256_K
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80bc7975c (__TEXT,__text) non-external _alone_decode
00007ff80bc79a04 (__TEXT,__text) non-external _alone_decoder_end
00007ff80bc79a25 (__TEXT,__text) non-external _alone_decoder_memconfig
00007ff80bc788f8 (__TEXT,__text) non-external _alone_encode
00007ff80bc789bc (__TEXT,__text) non-external _alone_encoder_end
00007ff80bc78799 (__TEXT,__text) non-external _alone_encoder_init
00007ff80bc83538 (__TEXT,__text) non-external _arm_code
00007ff80bc835ff (__TEXT,__text) non-external _armthumb_code
00007ff80bc79be7 (__TEXT,__text) non-external _auto_decode
00007ff80bc79d03 (__TEXT,__text) non-external _auto_decoder_end
00007ff80bc79d24 (__TEXT,__text) non-external _auto_decoder_get_check
00007ff80bc79b08 (__TEXT,__text) non-external _auto_decoder_init
00007ff80bc79d3b (__TEXT,__text) non-external _auto_decoder_memconfig
00007ff80bc79fff (__TEXT,__text) non-external _block_decode
00007ff80bc7a226 (__TEXT,__text) non-external _block_decoder_end
00007ff80bc7391c (__TEXT,__text) non-external _block_encode
00007ff80bc77ad3 (__TEXT,__text) non-external _block_encoder_end
00007ff80bc71c8b (__TEXT,__text) non-external _block_encoder_init
00007ff80bc78ec9 (__TEXT,__text) non-external _block_encoder_update
00007ff80bc76898 (__TEXT,__text) non-external _bt_find_func
00007ff80bc748be (__TEXT,__text) non-external _bt_skip_func
00007ff80bc82e5c (__TEXT,__text) non-external _copy_or_code
00007ff80bc7dc66 (__TEXT,__text) non-external _decode_buffer
00007ff80bc7a681 (__TEXT,__text) non-external _decoder_find
00007ff840842180 (__DATA_CONST,__const) non-external _decoders
00007ff80bc827a4 (__TEXT,__text) non-external _delta_coder_end
00007ff80bc8297b (__TEXT,__text) non-external _delta_decode
00007ff80bc82816 (__TEXT,__text) non-external _delta_encode
00007ff80bc8292a (__TEXT,__text) non-external _delta_encoder_update
00007ff80bc72282 (__TEXT,__text) non-external _encoder_find
00007ff840841f80 (__DATA_CONST,__const) non-external _encoders
00007ff80bc83840 (__TEXT,__const) non-external _features
                 (undefined) external _free (from libSystem)
00007ff80bc7a459 (__TEXT,__text) non-external _free_properties
00007ff80bc769f1 (__TEXT,__text) non-external _get_literal_price
00007ff80bc7af32 (__TEXT,__text) non-external _hash_append
00007ff80bc7d1bd (__TEXT,__text) non-external _hc_find_func
00007ff80bc832af (__TEXT,__text) non-external _ia64_code
00007ff80bc89c00 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
