                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) weak external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external __exit (from libSystem)
                 (undefined) external _accept (from libSystem)
                 (undefined) external _access (from libSystem)
0000000283697178 (__TEXT,__text) external _apr__SHA256_Data
00000002836970b0 (__TEXT,__text) external _apr__SHA256_End
0000000283696fa4 (__TEXT,__text) external _apr__SHA256_Final
0000000283696c74 (__TEXT,__text) external _apr__SHA256_Init
0000000283696ca4 (__TEXT,__text) external _apr__SHA256_Transform
0000000283696ea0 (__TEXT,__text) external _apr__SHA256_Update
000000028368e6e0 (__TEXT,__text) external _apr_allocator_alloc
000000028368e570 (__TEXT,__text) external _apr_allocator_create
000000028368e5d0 (__TEXT,__text) external _apr_allocator_destroy
000000028368e894 (__TEXT,__text) external _apr_allocator_free
000000028368e658 (__TEXT,__text) external _apr_allocator_max_free_set
000000028368e640 (__TEXT,__text) external _apr_allocator_mutex_get
000000028368e638 (__TEXT,__text) external _apr_allocator_mutex_set
000000028368e650 (__TEXT,__text) external _apr_allocator_owner_get
000000028368e648 (__TEXT,__text) external _apr_allocator_owner_set
0000000283690da8 (__TEXT,__text) external _apr_app_initialize
0000000283687e7c (__TEXT,__text) external _apr_array_append
0000000283687ca8 (__TEXT,__text) external _apr_array_cat
0000000283687bc8 (__TEXT,__text) external _apr_array_clear
0000000283687d84 (__TEXT,__text) external _apr_array_copy
0000000283687e34 (__TEXT,__text) external _apr_array_copy_hdr
0000000283687b48 (__TEXT,__text) external _apr_array_make
0000000283687bd0 (__TEXT,__text) external _apr_array_pop
0000000283687ee0 (__TEXT,__text) external _apr_array_pstrcat
0000000283687bfc (__TEXT,__text) external _apr_array_push
0000000283685e8c (__TEXT,__text) external _apr_atoi64
000000028368969c (__TEXT,__text) external _apr_atomic_add32
00000002836896cc (__TEXT,__text) external _apr_atomic_cas32
00000002836896e4 (__TEXT,__text) external _apr_atomic_casptr
00000002836896bc (__TEXT,__text) external _apr_atomic_dec32
00000002836896b0 (__TEXT,__text) external _apr_atomic_inc32
0000000283689684 (__TEXT,__text) external _apr_atomic_init
000000028368968c (__TEXT,__text) external _apr_atomic_read32
0000000283689694 (__TEXT,__text) external _apr_atomic_set32
00000002836896a4 (__TEXT,__text) external _apr_atomic_sub32
00000002836896d8 (__TEXT,__text) external _apr_atomic_xchg32
00000002836896f0 (__TEXT,__text) external _apr_atomic_xchgptr
0000000283683430 (__TEXT,__text) external _apr_collapse_spaces
0000000283683114 (__TEXT,__text) external _apr_cpystrn
0000000283697208 (__TEXT,__text) external _apr_crypto_sha256_new
0000000283699548 (__TEXT,__text) external _apr_ctime
000000028369ac18 (__TEXT,__const) external _apr_day_snames
0000000283689c58 (__TEXT,__text) external _apr_dir_close
0000000283689e94 (__TEXT,__text) external _apr_dir_make
0000000283689ed4 (__TEXT,__text) external _apr_dir_make_recursive
0000000283689b98 (__TEXT,__text) external _apr_dir_open
0000000283689c98 (__TEXT,__text) external _apr_dir_read
0000000283689fdc (__TEXT,__text) external _apr_dir_remove
0000000283689e74 (__TEXT,__text) external _apr_dir_rewind
