000000018354b1b8 (__TEXT,__text) external _CreateLSTMBreakEngine
000000018354b17c (__TEXT,__text) external _CreateLSTMData
000000018354b028 (__TEXT,__text) external _CreateLSTMDataForScript
000000018354b36c (__TEXT,__text) external _DeleteLSTMData
000000018354b3b8 (__TEXT,__text) external _LSTMDataName
0000000183529c00 (__TEXT,__text) external _T_CString_int64ToString
0000000183529b28 (__TEXT,__text) external _T_CString_integerToString
0000000183529cdc (__TEXT,__text) external _T_CString_stringToInteger
0000000183529ad0 (__TEXT,__text) external _T_CString_toLowerCase
0000000183529afc (__TEXT,__text) external _T_CString_toUpperCase
0000000183596660 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00000001835963cc (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
00000001835962a4 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
000000018359650c (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
0000000183596bc8 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
0000000183596b70 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00000001835963c8 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
0000000183596b94 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
00000001835b3934 (__TEXT,__text) external _UDataMemory_createNewInstance
                 (undefined) external __DefaultRuneLocale (from libSystem)
00000001835e3f3c (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
00000001837567b8 (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
0000000183520e6c (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
0000000183520d88 (__TEXT,__text) external __ZN3icu10Appendable15appendCodePointEi
0000000183520f30 (__TEXT,__text) external __ZN3icu10Appendable15getAppendBufferEiiPDsiPi
0000000183520f28 (__TEXT,__text) external __ZN3icu10Appendable21reserveAppendCapacityEi
0000000183520d84 (__TEXT,__text) external __ZN3icu10AppendableD0Ev
0000000183520d80 (__TEXT,__text) external __ZN3icu10AppendableD1Ev
0000000183520d7c (__TEXT,__text) external __ZN3icu10AppendableD2Ev
000000018360f978 (__TEXT,__text) external __ZN3icu10CECalendar6ceToJDEiiii
000000018360fab8 (__TEXT,__text) external __ZN3icu10CECalendar6jdToCEEiiRiS1_S1_
000000018360f824 (__TEXT,__text) external __ZN3icu10CECalendarC2ERKNS_6LocaleER10UErrorCode
