00000001d3b1cac8 (__TEXT,__text) non-external _Done_iODBC
00000001d3b3ba10 (__TEXT,__const) non-external _FunctionNumbers
00000001d3b3a868 (__TEXT,__text) non-external _GetPrivateProfileString
00000001d3b1c944 (__TEXT,__text) non-external _Init_iODBC
00000001e2d3047c (__DATA,__common) non-external _ODBCSharedTraceFlag
00000001d3b1b05c (__TEXT,__text) external _SQLAllocConnect
00000001d3b1af6c (__TEXT,__text) non-external _SQLAllocConnect_Internal
00000001d3b1c8b4 (__TEXT,__text) external _SQLAllocEnv
00000001d3b1c710 (__TEXT,__text) non-external _SQLAllocEnv_Internal
00000001d3b26884 (__TEXT,__text) external _SQLAllocHandle
00000001d3b2699c (__TEXT,__text) non-external _SQLAllocHandleStd
00000001d3b265e0 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00000001d3b1f544 (__TEXT,__text) external _SQLAllocStmt
00000001d3b1f068 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00000001d3b24590 (__TEXT,__text) external _SQLBindCol
00000001d3b2c5f4 (__TEXT,__text) external _SQLBindParam
00000001d3b23a2c (__TEXT,__text) external _SQLBindParameter
00000001d3b17edc (__TEXT,__text) external _SQLBrowseConnect
00000001d3b18024 (__TEXT,__text) external _SQLBrowseConnectA
00000001d3b1816c (__TEXT,__text) external _SQLBrowseConnectW
00000001d3b179b8 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00000001d3b2c100 (__TEXT,__text) external _SQLBulkOperations
00000001d3b204a8 (__TEXT,__text) external _SQLCancel
00000001d3b2c638 (__TEXT,__text) external _SQLCloseCursor
00000001d3b2bb44 (__TEXT,__text) external _SQLColAttribute
00000001d3b2bcec (__TEXT,__text) external _SQLColAttributeA
00000001d3b2be94 (__TEXT,__text) external _SQLColAttributeW
00000001d3b2b3ec (__TEXT,__text) non-external _SQLColAttribute_Internal
00000001d3b260e8 (__TEXT,__text) external _SQLColAttributes
00000001d3b26290 (__TEXT,__text) external _SQLColAttributesA
00000001d3b26438 (__TEXT,__text) external _SQLColAttributesW
00000001d3b25c38 (__TEXT,__text) non-external _SQLColAttributes_Internal
00000001d3b10c5c (__TEXT,__text) external _SQLColumnPrivileges
00000001d3b10e40 (__TEXT,__text) external _SQLColumnPrivilegesA
00000001d3b11024 (__TEXT,__text) external _SQLColumnPrivilegesW
00000001d3b109c8 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00000001d3b1149c (__TEXT,__text) external _SQLColumns
00000001d3b11680 (__TEXT,__text) external _SQLColumnsA
00000001d3b11864 (__TEXT,__text) external _SQLColumnsW
00000001d3b11208 (__TEXT,__text) non-external _SQLColumns_Internal
00000001d3b15190 (__TEXT,__text) external _SQLConnect
00000001d3b15920 (__TEXT,__text) external _SQLConnectA
00000001d3b15a80 (__TEXT,__text) external _SQLConnectW
00000001d3b152f0 (__TEXT,__text) non-external _SQLConnect_Internal
00000001d3b3b4ac (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00000001d3b2b270 (__TEXT,__text) external _SQLCopyDesc
00000001d3b20fc0 (__TEXT,__text) external _SQLDataSources
00000001d3b21108 (__TEXT,__text) external _SQLDataSourcesA
00000001d3b21250 (__TEXT,__text) external _SQLDataSourcesW
00000001d3b20b70 (__TEXT,__text) non-external _SQLDataSources_Internal
00000001e2d30400 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00000001e2d30420 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00000001e2d30428 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00000001d3b256c8 (__TEXT,__text) external _SQLDescribeCol
00000001d3b25898 (__TEXT,__text) external _SQLDescribeColA
00000001d3b25a68 (__TEXT,__text) external _SQLDescribeColW
00000001d3b25428 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00000001d3b19e14 (__TEXT,__text) external _SQLDescribeParam
00000001d3b182b4 (__TEXT,__text) external _SQLDisconnect
00000001d3b17544 (__TEXT,__text) external _SQLDriverConnect
00000001d3b176c0 (__TEXT,__text) external _SQLDriverConnectA
00000001d3b1783c (__TEXT,__text) external _SQLDriverConnectW
00000001d3b15be0 (__TEXT,__text) non-external _SQLDriverConnect_Internal
00000001d3b3b4d8 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00000001d3b3b504 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00000001d3b21864 (__TEXT,__text) external _SQLDrivers
00000001d3b219ac (__TEXT,__text) external _SQLDriversA
00000001d3b21af4 (__TEXT,__text) external _SQLDriversW
00000001d3b2146c (__TEXT,__text) non-external _SQLDrivers_Internal
00000001e2d30404 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00000001e2d30430 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
