                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018f3b1e58 (__TEXT,__text) non-external _alone_decode
000000018f3b2114 (__TEXT,__text) non-external _alone_decoder_end
000000018f3b2154 (__TEXT,__text) non-external _alone_decoder_memconfig
000000018f3b0838 (__TEXT,__text) non-external _alone_encode
000000018f3b096c (__TEXT,__text) non-external _alone_encoder_end
000000018f3b06bc (__TEXT,__text) non-external _alone_encoder_init
000000018f3bbd60 (__TEXT,__text) non-external _arm64_code
000000018f3beaf8 (__TEXT,__text) non-external _arm_code
000000018f3bebd8 (__TEXT,__text) non-external _armthumb_code
000000018f3b2380 (__TEXT,__text) non-external _auto_decode
000000018f3b2504 (__TEXT,__text) non-external _auto_decoder_end
000000018f3b2544 (__TEXT,__text) non-external _auto_decoder_get_check
000000018f3b2278 (__TEXT,__text) non-external _auto_decoder_init
000000018f3b255c (__TEXT,__text) non-external _auto_decoder_memconfig
000000018f3c4628 (__TEXT,__const) non-external _bcj_optmap
000000018f3b0a54 (__TEXT,__text) non-external _block_buffer_encode
000000018f3b28ac (__TEXT,__text) non-external _block_decode
000000018f3b2b20 (__TEXT,__text) non-external _block_decoder_end
000000018f3ab314 (__TEXT,__text) non-external _block_encode
000000018f3b0cf8 (__TEXT,__text) non-external _block_encode_normal
000000018f3b0e60 (__TEXT,__text) non-external _block_encode_uncompressed
000000018f3af5fc (__TEXT,__text) non-external _block_encoder_end
000000018f3a9454 (__TEXT,__text) non-external _block_encoder_init
000000018f3b1008 (__TEXT,__text) non-external _block_encoder_update
000000018f3ae4a8 (__TEXT,__text) non-external _bt_find_func
000000018f3ac3f4 (__TEXT,__text) non-external _bt_skip_func
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _clock_gettime (from libSystem)
000000018f3be440 (__TEXT,__text) non-external _copy_or_code
000000018f3b770c (__TEXT,__text) non-external _decode_buffer
000000018f3b2fd4 (__TEXT,__text) non-external _decoder_find
00000001e7495ec0 (__AUTH_CONST,__const) non-external _decoders
000000018f3bdcdc (__TEXT,__text) non-external _delta_coder_end
000000018f3bdf00 (__TEXT,__text) non-external _delta_decode
000000018f3bdd6c (__TEXT,__text) non-external _delta_encode
000000018f3bde9c (__TEXT,__text) non-external _delta_encoder_update
000000018f3c4640 (__TEXT,__const) non-external _delta_optmap
000000018f3a99f8 (__TEXT,__text) non-external _encoder_find
00000001e7495c58 (__AUTH_CONST,__const) non-external _encoders
000000018f3c03f0 (__TEXT,__const) non-external _features
000000018f3b842c (__TEXT,__text) non-external _file_info_decode
000000018f3b8a04 (__TEXT,__text) non-external _file_info_decoder_end
000000018f3b8a60 (__TEXT,__text) non-external _file_info_decoder_memconfig
00000001e7496020 (__AUTH_CONST,__const) non-external _filter_name_map
                 (undefined) external _free (from libSystem)
000000018f3ae5f4 (__TEXT,__text) non-external _get_literal_price
000000018f3bf0ec (__TEXT,__text) non-external _get_options
000000018f3bf96c (__TEXT,__text) non-external _get_progress
000000018f3bd778 (__TEXT,__text) non-external _get_thread
000000018f3b3978 (__TEXT,__text) non-external _hash_append
000000018f3b5764 (__TEXT,__text) non-external _hc_find_func
000000018f3be918 (__TEXT,__text) non-external _ia64_code
000000018f3c67c8 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
000000018f3b0224 (__TEXT,__text) non-external _index_cat_helper
000000018f3b32d8 (__TEXT,__text) non-external _index_decode
000000018f3b35bc (__TEXT,__text) non-external _index_decoder_end
000000018f3b3600 (__TEXT,__text) non-external _index_decoder_memconfig
000000018f3aee3c (__TEXT,__text) non-external _index_encode
000000018f3af704 (__TEXT,__text) non-external _index_encoder_end
000000018f3af780 (__TEXT,__text) non-external _index_stream_end
000000018f3a90d0 (__TEXT,__text) non-external _index_tree_append
000000018f3af708 (__TEXT,__text) non-external _index_tree_node_end
000000018f3aa1ac (__TEXT,__text) non-external _is_options_valid
000000018f3af260 (__TEXT,__text) non-external _iter_set_info
000000018f3ae910 (__TEXT,__text) non-external _length
000000018f3aa204 (__TEXT,__text) non-external _length_encoder_reset
000000018f3aa308 (__TEXT,__text) non-external _length_update_prices
000000018f3b74d8 (__TEXT,__text) non-external _lz_decode
000000018f3b7694 (__TEXT,__text) non-external _lz_decoder_end
000000018f3ab518 (__TEXT,__text) non-external _lz_encode
000000018f3af63c (__TEXT,__text) non-external _lz_encoder_end
000000018f3aa4a4 (__TEXT,__text) non-external _lz_encoder_prepare
000000018f3b556c (__TEXT,__text) non-external _lz_encoder_set_out_limit
000000018f3b54f4 (__TEXT,__text) non-external _lz_encoder_update
000000018f3b4f34 (__TEXT,__text) non-external _lzip_decode
000000018f3b5390 (__TEXT,__text) non-external _lzip_decoder_end
000000018f3b53d4 (__TEXT,__text) non-external _lzip_decoder_get_check
000000018f3b53dc (__TEXT,__text) non-external _lzip_decoder_memconfig
000000018f3c45c8 (__TEXT,__const) non-external _lzma12_mf_map
000000018f3c4598 (__TEXT,__const) non-external _lzma12_mode_map
00000001dfec6040 (__DATA_CONST,__const) non-external _lzma12_optmap
000000018f3bbfd4 (__TEXT,__text) non-external _lzma2_decode
000000018f3bc2e0 (__TEXT,__text) non-external _lzma2_decoder_end
000000018f3bbe48 (__TEXT,__text) non-external _lzma2_decoder_init
000000018f3ab728 (__TEXT,__text) non-external _lzma2_encode
000000018f3af6c0 (__TEXT,__text) non-external _lzma2_encoder_end
000000018f3a9cec (__TEXT,__text) non-external _lzma2_encoder_init
000000018f3bbc7c (__TEXT,__text) non-external _lzma2_encoder_options_update
000000018f3c03d8 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
000000018f3c03b0 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
000000018f3a8f88 (__TEXT,__text) non-external (was a private external) _lzma_alloc
000000018f3af8d0 (__TEXT,__text) non-external (was a private external) _lzma_alloc_zero
000000018f3b2194 (__TEXT,__text) external _lzma_alone_decoder
000000018f3b1d58 (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
000000018f3b0650 (__TEXT,__text) external _lzma_alone_encoder
000000018f3b2204 (__TEXT,__text) external _lzma_auto_decoder
000000018f3b09fc (__TEXT,__text) external _lzma_block_buffer_bound
000000018f3b09ac (__TEXT,__text) non-external (was a private external) _lzma_block_buffer_bound64
000000018f3b25d4 (__TEXT,__text) external _lzma_block_buffer_decode
000000018f3b0a4c (__TEXT,__text) external _lzma_block_buffer_encode
