                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetMutableBytePtr (from CoreFoundation)
                 (undefined) external _CFDictionaryCreate (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
00007ffb1432003c (__TEXT,__text) external _DRBufferAsResource
00007ffb14320242 (__TEXT,__text) external _DRBufferCopyDescriptor
00007ffb14320175 (__TEXT,__text) external _DRBufferCreateUnmanaged
00007ffb143200d2 (__TEXT,__text) external _DRBufferDescriptorCreate
00007ffb14320121 (__TEXT,__text) external _DRBufferDescriptorGetCapacity
00007ffb1432014b (__TEXT,__text) external _DRBufferDescriptorGetSizeMultiple
00007ffb14320136 (__TEXT,__text) external _DRBufferDescriptorSetCapacity
00007ffb14320160 (__TEXT,__text) external _DRBufferDescriptorSetSizeMultiple
00007ffb143202a6 (__TEXT,__text) external _DRBufferGetBytesUsed
00007ffb143202d0 (__TEXT,__text) external _DRBufferRead
00007ffb1432030f (__TEXT,__text) external _DRBufferReadUsing
00007ffb143202e5 (__TEXT,__text) external _DRBufferReplace
00007ffb14320356 (__TEXT,__text) external _DRBufferReplaceUsing
00007ffb143202bb (__TEXT,__text) external _DRBufferSetBytesUsed
00007ffb143202fa (__TEXT,__text) external _DRBufferUpdate
00007ffb1432052c (__TEXT,__text) external _DRClientConnectionConfigCreate
00007ffb14320587 (__TEXT,__text) external _DRClientConnectionConfigSetServiceQueue
00007ffb14320572 (__TEXT,__text) external _DRClientConnectionConfigSetUserData
00007ffb143206b8 (__TEXT,__text) external _DRClientConnectionGetCommitQueue
00007ffb143206d3 (__TEXT,__text) external _DRClientConnectionReceive
00007ffb143206f0 (__TEXT,__text) external _DRClientConnectionTearDown
00007ffb1432092c (__TEXT,__text) external _DRCommitQueueApplyAll
00007ffb14320877 (__TEXT,__text) external _DRCommitQueueApplyThrough
00007ffb143209aa (__TEXT,__text) external _DRCommitQueueEntryGetCommitId
00007ffb143209b3 (__TEXT,__text) external _DRCommitQueueEntryGetUserPayload
00007ffb143207d0 (__TEXT,__text) external _DRCommitQueueEnumerate
00007ffb14320940 (__TEXT,__text) external _DRCommitQueueGetLastAppliedCommitId
00007ffb14320955 (__TEXT,__text) external _DRCommitQueueGetLatestAvailableCommitId
00007ffb1432096a (__TEXT,__text) external _DRCommitQueueTakeFrom
00007ffb1432098a (__TEXT,__text) external _DRCommitQueueTakeThrough
00007ffb1431f768 (__TEXT,__text) external _DRContextCommit
00007ffb1431f8aa (__TEXT,__text) external _DRContextCommitAddFence
00007ffb1431f30e (__TEXT,__text) external _DRContextConfigCreate
00007ffb1431f3a9 (__TEXT,__text) external _DRContextConfigGetMode
00007ffb1431f3fd (__TEXT,__text) external _DRContextConfigSetDevice
00007ffb1431f37b (__TEXT,__text) external _DRContextConfigSetDispatchQueue
00007ffb1431f3d3 (__TEXT,__text) external _DRContextConfigSetMaxPendingFrames
