
/System/Library/PrivateFrameworks/CoreSpeech.framework/Versions/A/XPCServices/CoreSpeechXPC.xpc/Contents/MacOS/CoreSpeechXPC (for architecture x86_64):
                 (undefined) external _ASAttributeCompatibilityVersion (from MobileAsset)
                 (undefined) external _CSBnnsIrSuffix (from CoreSpeechFoundation)
                 (undefined) external _CSErrorDomain (from CoreSpeechFoundation)
                 (undefined) external _CSHasAOP (from CoreSpeechFoundation)
                 (undefined) external _CSIsASMacWithAOP (from CoreSpeechFoundation)
                 (undefined) external _CSIsGibraltarMac (from CoreSpeechFoundation)
                 (undefined) external _CSIsHorseman (from CoreSpeechFoundation)
                 (undefined) external _CSIsIOS (from CoreSpeechFoundation)
                 (undefined) external _CSIsIPad (from CoreSpeechFoundation)
                 (undefined) external _CSIsInternalBuild (from CoreSpeechFoundation)
                 (undefined) external _CSIsOSX (from CoreSpeechFoundation)
                 (undefined) external _CSIsTV (from CoreSpeechFoundation)
                 (undefined) external _CSIsWatch (from CoreSpeechFoundation)
                 (undefined) external _CSLogCategoryAsset (from CoreSpeechFoundation)
                 (undefined) external _CSLogContextFacilityCoreSpeech (from CoreSpeechFoundation)
                 (undefined) external _CSLogInitIfNeeded (from CoreSpeechFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _OBJC_CLASS_$_AssistantSiriAnalytics (from SiriAnalytics)
                 (undefined) external _OBJC_CLASS_$_CSAsset (from CoreSpeechFoundation)
                 (undefined) external _OBJC_CLASS_$_CSEventMonitor (from CoreSpeechFoundation)
                 (undefined) external _OBJC_CLASS_$_CSFHashUtils (from CoreSpeechFoundation)
                 (undefined) external _OBJC_CLASS_$_CSFModelConfigDecoder (from CoreSpeechFoundation)
                 (undefined) external _OBJC_CLASS_$_CSFPreferences (from CoreSpeechFoundation)
                 (undefined) external _OBJC_CLASS_$_CSMobileAssetVersions (from CoreSpeechFoundation)
                 (undefined) external _OBJC_CLASS_$_CSOnDeviceCompilationUtils (from CoreSpeechFoundation)
                 (undefined) external _OBJC_CLASS_$_CSUAFAssetManager (from CoreSpeechFoundation)
                 (undefined) external _OBJC_CLASS_$_CSUtils (from CoreSpeechFoundation)
                 (undefined) external _OBJC_CLASS_$_MAAsset (from MobileAsset)
                 (undefined) external _OBJC_CLASS_$_MAAssetQuery (from MobileAsset)
                 (undefined) external _OBJC_CLASS_$_MADownloadOptions (from MobileAsset)
                 (undefined) external _OBJC_CLASS_$_MHSchemaMHCarplayLanguageMismatch (from SiriInstrumentation)
                 (undefined) external _OBJC_CLASS_$_MHSchemaMHClientEvent (from SiriInstrumentation)
                 (undefined) external _OBJC_CLASS_$_MHSchemaMHClientEventMetadata (from SiriInstrumentation)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDictionary (from CoreFoundation)
