00007ff812f00ca6 (__TEXT,__text) non-external _Annihilate
00007ff812f43fff (__TEXT,__text) non-external _BlockSplitterAddSymbolCommand
00007ff812f44073 (__TEXT,__text) non-external _BlockSplitterAddSymbolDistance
00007ff812f44039 (__TEXT,__text) non-external _BlockSplitterAddSymbolLiteral
00007ff812f454de (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
00007ff812f45d6b (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
00007ff812f440ad (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
00007ff812f00a9f (__TEXT,__text) non-external (was a private external) _BrotliAllocate
00007ff812f219ef (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
00007ff812ef1e18 (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
00007ff812f00d6e (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
00007ff812ef21af (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
00007ff812f42917 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
00007ff812f43382 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
00007ff812ef242c (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
00007ff812f08d78 (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
00007ff812f189a0 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
00007ff812f1960b (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
00007ff812f17d35 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
00007ff812f180bd (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
00007ff812f18d28 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
00007ff812f17452 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
00007ff812efa754 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
00007ff812efbf3e (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
00007ff812efd5b8 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
00007ff812efec32 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
00007ff812efa8c4 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
00007ff812f399f8 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
00007ff812f3ad54 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
00007ff812f3b5d0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
