                 (undefined) external _DNSServiceCreateConnection (from libsystem_dnssd)
                 (undefined) external _DNSServiceProcessResult (from libsystem_dnssd)
                 (undefined) external _DNSServiceQueryRecordWithAttribute (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefDeallocate (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefSockFD (from libsystem_dnssd)
                 (undefined) external _DarwinDirectoryGetGeneration (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApply (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApplyWithFilter (from libsystem_darwindirectory)
000000018051316c (__TEXT,__text) non-external _LI_get_thread_info
0000000180529030 (__TEXT,__text) external _LI_get_thread_item
000000018051d518 (__TEXT,__text) external _LI_get_thread_list
00000001805125a0 (__TEXT,__text) external _LI_ils_create
0000000180513134 (__TEXT,__text) external _LI_set_thread_item
0000000180517c80 (__TEXT,__text) external _LI_set_thread_list
00000001805255a4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001805255c8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180527f50 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001805288ac (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018052a830 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001805255c8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001805288ac (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001805288c0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001805305b8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
00000001805305dc (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
00000001805305e8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
0000000180530608 (__TEXT,__text) non-external _OUTLINED_FUNCTION_13
0000000180530614 (__TEXT,__text) non-external _OUTLINED_FUNCTION_14
00000001805255e0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001805288dc (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000180530520 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001805255e0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001805255f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
