000000018b733990 (__TEXT,__const) non-external _SHA256_K
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018b725fd8 (__TEXT,__text) non-external _alone_decode
000000018b726288 (__TEXT,__text) non-external _alone_decoder_end
000000018b7262c8 (__TEXT,__text) non-external _alone_decoder_memconfig
000000018b725028 (__TEXT,__text) non-external _alone_encode
000000018b72515c (__TEXT,__text) non-external _alone_encoder_end
000000018b724eb4 (__TEXT,__text) non-external _alone_encoder_init
000000018b72f4bc (__TEXT,__text) non-external _arm_code
000000018b72f594 (__TEXT,__text) non-external _armthumb_code
000000018b7264f8 (__TEXT,__text) non-external _auto_decode
000000018b726654 (__TEXT,__text) non-external _auto_decoder_end
000000018b726694 (__TEXT,__text) non-external _auto_decoder_get_check
000000018b7263ec (__TEXT,__text) non-external _auto_decoder_init
000000018b7266ac (__TEXT,__text) non-external _auto_decoder_memconfig
000000018b7269b4 (__TEXT,__text) non-external _block_decode
000000018b726bdc (__TEXT,__text) non-external _block_decoder_end
000000018b71fd5c (__TEXT,__text) non-external _block_encode
000000018b724068 (__TEXT,__text) non-external _block_encoder_end
000000018b71dfb4 (__TEXT,__text) non-external _block_encoder_init
000000018b725650 (__TEXT,__text) non-external _block_encoder_update
000000018b722ea4 (__TEXT,__text) non-external _bt_find_func
000000018b720c80 (__TEXT,__text) non-external _bt_skip_func
                 (undefined) external _bzero (from libSystem)
000000018b72edd0 (__TEXT,__text) non-external _copy_or_code
000000018b72a570 (__TEXT,__text) non-external _decode_buffer
000000018b7270d0 (__TEXT,__text) non-external _decoder_find
00000001dab97898 (__AUTH_CONST,__const) non-external _decoders
000000018b72e680 (__TEXT,__text) non-external _delta_coder_end
000000018b72e8a4 (__TEXT,__text) non-external _delta_decode
000000018b72e710 (__TEXT,__text) non-external _delta_encode
000000018b72e840 (__TEXT,__text) non-external _delta_encoder_update
000000018b71e5ec (__TEXT,__text) non-external _encoder_find
00000001dab976a0 (__AUTH_CONST,__const) non-external _encoders
000000018b72f830 (__TEXT,__const) non-external _features
                 (undefined) external _free (from libSystem)
000000018b726e5c (__TEXT,__text) non-external _free_properties
000000018b722fcc (__TEXT,__text) non-external _get_literal_price
000000018b727a54 (__TEXT,__text) non-external _hash_append
000000018b72993c (__TEXT,__text) non-external _hc_find_func
000000018b72f2a0 (__TEXT,__text) non-external _ia64_code
