                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) weak external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external __exit (from libSystem)
                 (undefined) external _accept (from libSystem)
                 (undefined) external _access (from libSystem)
000000027aad43e8 (__TEXT,__text) external _apr__SHA256_Data
000000027aad4320 (__TEXT,__text) external _apr__SHA256_End
000000027aad4214 (__TEXT,__text) external _apr__SHA256_Final
000000027aad3efc (__TEXT,__text) external _apr__SHA256_Init
000000027aad3f2c (__TEXT,__text) external _apr__SHA256_Transform
000000027aad4128 (__TEXT,__text) external _apr__SHA256_Update
000000027aacb8c4 (__TEXT,__text) external _apr_allocator_alloc
000000027aacb754 (__TEXT,__text) external _apr_allocator_create
000000027aacb7b4 (__TEXT,__text) external _apr_allocator_destroy
000000027aacba7c (__TEXT,__text) external _apr_allocator_free
000000027aacb83c (__TEXT,__text) external _apr_allocator_max_free_set
000000027aacb824 (__TEXT,__text) external _apr_allocator_mutex_get
000000027aacb81c (__TEXT,__text) external _apr_allocator_mutex_set
000000027aacb834 (__TEXT,__text) external _apr_allocator_owner_get
000000027aacb82c (__TEXT,__text) external _apr_allocator_owner_set
000000027aacdfd8 (__TEXT,__text) external _apr_app_initialize
000000027aac4f18 (__TEXT,__text) external _apr_array_append
000000027aac4d48 (__TEXT,__text) external _apr_array_cat
000000027aac4c68 (__TEXT,__text) external _apr_array_clear
000000027aac4e24 (__TEXT,__text) external _apr_array_copy
000000027aac4ed4 (__TEXT,__text) external _apr_array_copy_hdr
000000027aac4be8 (__TEXT,__text) external _apr_array_make
000000027aac4c70 (__TEXT,__text) external _apr_array_pop
000000027aac4f78 (__TEXT,__text) external _apr_array_pstrcat
000000027aac4c9c (__TEXT,__text) external _apr_array_push
000000027aac2ee4 (__TEXT,__text) external _apr_atoi64
000000027aac6784 (__TEXT,__text) external _apr_atomic_add32
000000027aac67b4 (__TEXT,__text) external _apr_atomic_cas32
000000027aac67cc (__TEXT,__text) external _apr_atomic_casptr
000000027aac67a4 (__TEXT,__text) external _apr_atomic_dec32
000000027aac6798 (__TEXT,__text) external _apr_atomic_inc32
000000027aac676c (__TEXT,__text) external _apr_atomic_init
