0000000277456350 (__TEXT,__text) external _AAAFSCGetMetadata
0000000277456718 (__TEXT,__text) external _AAAFSCSetMetadata
00000002774557a4 (__TEXT,__text) external _AAAFSCStreamOpen
0000000277455e80 (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
0000000277455fbc (__TEXT,__text) external _AAAFSCStreamOpenWithState
00000002773e3ebc (__TEXT,__text) external _AAArchiveStreamCancel
00000002773e3e68 (__TEXT,__text) external _AAArchiveStreamClose
00000002773f89e8 (__TEXT,__text) external _AAArchiveStreamProcess
00000002773e3e18 (__TEXT,__text) external _AAArchiveStreamReadBlob
00000002773e3e00 (__TEXT,__text) external _AAArchiveStreamReadHeader
00000002773e3e4c (__TEXT,__text) external _AAArchiveStreamWriteBlob
00000002773e3e34 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00000002773e5050 (__TEXT,__text) external _AAArchiveStreamWritePathList
00000002773e874c (__TEXT,__text) external _AAAssetBuilderAddFilter
00000002773e866c (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
00000002773e85b8 (__TEXT,__text) external _AAAssetBuilderCreate
00000002773e8660 (__TEXT,__text) external _AAAssetBuilderDestroy
000000027744af54 (__TEXT,__text) external _AAAssetBuilderGenerate
00000002773e881c (__TEXT,__text) external _AAAssetBuilderGetParameter
00000002773e8754 (__TEXT,__text) external _AAAssetBuilderSetParameter
00000002773e8e3c (__TEXT,__text) external _AAAssetExtractorCreate
00000002773e9354 (__TEXT,__text) external _AAAssetExtractorDestroy
00000002773e9d3c (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
00000002773e9cb0 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
00000002773e9814 (__TEXT,__text) external _AAAssetExtractorWrite
000000027745db34 (__TEXT,__text) external _AAAsyncByteStreamCancel
000000027745db48 (__TEXT,__text) external _AAAsyncByteStreamClose
000000027745d5b4 (__TEXT,__text) external _AAAsyncByteStreamGetRange
000000027745d9b4 (__TEXT,__text) external _AAAsyncByteStreamProcess
0000000277418150 (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
00000002773f99b8 (__TEXT,__text) external _AAByteRangeAdd
00000002773f98ac (__TEXT,__text) external _AAByteRangeClone
00000002773f97e4 (__TEXT,__text) external _AAByteRangeCreate
00000002773f9868 (__TEXT,__text) external _AAByteRangeDestroy
00000002773f9bac (__TEXT,__text) external _AAByteRangeFirst
00000002773f9cf8 (__TEXT,__text) external _AAByteRangeNext
