                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
000000018e62236c (__TEXT,__text) external __cg_jcopy_block_row
000000018e622314 (__TEXT,__text) external __cg_jcopy_sample_rows
000000018e63cdf0 (__TEXT,__text) external __cg_jinit_1pass_quantizer
000000018e61944c (__TEXT,__text) external __cg_jinit_2pass_quantizer
000000018e62185c (__TEXT,__text) external __cg_jinit_c_coef_controller
000000018e622384 (__TEXT,__text) external __cg_jinit_c_main_controller
000000018e62c520 (__TEXT,__text) external __cg_jinit_c_master_control
000000018e6225c8 (__TEXT,__text) external __cg_jinit_c_prep_controller
000000018e61834c (__TEXT,__text) external __cg_jinit_color_converter
000000018e620d9c (__TEXT,__text) external __cg_jinit_color_deconverter
000000018e6181d4 (__TEXT,__text) external __cg_jinit_compress_master
000000018e62b4b8 (__TEXT,__text) external __cg_jinit_d_coef_controller
000000018e62df2c (__TEXT,__text) external __cg_jinit_d_main_controller
000000018e62eb7c (__TEXT,__text) external __cg_jinit_d_post_controller
000000018e6352d8 (__TEXT,__text) external __cg_jinit_downsampler
000000018e6201c4 (__TEXT,__text) external __cg_jinit_forward_dct
000000018e636784 (__TEXT,__text) external __cg_jinit_huff_decoder
000000018e63a584 (__TEXT,__text) external __cg_jinit_huff_encoder
000000018e623684 (__TEXT,__text) external __cg_jinit_input_controller
000000018e618c5c (__TEXT,__text) external __cg_jinit_inverse_dct
000000018e61aaac (__TEXT,__text) external __cg_jinit_marker_reader
000000018e639104 (__TEXT,__text) external __cg_jinit_marker_writer
000000018e62d930 (__TEXT,__text) external __cg_jinit_master_decompress
000000018e63e03c (__TEXT,__text) external __cg_jinit_memory_mgr
000000018e6360d8 (__TEXT,__text) external __cg_jinit_merged_upsampler
000000018e62e600 (__TEXT,__text) external __cg_jinit_upsampler
000000018e634e18 (__TEXT,__text) external __cg_jpeg_CreateCompress
000000018e622d50 (__TEXT,__text) external __cg_jpeg_CreateDecompress
000000018e61ce80 (__TEXT,__text) external __cg_jpeg_abort
000000018e634f44 (__TEXT,__text) external __cg_jpeg_abort_compress
000000018e622e58 (__TEXT,__text) external __cg_jpeg_abort_decompress
000000018e62a8cc (__TEXT,__text) external __cg_jpeg_add_quant_table
000000018e61cf3c (__TEXT,__text) external __cg_jpeg_alloc_huff_table
000000018e61cf10 (__TEXT,__text) external __cg_jpeg_alloc_quant_table
000000018e62d57c (__TEXT,__text) external __cg_jpeg_calc_output_dimensions
000000018e622ef4 (__TEXT,__text) external __cg_jpeg_consume_input
000000018e638b48 (__TEXT,__text) external __cg_jpeg_copy_critical_parameters
000000018e62ad30 (__TEXT,__text) external __cg_jpeg_default_colorspace
000000018e61ced4 (__TEXT,__text) external __cg_jpeg_destroy
000000018e634f40 (__TEXT,__text) external __cg_jpeg_destroy_compress
000000018e622e54 (__TEXT,__text) external __cg_jpeg_destroy_decompress
000000018e63da68 (__TEXT,__text) external __cg_jpeg_fdct_float
000000018e638730 (__TEXT,__text) external __cg_jpeg_fdct_ifast
000000018e62f52c (__TEXT,__text) external __cg_jpeg_fdct_islow
000000018e634f98 (__TEXT,__text) external __cg_jpeg_finish_compress
000000018e62327c (__TEXT,__text) external __cg_jpeg_finish_decompress
000000018e63a4cc (__TEXT,__text) external __cg_jpeg_finish_output
000000018e61e650 (__TEXT,__text) external __cg_jpeg_free_large
000000018e61e640 (__TEXT,__text) external __cg_jpeg_free_small
000000018e61e648 (__TEXT,__text) external __cg_jpeg_get_large
000000018e61e638 (__TEXT,__text) external __cg_jpeg_get_small
000000018e623224 (__TEXT,__text) external __cg_jpeg_has_multiple_scans
000000018e625024 (__TEXT,__text) external __cg_jpeg_idct_1x1
000000018e624f88 (__TEXT,__text) external __cg_jpeg_idct_2x2
000000018e624c78 (__TEXT,__text) external __cg_jpeg_idct_4x4
000000018e62f198 (__TEXT,__text) external __cg_jpeg_idct_float
000000018e61fdc8 (__TEXT,__text) external __cg_jpeg_idct_ifast
000000018e624000 (__TEXT,__text) external __cg_jpeg_idct_islow
000000018e6231cc (__TEXT,__text) external __cg_jpeg_input_complete
000000018e61e658 (__TEXT,__text) external __cg_jpeg_mem_available
000000018e61e85c (__TEXT,__text) external __cg_jpeg_mem_init
000000018e61e868 (__TEXT,__text) external __cg_jpeg_mem_term
000000018e63fa60 (__TEXT,__const) external __cg_jpeg_natural_order
000000018e62d880 (__TEXT,__text) external __cg_jpeg_new_colormap
000000018e61e668 (__TEXT,__text) external __cg_jpeg_open_backing_store
000000018e62aab8 (__TEXT,__text) external __cg_jpeg_quality_scaling
000000018e62efc8 (__TEXT,__text) external __cg_jpeg_read_coefficients
000000018e622e5c (__TEXT,__text) external __cg_jpeg_read_header
000000018e63a340 (__TEXT,__text) external __cg_jpeg_read_raw_data
000000018e63a260 (__TEXT,__text) external __cg_jpeg_read_scanlines
000000018e61a820 (__TEXT,__text) external __cg_jpeg_resync_to_restart
