00000001c9a5e684 (__TEXT,__text) non-external +[NFPromise new]
00000001c9a5ff30 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00000001c9a5fcf0 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00000001c9a5fcd8 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00000001c9a5fcc0 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00000001c9a5fbb8 (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00000001c9a5fc60 (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00000001c9a5fbf8 (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00000001c9a610d8 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00000001c9a5c994 (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00000001c9a5ded0 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00000001c9a5df60 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00000001c9a5dff4 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00000001c9a5e0a4 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00000001c9a601c4 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00000001c9a60134 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00000001c9a634b8 (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00000001c9a5c610 (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00000001c9a5c824 (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
00000001c9a5c400 (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00000001c9a5bec4 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00000001c9a5c3f0 (__TEXT,__text) non-external -[NFEventManager events]
00000001c9a5b828 (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00000001c9a63708 (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00000001c9a5c22c (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00000001c9a5c024 (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00000001c9a5b7a4 (__TEXT,__text) non-external -[NFEventManager init]
00000001c9a5ba14 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00000001c9a63868 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00000001c9a5bd70 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00000001c9a63a78 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00000001c9a5bcb4 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00000001c9a639c8 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00000001c9a5b8c4 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00000001c9a637b8 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00000001c9a5bb64 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00000001c9a63918 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00000001c9a5c3f8 (__TEXT,__text) non-external -[NFEventManager triggers]
00000001c9a5c55c (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00000001c9a5c544 (__TEXT,__text) non-external -[NFEventTrigger block]
00000001c9a5c53c (__TEXT,__text) non-external -[NFEventTrigger events]
00000001c9a5c554 (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
00000001c9a5c54c (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00000001c9a5c444 (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00000001c9a5c534 (__TEXT,__text) non-external -[NFEventTrigger key]
00000001c9a5de80 (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00000001c9a5de70 (__TEXT,__text) non-external -[NFLazy constructor]
00000001c9a5dca4 (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00000001c9a5de78 (__TEXT,__text) non-external -[NFLazy lock]
00000001c9a5ddfc (__TEXT,__text) non-external -[NFLazy reset]
00000001c9a5dd44 (__TEXT,__text) non-external -[NFLazy value]
00000001c9a63374 (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00000001c9a62d9c (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00000001c9a63364 (__TEXT,__text) non-external -[NFMultiDelegate children]
