00007ffb1bba94de (__TEXT,__text) non-external +[CBOR cborFalse]
00007ffb1bba9472 (__TEXT,__text) non-external +[CBOR cborNil]
00007ffb1bba94a8 (__TEXT,__text) non-external +[CBOR cborTrue]
00007ffb1bba8e47 (__TEXT,__text) non-external +[CBOR cborWithArray:]
00007ffb1bba8fd9 (__TEXT,__text) non-external +[CBOR cborWithData:]
00007ffb1bba9346 (__TEXT,__text) non-external +[CBOR cborWithDateTime:]
00007ffb1bba8ee7 (__TEXT,__text) non-external +[CBOR cborWithDictionary:]
00007ffb1bba8f87 (__TEXT,__text) non-external +[CBOR cborWithDictionary:keyOrderList:]
00007ffb1bba8dc9 (__TEXT,__text) non-external +[CBOR cborWithDouble:]
00007ffb1bba9514 (__TEXT,__text) non-external +[CBOR cborWithEmbeddedCBORData:]
00007ffb1bba9079 (__TEXT,__text) non-external +[CBOR cborWithEncodedTag24Data:]
00007ffb1bba8d4b (__TEXT,__text) non-external +[CBOR cborWithFloat:]
00007ffb1bba9214 (__TEXT,__text) non-external +[CBOR cborWithFullDate:]
00007ffb1bba8ccd (__TEXT,__text) non-external +[CBOR cborWithHalfFloat:]
00007ffb1bba8b60 (__TEXT,__text) non-external +[CBOR cborWithInteger:]
00007ffb1bba9174 (__TEXT,__text) non-external +[CBOR cborWithUTF8String:]
00007ffb1bba8c1e (__TEXT,__text) non-external +[CBOR cborWithUnsignedInteger:]
00007ffb1bba27d0 (__TEXT,__text) non-external +[CBOR encodeMajorType2or3:]
00007ffb1bba2e3e (__TEXT,__text) non-external +[CBOR encodeMajorType7Bool:]
00007ffb1bba2dfa (__TEXT,__text) non-external +[CBOR encodeMajorType7Undefined]
00007ffb1bbab230 (__TEXT,__text) non-external +[CBOR(COSE) cborWithCOSE:]
00007ffb1bbae585 (__TEXT,__text) non-external +[CBOR(COSEKey) cborWithCOSEKey:]
00007ffb1bba46b8 (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:]
00007ffb1bba46d2 (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:keepKeyOrdering:]
00007ffb1bba46e7 (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:keepKeyOrdering:noCopy:]
00007ffb1bba4ced (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeFromBytes:length:recursionLevel:keepKeyOrdering:noCopy:]
00007ffb1bba4f9f (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType0And1FromBuffer:length:tag:]
00007ffb1bba5478 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType2And3FromBuffer:length:tag:indefiniteLenContainerType:noCopy:]
00007ffb1bba5d14 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType4FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:]
00007ffb1bba62a4 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType5FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:]
00007ffb1bba6ab8 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType6FromBuffer:length:tag:]
00007ffb1bba6e4c (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType7FromBuffer:length:tag:]
00007ffb1bba2e8e (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:]
00007ffb1bba2ea2 (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:encodingKeyOrder:]
00007ffb1bbac689 (__TEXT,__text) non-external +[NSData(COSE) dataWithCOSE:]
00007ffb1bbae592 (__TEXT,__text) non-external +[NSData(COSEKey) dataWithCOSEKey:]
00007ffb1bba96cf (__TEXT,__text) non-external -[CBOR .cxx_destruct]
00007ffb1bba7d0f (__TEXT,__text) non-external -[CBOR array]
00007ffb1bba7b1d (__TEXT,__text) non-external -[CBOR boolValue]
00007ffb1bba96a0 (__TEXT,__text) non-external -[CBOR cachedHash]
00007ffb1bba73d0 (__TEXT,__text) non-external -[CBOR copyWithZone:]
00007ffb1bba7c79 (__TEXT,__text) non-external -[CBOR data]
00007ffb1bba7db1 (__TEXT,__text) non-external -[CBOR date]
00007ffb1bba841f (__TEXT,__text) non-external -[CBOR description]
00007ffb1bba7d60 (__TEXT,__text) non-external -[CBOR dictionary]
00007ffb1bba7a62 (__TEXT,__text) non-external -[CBOR doubleValue]
00007ffb1bba95eb (__TEXT,__text) non-external -[CBOR encodeToEmbeddedCBORData]
00007ffb1bba78e3 (__TEXT,__text) non-external -[CBOR hash]
00007ffb1bba7823 (__TEXT,__text) non-external -[CBOR initWithCbor:tag:]
00007ffb1bba740b (__TEXT,__text) non-external -[CBOR initWithType:value:valueSize:tag:]
00007ffb1bba8309 (__TEXT,__text) non-external -[CBOR isBoolean]
00007ffb1bba831e (__TEXT,__text) non-external -[CBOR isDate]
00007ffb1bba83c7 (__TEXT,__text) non-external -[CBOR isEmbeddedCBORData]
00007ffb1bba78f5 (__TEXT,__text) non-external -[CBOR isEqual:]
00007ffb1bba82f4 (__TEXT,__text) non-external -[CBOR isFloatNumber]
00007ffb1bba82da (__TEXT,__text) non-external -[CBOR isWholeNumber]
00007ffb1bba79b3 (__TEXT,__text) non-external -[CBOR longLongValue]
00007ffb1bba7ab6 (__TEXT,__text) non-external -[CBOR numeric]
00007ffb1bba96b4 (__TEXT,__text) non-external -[CBOR orderedKeys]
00007ffb1bba96aa (__TEXT,__text) non-external -[CBOR setCachedHash:]
00007ffb1bba96be (__TEXT,__text) non-external -[CBOR setOrderedKeys:]
00007ffb1bba9660 (__TEXT,__text) non-external -[CBOR setTag:]
00007ffb1bba967b (__TEXT,__text) non-external -[CBOR setValue:]
00007ffb1bba9696 (__TEXT,__text) non-external -[CBOR setValueSize:]
00007ffb1bba7b7b (__TEXT,__text) non-external -[CBOR string]
00007ffb1bba9656 (__TEXT,__text) non-external -[CBOR tag]
00007ffb1bba964c (__TEXT,__text) non-external -[CBOR type]
00007ffb1bba7a08 (__TEXT,__text) non-external -[CBOR unsignedLongLongValue]
00007ffb1bba968c (__TEXT,__text) non-external -[CBOR valueSize]
00007ffb1bba9671 (__TEXT,__text) non-external -[CBOR value]
00007ffb1bba4790 (__TEXT,__text) non-external -[CBOR(Decoder) asJSON]
00007ffb1bbab10d (__TEXT,__text) non-external -[COSE .cxx_destruct]
00007ffb1bbaa15c (__TEXT,__text) non-external -[COSE _parseCommonHeaderParameters:]
00007ffb1bbaab3c (__TEXT,__text) non-external -[COSE _searchForHeaderLabel:]
00007ffb1bbab0d1 (__TEXT,__text) non-external -[COSE algorithmIdentifier]
00007ffb1bbab0e5 (__TEXT,__text) non-external -[COSE contentType]
00007ffb1bbaa08c (__TEXT,__text) non-external -[COSE content]
00007ffb1bbab0db (__TEXT,__text) non-external -[COSE criticalHeaderParameters]
00007ffb1bba98c4 (__TEXT,__text) non-external -[COSE initWithCBOR:]
00007ffb1bba9704 (__TEXT,__text) non-external -[COSE initWithData:]
00007ffb1bba975e (__TEXT,__text) non-external -[COSE initWithData:type:]
00007ffb1bba9cba (__TEXT,__text) non-external -[COSE initWithProtectedHeaders:unprotectedHeaders:payload:type:additionalCBORs:]
00007ffb1bbab0f9 (__TEXT,__text) non-external -[COSE initializationVector]
