00007ffc13f0c473 (__TEXT,__text) non-external _Done_iODBC
00007ffc13f2a120 (__TEXT,__const) non-external _FunctionNumbers
00007ffc13f29175 (__TEXT,__text) non-external _GetPrivateProfileString
00007ffc13f0c355 (__TEXT,__text) non-external _Init_iODBC
00007ffc418c3b3c (__DATA,__common) non-external _ODBCSharedTraceFlag
00007ffc13f0aa24 (__TEXT,__text) external _SQLAllocConnect
00007ffc13f0a914 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00007ffc13f0c2dc (__TEXT,__text) external _SQLAllocEnv
00007ffc13f0c12e (__TEXT,__text) non-external _SQLAllocEnv_Internal
00007ffc13f1698c (__TEXT,__text) external _SQLAllocHandle
00007ffc13f16a87 (__TEXT,__text) non-external _SQLAllocHandleStd
00007ffc13f16700 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00007ffc13f0f4d5 (__TEXT,__text) external _SQLAllocStmt
00007ffc13f0ef54 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00007ffc13f14579 (__TEXT,__text) external _SQLBindCol
00007ffc13f1c93c (__TEXT,__text) external _SQLBindParam
00007ffc13f138a9 (__TEXT,__text) external _SQLBindParameter
00007ffc13f0769a (__TEXT,__text) external _SQLBrowseConnect
00007ffc13f0780b (__TEXT,__text) external _SQLBrowseConnectA
00007ffc13f0797c (__TEXT,__text) external _SQLBrowseConnectW
00007ffc13f0704d (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00007ffc13f1c418 (__TEXT,__text) external _SQLBulkOperations
00007ffc13f103be (__TEXT,__text) external _SQLCancel
00007ffc13f1c968 (__TEXT,__text) external _SQLCloseCursor
00007ffc13f1be58 (__TEXT,__text) external _SQLColAttribute
00007ffc13f1c004 (__TEXT,__text) external _SQLColAttributeA
00007ffc13f1c1b0 (__TEXT,__text) external _SQLColAttributeW
00007ffc13f1b709 (__TEXT,__text) non-external _SQLColAttribute_Internal
00007ffc13f161f9 (__TEXT,__text) external _SQLColAttributes
00007ffc13f163a5 (__TEXT,__text) external _SQLColAttributesA
00007ffc13f16551 (__TEXT,__text) external _SQLColAttributesW
00007ffc13f15d01 (__TEXT,__text) non-external _SQLColAttributes_Internal
00007ffc13effc2c (__TEXT,__text) external _SQLColumnPrivileges
00007ffc13effe23 (__TEXT,__text) external _SQLColumnPrivilegesA
00007ffc13f0001a (__TEXT,__text) external _SQLColumnPrivilegesW
00007ffc13eff970 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00007ffc13f004cd (__TEXT,__text) external _SQLColumns
00007ffc13f006c4 (__TEXT,__text) external _SQLColumnsA
00007ffc13f008bb (__TEXT,__text) external _SQLColumnsW
00007ffc13f00211 (__TEXT,__text) non-external _SQLColumns_Internal
00007ffc13f044b2 (__TEXT,__text) external _SQLConnect
00007ffc13f04df3 (__TEXT,__text) external _SQLConnectA
00007ffc13f04f8a (__TEXT,__text) external _SQLConnectW
00007ffc13f04649 (__TEXT,__text) non-external _SQLConnect_Internal
00007ffc13f29e83 (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007ffc13f1b589 (__TEXT,__text) external _SQLCopyDesc
00007ffc13f10e91 (__TEXT,__text) external _SQLDataSources
00007ffc13f10fb9 (__TEXT,__text) external _SQLDataSourcesA
00007ffc13f110e1 (__TEXT,__text) external _SQLDataSourcesW
00007ffc13f10a30 (__TEXT,__text) non-external _SQLDataSources_Internal
00007ffc418c3ac0 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007ffc418c3ae0 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007ffc418c3ae8 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007ffc13f1573a (__TEXT,__text) external _SQLDescribeCol
00007ffc13f15927 (__TEXT,__text) external _SQLDescribeColA
00007ffc13f15b14 (__TEXT,__text) external _SQLDescribeColW
00007ffc13f15488 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007ffc13f09788 (__TEXT,__text) external _SQLDescribeParam
00007ffc13f07aed (__TEXT,__text) external _SQLDisconnect
