000000019061a26c (__TEXT,__text) non-external _Annihilate
0000000190659e4c (__TEXT,__text) non-external _BlockSplitterAddSymbolCommand
0000000190659edc (__TEXT,__text) non-external _BlockSplitterAddSymbolDistance
0000000190659e94 (__TEXT,__text) non-external _BlockSplitterAddSymbolLiteral
000000019065acfc (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
000000019065b2e4 (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
0000000190659f24 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
0000000190619fec (__TEXT,__text) non-external (was a private external) _BrotliAllocate
000000019063b8bc (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
000000019060e184 (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
000000019061a344 (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
000000019060e354 (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
00000001906589a0 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
000000019065922c (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
000000019060e5a0 (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
0000000190620f4c (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
00000001906340c4 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
0000000190634bf8 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
0000000190633590 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
0000000190633840 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
0000000190634374 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
0000000190632d0c (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
0000000190614cc4 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
0000000190616104 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
00000001906173a8 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
000000019061864c (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
0000000190614e60 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
0000000190650104 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
0000000190651424 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
0000000190651c5c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
0000000190652494 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
0000000190652ccc (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
0000000190653504 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
0000000190653d3c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
0000000190654574 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
0000000190654eb4 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
00000001906503b4 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
0000000190650bec (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
000000019062e650 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00000001906424f0 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
0000000190637020 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
000000019062dcbc (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
0000000190636ec0 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
000000019061f74c (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
000000019061f86c (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
000000019061f98c (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
000000019061f80c (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
0000000190623750 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
0000000190623748 (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00000001906235f8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
000000019062528c (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00000001906236fc (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00000001906236dc (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
000000019061f6f4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
0000000190625248 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00000001906251c8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
0000000190625094 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
000000019062517c (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
0000000190623630 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
0000000190612db4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
000000019061f480 (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
000000019061f488 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
000000019061b3c0 (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
000000019060eca0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
0000000190610490 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
000000019060ea88 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
000000019060eb9c (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
0000000190612d40 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
0000000190611210 (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
000000019060ec7c (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
000000019060e9d4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
0000000190612d50 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
0000000190612db4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
0000000190622058 (__TEXT,__text) non-external _BrotliEnsureRingBuffer
000000019062ceb8 (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
000000019064ddf4 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
00000001906622e4 (__TEXT,__text) non-external _BrotliFindAllStaticDictionaryMatches.cold.1
00000001906622e4 (__TEXT,__text) non-external _BrotliFindAllStaticDictionaryMatches.cold.2
000000019061a12c (__TEXT,__text) non-external (was a private external) _BrotliFree
000000019061a334 (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
000000019063a3ac (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
0000000190633d34 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
0000000190634868 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
