00007ffb4221a170 (__DATA,__common) external _AfterColour
00007ffb4221c660 (__DATA,__common) external _ApplyExtTspWithoutProfile
00007ffb4221dce0 (__DATA,__common) external _AsmMacroMaxNestingDepth
00007ffb42213970 (__DATA,__common) external _BBSectionsDetectSourceDrift
00007ffb4221a070 (__DATA,__common) external _BeforeColour
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCStringNoCopy (from CoreFoundation)
00007ffb422148a0 (__DATA,__common) external _CheapRematWeight
00007ffb4221a270 (__DATA,__common) external _CommonColour
00007ffb42214600 (__DATA,__common) external _CopyWeight
00007ffb422199e0 (__DATA,__common) external _DisableBitcodeVersionUpgrade
00007ffb4221c590 (__DATA,__common) external _EnableExtTspBlockPlacement
00007ffb42218290 (__DATA,__common) external _EnableLTOInternalization
00007ffb4221db20 (__DATA,__common) external _EnableVPlanNativePath
00007ffb4221da50 (__DATA,__common) external _EnableVPlanPredication
00007ffb42214520 (__DATA,__common) external _EvictInterferenceCutoff
00007ffb42214980 (__DATA,__common) external _ExpensiveRematWeight
00007ffb43f8ea60 (__DATA_DIRTY,__common) external _FSEC
00007ffb4221b560 (__DATA,__common) external _ForceFusion
00007ffb42213150 (__DATA,__common) external _ForceSummaryEdgesCold
00007ffb4221b3c0 (__DATA,__common) external _FuseMatrix
00007ffb4221ac10 (__DATA,__common) external _GenerateMergedBaseProfiles
00007ffb422125d0 (__DATA,__common) external _InlinerFunctionImportStats
00007ffb117bb8b1 (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffb117bb888 (__TEXT,__text) external _LLVMABISizeOfType
00007ffb10e570c4 (__TEXT,__text) external _LLVMAGXRuntimeMajorVersion
00007ffb10e570cf (__TEXT,__text) external _LLVMAGXRuntimeMinorVersion
00007ffb118d119c (__TEXT,__text) external _LLVMAddAddDiscriminatorsPass
00007ffb114da6ba (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007ffb106a3181 (__TEXT,__text) external _LLVMAddAggressiveInstCombinerPass
00007ffb10c7f8ce (__TEXT,__text) external _LLVMAddAlias
00007ffb10c7f96b (__TEXT,__text) external _LLVMAddAlias2
00007ffb114da723 (__TEXT,__text) external _LLVMAddAlignmentFromAssumptionsPass
00007ffb10fba598 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffb117bdfad (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffb10fba4b2 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffb10c7feeb (__TEXT,__text) external _LLVMAddAttributeAtIndex
00007ffb114dad77 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007ffb114da700 (__TEXT,__text) external _LLVMAddBitTrackingDCEPass
00007ffb114da746 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffb10c80b01 (__TEXT,__text) external _LLVMAddCallSiteAttribute
00007ffb10fba4da (__TEXT,__text) external _LLVMAddCalledValuePropagationPass
00007ffb10c81db4 (__TEXT,__text) external _LLVMAddCase
00007ffb10c81e01 (__TEXT,__text) external _LLVMAddClause
00007ffb10fba4fd (__TEXT,__text) external _LLVMAddConstantMergePass
00007ffb11956752 (__TEXT,__text) external _LLVMAddCoroCleanupPass
00007ffb119566e7 (__TEXT,__text) external _LLVMAddCoroEarlyPass
00007ffb1195672f (__TEXT,__text) external _LLVMAddCoroElidePass
00007ffb1195670a (__TEXT,__text) external _LLVMAddCoroSplitPass
00007ffb114dac9e (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00007ffb114da6dd (__TEXT,__text) external _LLVMAddDCEPass
00007ffb10fba520 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00007ffb114da7ec (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00007ffb114dac53 (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
00007ffb10c81dbe (__TEXT,__text) external _LLVMAddDestination
00007ffb114dace6 (__TEXT,__text) external _LLVMAddEarlyCSEMemSSAPass
00007ffb114dacc1 (__TEXT,__text) external _LLVMAddEarlyCSEPass
00007ffb10c7fadb (__TEXT,__text) external _LLVMAddFunction
00007ffb10fba543 (__TEXT,__text) external _LLVMAddFunctionAttrsPass
00007ffb10fba566 (__TEXT,__text) external _LLVMAddFunctionInliningPass
00007ffb114da832 (__TEXT,__text) external _LLVMAddGVNPass
00007ffb10c7f52e (__TEXT,__text) external _LLVMAddGlobal
00007ffb10fba5c0 (__TEXT,__text) external _LLVMAddGlobalDCEPass
00007ffb10c8028d (__TEXT,__text) external _LLVMAddGlobalIFunc
00007ffb10c7f5c7 (__TEXT,__text) external _LLVMAddGlobalInAddressSpace
00007ffb10fba5f2 (__TEXT,__text) external _LLVMAddGlobalOptimizerPass
00007ffb10c81e32 (__TEXT,__text) external _LLVMAddHandler
00007ffb10fba638 (__TEXT,__text) external _LLVMAddIPSCCPPass
