00000001801318d0 (__TEXT,__text) non-external K256
00000001801339e0 (__TEXT,__text) non-external K_XMM_AR
0000000180133a20 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA1_compress
00000001801319d0 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA256_compress
0000000180131ce0 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA512_compress
0000000180133160 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA512_compress_hwassist
00000001800f529c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018012f228 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018012f228 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180138f44 (__TEXT,__const) non-external (was a private external) _SANDBOX_CHECK_NO_REPORT
0000000180138ef0 (__TEXT,__const) non-external _UUID_NULL
0000000180138f00 (__TEXT,__const) non-external __0x
0000000180109d2c (__TEXT,__text) non-external (was a private external) __Block_object_assign
00000001800c7de4 (__TEXT,__text) non-external (was a private external) __Block_object_dispose
000000018014754e (__TEXT,__cstring) non-external __H
00000001e501b8a0 (__DATA,__common) non-external (was a private external) __NSConcreteGlobalBlock
00000001e501b7a0 (__DATA,__common) non-external (was a private external) __NSConcreteStackBlock
00000001800f52b4 (__TEXT,__text) non-external (was a private external) __Z10murmurHashPKviy
00000001800d0658 (__TEXT,__text) non-external __ZL11hexToUInt64PKcPS0_
00000001e5019888 (__DATA,__data) non-external __ZL12sProcessInfo
00000001800ceb78 (__TEXT,__text) non-external __ZL15OSMemoryBarrierv
00000001e5a0f590 (__DATA_CONST,__const) non-external __ZL15cryptexPrefixes
00000001800ceb64 (__TEXT,__text) non-external __ZL32OSAtomicCompareAndSwapPtrBarrierPvS_PVS_
0000000180127304 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics10clearErrorEv
00000001801273b8 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics11appendErrorEPKcz
0000000180127360 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcPc
0000000180127334 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcz
00000001800c81a8 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1Eb
00000001800c7db0 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsD1Ev
0000000180112cb0 (__TEXT,__text) non-external (was a private external) __ZN12objc_visitor7Visitor12forEachClassEbRKNS0_7SectionEU13block_pointerFvRNS_5ClassEbRbE
00000001801372c8 (__TEXT,__text) non-external __ZN12objc_visitor7Visitor12forEachClassEbRKNS0_7SectionEU13block_pointerFvRNS_5ClassEbRbE.cold.1
0000000180112e38 (__TEXT,__text) non-external (was a private external) __ZN12objc_visitor7Visitor12forEachClassEbU13block_pointerFvRNS_5ClassEbRbE
0000000180112f2c (__TEXT,__text) non-external (was a private external) __ZN12objc_visitor7Visitor15forEachCategoryEU13block_pointerFvRKNS_8CategoryERbE
00000001801372f4 (__TEXT,__text) non-external __ZN12objc_visitor7Visitor15forEachCategoryEU13block_pointerFvRKNS_8CategoryERbE.cold.1
0000000180113078 (__TEXT,__text) non-external (was a private external) __ZN12objc_visitor7Visitor15forEachProtocolEU13block_pointerFvRKNS_8ProtocolERbE
0000000180137320 (__TEXT,__text) non-external __ZN12objc_visitor7Visitor15forEachProtocolEU13block_pointerFvRKNS_8ProtocolERbE.cold.1
0000000180112ea8 (__TEXT,__text) non-external (was a private external) __ZN12objc_visitor7Visitor24forEachClassAndMetaClassEU13block_pointerFvRKNS_5ClassERbE
00000001801061d4 (__TEXT,__text) non-external (was a private external) __ZN13prebuilt_objc12findSelectorEPN5dyld412RuntimeStateERKN5dyld37MapViewINS_19ObjCStringKeyOnDiskEvNS_23HashObjCStringKeyOnDiskENS_24EqualObjCStringKeyOnDiskEEEPKc
0000000180106514 (__TEXT,__text) non-external (was a private external) __ZN13prebuilt_objc12forEachClassEPKvU13block_pointerFvRKN5dyld414PrebuiltLoader13BindTargetRefERKN5dyld35ArrayIPS5_EEE
000000018010623c (__TEXT,__text) non-external (was a private external) __ZN13prebuilt_objc12forEachClassEPN5dyld412RuntimeStateERKN5dyld312MultiMapViewINS_19ObjCStringKeyOnDiskENS_24ObjCObjectOnDiskLocationENS_23HashObjCStringKeyOnDiskENS_24EqualObjCStringKeyOnDiskEEEPKcU13block_pointerFvRKNS3_5ArrayIPKNS0_14PrebuiltLoader13BindTargetRefEEEE
00000001801063a8 (__TEXT,__text) non-external (was a private external) __ZN13prebuilt_objc15forEachProtocolEPN5dyld412RuntimeStateERKN5dyld312MultiMapViewINS_19ObjCStringKeyOnDiskENS_24ObjCObjectOnDiskLocationENS_23HashObjCStringKeyOnDiskENS_24EqualObjCStringKeyOnDiskEEEPKcU13block_pointerFvRKNS3_5ArrayIPKNS0_14PrebuiltLoader13BindTargetRefEEEE
000000018010718c (__TEXT,__text) non-external (was a private external) __ZN13prebuilt_objc24EqualObjCStringKeyOnDisk5equalERKNS_19ObjCStringKeyOnDiskERKNSt3__117basic_string_viewIcNS4_11char_traitsIcEEEEPv
0000000180111d98 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache11inDyldCacheEPKS_PKN5dyld39MachOFileE
00000001801105d0 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache11mappingNameEjy
0000000180111df0 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache14isSubCachePathEPKc
0000000180127178 (__TEXT,__text) non-external (was a private external) __ZN16metadata_visitor13ResolvedValueC1EPKv9VMAddress
0000000180127190 (__TEXT,__text) non-external (was a private external) __ZN16metadata_visitor7VisitorC2EPKN5dyld313MachOAnalyzerE
00000001800f23d4 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedMapIyNS_4UUIDENSt3__14lessIyEEE6insertEONS2_4pairIKyS1_EE
000000018010cc50 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedSetINS_4UUIDENSt3__14lessIS1_EEE6insertERKS1_
000000018010b8f4 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedSetINS_9UniquePtrIN5dyld45Atlas5ImageEEENSt3__14lessIS5_EEE6insertEOS5_
000000018010cd34 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedSetIPKcNS_20ConstCharStarCompareEE6insertEOS2_
000000018010af30 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedSetIPKcNS_20ConstCharStarCompareEE6insertERKS2_
00000001800f440c (__TEXT,__text) non-external (was a private external) __ZN3lsl13MemoryManager12writeProtectEb
00000001800f41a4 (__TEXT,__text) non-external (was a private external) __ZN3lsl13MemoryManager16setDyldCacheAddrEPv
00000001800f41c0 (__TEXT,__text) non-external (was a private external) __ZN3lsl13MemoryManager17vm_allocate_bytesEy
0000000180136790 (__TEXT,__text) non-external __ZN3lsl13MemoryManager17vm_allocate_bytesEy.cold.1
00000001800f41ac (__TEXT,__text) non-external (was a private external) __ZN3lsl13MemoryManager9adoptLockEONS_4LockE
00000001800f41b8 (__TEXT,__text) non-external (was a private external) __ZN3lsl13MemoryManager9lockGuardEv
00000001800f41a0 (__TEXT,__text) non-external (was a private external) __ZN3lsl13MemoryManagerC1EPPKcS3_Pv
00000001800f40fc (__TEXT,__text) non-external (was a private external) __ZN3lsl13MemoryManagerC2EPPKcS3_Pv
00000001800de6bc (__TEXT,__text) non-external (was a private external) __ZN3lsl14emitPVLEUInt64EyRNS_6VectorISt4byteEE
00000001800de784 (__TEXT,__text) non-external (was a private external) __ZN3lsl14readPVLEUInt64ERNSt3__14spanISt4byteLm18446744073709551615EEERy
