                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80ab48cc3 (__TEXT,__text) non-external _au_assemble
00007ff80ab4a1a8 (__TEXT,__text) external _au_bsm_to_domain
00007ff80ab53f00 (__TEXT,__text) external _au_bsm_to_errno
00007ff80ab53fae (__TEXT,__text) external _au_bsm_to_fcntl_cmd
00007ff80ab50343 (__TEXT,__text) external _au_bsm_to_socket_type
00007ff80ab48f1e (__TEXT,__text) external _au_close
00007ff80ab48fca (__TEXT,__text) external _au_close_buffer
00007ff80ab4908b (__TEXT,__text) external _au_close_token
00007ff80ab48bfa (__TEXT,__text) external _au_close_with_errors
00007ff842270db4 (__DATA,__bss) non-external _au_cond
00007ff80ab4a17d (__TEXT,__text) external _au_domain_to_bsm
00007ff80ab53ed2 (__TEXT,__text) external _au_errno_to_bsm
00007ff80ab53f83 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
00007ff80ab471af (__TEXT,__text) external _au_fetch_tok
00007ff80ab48a11 (__TEXT,__text) external _au_free_token
00007ff80ab50242 (__TEXT,__text) external _au_get_state
00007ff80ab501aa (__TEXT,__text) external _au_notify_initialize
00007ff80ab5022d (__TEXT,__text) external _au_notify_terminate
00007ff80ab48a3b (__TEXT,__text) external _au_open
00007ff84226f9c0 (__DATA,__const) non-external _au_polstr
00007ff80ab4951d (__TEXT,__text) external _au_poltostr
00007ff80ab4ffc4 (__TEXT,__text) external _au_preselect
00007ff80ab4aafc (__TEXT,__text) external _au_print_flags_tok
00007ff80ab4f25c (__TEXT,__text) external _au_print_tok
00007ff80ab4f276 (__TEXT,__text) external _au_print_tok_xml
00007ff80ab4aadd (__TEXT,__text) external _au_print_xml_footer
00007ff80ab4aa9c (__TEXT,__text) external _au_print_xml_header
00007ff80ab4f295 (__TEXT,__text) external _au_read_rec
00007ff80ab53e92 (__TEXT,__text) external _au_sdev_close
00007ff80ab53ec5 (__TEXT,__text) external _au_sdev_fd
00007ff80ab46d82 (__TEXT,__text) external _au_sdev_open
00007ff80ab46e56 (__TEXT,__text) external _au_sdev_read_aia
00007ff84226fab0 (__DATA,__const) non-external _au_sflagsstr
00007ff80ab49685 (__TEXT,__text) external _au_sflagstostr
00007ff80ab50318 (__TEXT,__text) external _au_socket_type_to_bsm
00007ff80ab49bf1 (__TEXT,__text) non-external _au_spacetobytes
00007ff80ab53f3f (__TEXT,__text) external _au_strerror
00007ff80ab495be (__TEXT,__text) external _au_strtopol
00007ff80ab49723 (__TEXT,__text) external _au_strtosflags
00007ff80ab48e72 (__TEXT,__text) non-external _au_teardown
00007ff80ab5051c (__TEXT,__text) external _au_to_arg
00007ff80ab5034e (__TEXT,__text) external _au_to_arg32
00007ff80ab5041f (__TEXT,__text) external _au_to_arg64
00007ff80ab5203d (__TEXT,__text) external _au_to_certificate_hash
00007ff80ab50526 (__TEXT,__text) external _au_to_data
00007ff80ab51f08 (__TEXT,__text) external _au_to_exec_args
00007ff80ab5202e (__TEXT,__text) external _au_to_exec_env
00007ff80ab505fe (__TEXT,__text) external _au_to_exit
00007ff80ab50a52 (__TEXT,__text) external _au_to_file
00007ff80ab5068d (__TEXT,__text) external _au_to_groups
00007ff80ab526d3 (__TEXT,__text) external _au_to_header
00007ff80ab5262d (__TEXT,__text) external _au_to_header32
00007ff80ab5259a (__TEXT,__text) external _au_to_header32_ex
00007ff80ab5232b (__TEXT,__text) external _au_to_header32_ex_tm
00007ff80ab5223c (__TEXT,__text) external _au_to_header32_tm
00007ff80ab52680 (__TEXT,__text) external _au_to_header64
00007ff80ab5247a (__TEXT,__text) external _au_to_header64_tm
00007ff80ab526dd (__TEXT,__text) external _au_to_header_ex
00007ff80ab520f5 (__TEXT,__text) external _au_to_identity
00007ff80ab50739 (__TEXT,__text) external _au_to_in_addr
00007ff80ab5078c (__TEXT,__text) external _au_to_in_addr_ex
00007ff80ab507e8 (__TEXT,__text) external _au_to_ip
00007ff80ab50844 (__TEXT,__text) external _au_to_ipc
00007ff80ab508bc (__TEXT,__text) external _au_to_ipc_perm
00007ff80ab5096c (__TEXT,__text) external _au_to_iport
00007ff80ab52755 (__TEXT,__text) external _au_to_kevent
00007ff80ab5204c (__TEXT,__text) external _au_to_krb5_principal
00007ff80ab51e7c (__TEXT,__text) external _au_to_me
00007ff80ab5069f (__TEXT,__text) external _au_to_newgroups
00007ff80ab509c2 (__TEXT,__text) external _au_to_opaque
00007ff80ab50be4 (__TEXT,__text) external _au_to_path
00007ff80ab50f32 (__TEXT,__text) external _au_to_process
00007ff80ab50c7e (__TEXT,__text) external _au_to_process32
00007ff80ab50f3c (__TEXT,__text) external _au_to_process32_ex
00007ff80ab50db8 (__TEXT,__text) external _au_to_process64
00007ff80ab51130 (__TEXT,__text) external _au_to_process64_ex
00007ff80ab51345 (__TEXT,__text) external _au_to_process_ex
00007ff80ab51468 (__TEXT,__text) external _au_to_return
00007ff80ab5134f (__TEXT,__text) external _au_to_return32
00007ff80ab513c7 (__TEXT,__text) external _au_to_return64
00007ff80ab51472 (__TEXT,__text) external _au_to_seq
00007ff80ab517ad (__TEXT,__text) external _au_to_sock_inet
00007ff80ab51741 (__TEXT,__text) external _au_to_sock_inet128
00007ff80ab516d9 (__TEXT,__text) external _au_to_sock_inet32
00007ff80ab51639 (__TEXT,__text) external _au_to_sock_unix
00007ff80ab514dc (__TEXT,__text) external _au_to_socket_ex
00007ff80ab51f17 (__TEXT,__text) non-external _au_to_strings
00007ff80ab51a6b (__TEXT,__text) external _au_to_subject
00007ff80ab517b7 (__TEXT,__text) external _au_to_subject32
00007ff80ab51a75 (__TEXT,__text) external _au_to_subject32_ex
00007ff80ab518f1 (__TEXT,__text) external _au_to_subject64
00007ff80ab51c63 (__TEXT,__text) external _au_to_subject64_ex
00007ff80ab51e72 (__TEXT,__text) external _au_to_subject_ex
00007ff80ab50b4a (__TEXT,__text) external _au_to_text
00007ff80ab526e7 (__TEXT,__text) external _au_to_trailer
00007ff80ab5205b (__TEXT,__text) external _au_to_zonename
00007ff80ab52a84 (__TEXT,__text) external _au_user_mask
00007ff80ab48b74 (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00007ff842270668 (__DATA,__bss) non-external _audit_free_q
00007ff80ab53e1b (__TEXT,__text) external _audit_get_car
00007ff80ab53beb (__TEXT,__text) external _audit_get_class
00007ff80ab52fe9 (__TEXT,__text) external _audit_get_cond
00007ff80ab53e30 (__TEXT,__text) external _audit_get_ctlmode
00007ff80ab53e06 (__TEXT,__text) external _audit_get_cwd
00007ff80ab53e61 (__TEXT,__text) external _audit_get_expire_after
00007ff80ab53caf (__TEXT,__text) external _audit_get_fsize
00007ff80ab53b89 (__TEXT,__text) external _audit_get_kaudit
00007ff80ab53c4d (__TEXT,__text) external _audit_get_kmask
00007ff80ab53d42 (__TEXT,__text) external _audit_get_pinfo
00007ff80ab53d73 (__TEXT,__text) external _audit_get_pinfo_addr
00007ff80ab537b2 (__TEXT,__text) external _audit_get_policy
00007ff80ab53a0c (__TEXT,__text) external _audit_get_qctrl
00007ff80ab5387a (__TEXT,__text) external _audit_get_sflags
00007ff80ab538b5 (__TEXT,__text) external _audit_get_sflags_mask
00007ff80ab489e0 (__TEXT,__text) external _audit_get_sinfo_addr
00007ff80ab53da4 (__TEXT,__text) external _audit_get_stat
00007ff842270660 (__DATA,__bss) non-external _audit_rec_count
00007ff80ab53b72 (__TEXT,__text) external _audit_send_trigger
00007ff80ab53c1c (__TEXT,__text) external _audit_set_class
00007ff80ab5374e (__TEXT,__text) external _audit_set_cond
