000000027913c350 (__TEXT,__text) external _AAAFSCGetMetadata
000000027913c718 (__TEXT,__text) external _AAAFSCSetMetadata
000000027913b7a4 (__TEXT,__text) external _AAAFSCStreamOpen
000000027913be80 (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
000000027913bfbc (__TEXT,__text) external _AAAFSCStreamOpenWithState
00000002790c9ebc (__TEXT,__text) external _AAArchiveStreamCancel
00000002790c9e68 (__TEXT,__text) external _AAArchiveStreamClose
00000002790de9e8 (__TEXT,__text) external _AAArchiveStreamProcess
00000002790c9e18 (__TEXT,__text) external _AAArchiveStreamReadBlob
00000002790c9e00 (__TEXT,__text) external _AAArchiveStreamReadHeader
00000002790c9e4c (__TEXT,__text) external _AAArchiveStreamWriteBlob
00000002790c9e34 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00000002790cb050 (__TEXT,__text) external _AAArchiveStreamWritePathList
00000002790ce74c (__TEXT,__text) external _AAAssetBuilderAddFilter
00000002790ce66c (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
00000002790ce5b8 (__TEXT,__text) external _AAAssetBuilderCreate
00000002790ce660 (__TEXT,__text) external _AAAssetBuilderDestroy
0000000279130f54 (__TEXT,__text) external _AAAssetBuilderGenerate
00000002790ce81c (__TEXT,__text) external _AAAssetBuilderGetParameter
00000002790ce754 (__TEXT,__text) external _AAAssetBuilderSetParameter
00000002790cee3c (__TEXT,__text) external _AAAssetExtractorCreate
00000002790cf354 (__TEXT,__text) external _AAAssetExtractorDestroy
00000002790cfd3c (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
00000002790cfcb0 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
00000002790cf814 (__TEXT,__text) external _AAAssetExtractorWrite
0000000279143b34 (__TEXT,__text) external _AAAsyncByteStreamCancel
0000000279143b48 (__TEXT,__text) external _AAAsyncByteStreamClose
00000002791435b4 (__TEXT,__text) external _AAAsyncByteStreamGetRange
00000002791439b4 (__TEXT,__text) external _AAAsyncByteStreamProcess
00000002790fe150 (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
00000002790df9b8 (__TEXT,__text) external _AAByteRangeAdd
00000002790df8ac (__TEXT,__text) external _AAByteRangeClone
00000002790df7e4 (__TEXT,__text) external _AAByteRangeCreate
00000002790df868 (__TEXT,__text) external _AAByteRangeDestroy
00000002790dfbac (__TEXT,__text) external _AAByteRangeFirst
00000002790dfcf8 (__TEXT,__text) external _AAByteRangeNext
00000002790dfb44 (__TEXT,__text) external _AAByteRangeOffsetAtSize
00000002790dfac8 (__TEXT,__text) external _AAByteRangeSizeAtOffset
00000002790dfa44 (__TEXT,__text) external _AAByteRangeSub
000000027913a68c (__TEXT,__text) external _AAByteStreamCancel
000000027913a6a0 (__TEXT,__text) external _AAByteStreamClose
