0000000249f89a5c (__TEXT,__text) non-external +[GPDataConversionUtils convertFloat16ToFloat32:]
0000000249f847ac (__TEXT,__text) non-external +[MADService(Generative_Playground) getEmbeddingVectorDimension:]
0000000249f89a0c (__TEXT,__text) non-external -[GPAppleConnectTokenProvider .cxx_destruct]
0000000249f899f8 (__TEXT,__text) non-external -[GPAppleConnectTokenProvider authenticatingProtocol]
0000000249f89960 (__TEXT,__text) non-external -[GPAppleConnectTokenProvider initWithAuthenticatingProtocol:]
0000000249f89a00 (__TEXT,__text) non-external -[GPAppleConnectTokenProvider setAuthenticatingProtocol:]
0000000249f899e8 (__TEXT,__text) non-external -[GPAppleConnectTokenProvider setupTokenWithCompletion:]
0000000249f899f0 (__TEXT,__text) non-external -[GPAppleConnectTokenProvider token]
0000000249f89938 (__TEXT,__text) non-external -[GPMagicPaperState frame]
0000000249f898a4 (__TEXT,__text) non-external -[GPMagicPaperState initWithFrame:isEditing:]
0000000249f89950 (__TEXT,__text) non-external -[GPMagicPaperState isEditing]
0000000249f89944 (__TEXT,__text) non-external -[GPMagicPaperState setFrame:]
0000000249f89958 (__TEXT,__text) non-external -[GPMagicPaperState setIsEditing:]
0000000249f84754 (__TEXT,__text) non-external -[VFXRenderer(Generative_Playground) vfx_setClearBackground]
0000000249f846cc (__TEXT,__text) non-external -[VFXView(Generative_Playground) _vfx_setColorSpace:]
0000000249f8461c (__TEXT,__text) non-external -[VFXView(Generative_Playground) vfx_resetColorSpace]
0000000249f845c4 (__TEXT,__text) non-external -[VFXView(Generative_Playground) vfx_setClearBackground]
0000000249f84624 (__TEXT,__text) non-external -[VFXView(Generative_Playground) vfx_setExtendedLinearSRGBColorSpace]
0000000249f84678 (__TEXT,__text) non-external -[VFXView(Generative_Playground) vfx_setLinearSRGBColorSpace]
000000024a5b4870 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
                 (undefined) external _AVCaptureDeviceTypeBuiltInWideAngleCamera (from AVFoundation)
                 (undefined) external _AVCaptureDeviceTypeExternal (from AVFoundation)
                 (undefined) external _AVCaptureSessionDidStartRunningNotification (from AVFoundation)
                 (undefined) external _AVCaptureSessionDidStopRunningNotification (from AVFoundation)
                 (undefined) external _AVCaptureSessionPresetPhoto (from AVFoundation)
                 (undefined) external _AVLayerVideoGravityResizeAspectFill (from AVFoundation)
                 (undefined) external _AVMediaTypeVideo (from AVFoundation)
                 (undefined) external _AnalyticsSendEventLazy (from CoreAnalytics)
                 (undefined) external _CACurrentMediaTime (from QuartzCore)
                 (undefined) external _CEMCreateEmojiLocaleData (from CoreEmoji)
