                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
00007ff817d54911 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
00007ff817d51650 (__TEXT,__text) external _FSp_profile_init
00007ff817d5165d (__TEXT,__text) external _FSp_profile_init_path
00007ff817d5491c (__TEXT,__text) external _FSp_put_svc_key
00007ff817d54927 (__TEXT,__text) external _FSp_read_service_key
00007ff843da90c0 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00007ff843da90e0 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00007ff843da9090 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00007ff843da9070 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00007ff843da9030 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00007ff843da9050 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00007ff843da9010 (__DATA,__data) external _GSS_C_NT_USER_NAME
00007ff843da9170 (__DATA,__data) external _GSS_KRB5_MECHANISM
00007ff843da9138 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00007ff843da9100 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00007ff843da9148 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00007ff843da9128 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
00007ff817d54a78 (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
00007ff817d54a6d (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
00007ff817d549ed (__TEXT,__text) external _KClientAddCredentialsDeprecated
00007ff817d5495e (__TEXT,__text) external _KClientAddRealmMapDeprecated
00007ff817d5498a (__TEXT,__text) external _KClientAddServerMapDeprecated
00007ff817d54c67 (__TEXT,__text) external _KClientAddServiceKey
00007ff817d54932 (__TEXT,__text) external _KClientCacheInitialTicketDeprecated
00007ff817d54cca (__TEXT,__text) external _KClientDecrypt
00007ff817d54afc (__TEXT,__text) external _KClientDecryptCompat
00007ff817d549f8 (__TEXT,__text) external _KClientDeleteCredentialsDeprecated
00007ff817d54969 (__TEXT,__text) external _KClientDeleteRealmMapDeprecated
00007ff817d54995 (__TEXT,__text) external _KClientDeleteServerMapDeprecated
00007ff817d549d7 (__TEXT,__text) external _KClientDeleteSessionDeprecated
00007ff817d54d17 (__TEXT,__text) external _KClientDisposePrincipal
00007ff817d54bac (__TEXT,__text) external _KClientDisposeSession
00007ff817d54a99 (__TEXT,__text) external _KClientDisposeSessionCompat
00007ff817d54cbf (__TEXT,__text) external _KClientEncrypt
00007ff817d54af1 (__TEXT,__text) external _KClientEncryptCompat
00007ff817d54c7d (__TEXT,__text) external _KClientGetAuthenticatorForService
00007ff817d54ceb (__TEXT,__text) external _KClientGetCCacheReference
00007ff817d54bb7 (__TEXT,__text) external _KClientGetClientPrincipal
00007ff817d549e2 (__TEXT,__text) external _KClientGetCredentialsDeprecated
00007ff817d54ca9 (__TEXT,__text) external _KClientGetEncryptedServiceReply
00007ff817d54a24 (__TEXT,__text) external _KClientGetErrorTextDeprecated
00007ff817d54c1a (__TEXT,__text) external _KClientGetExpirationTime
00007ff817d54be3 (__TEXT,__text) external _KClientGetLocalAddress
00007ff817d5493d (__TEXT,__text) external _KClientGetLocalRealmDeprecated
00007ff817d54a0e (__TEXT,__text) external _KClientGetNthCredentialDeprecated
00007ff817d54974 (__TEXT,__text) external _KClientGetNthRealmMapDeprecated
00007ff817d5497f (__TEXT,__text) external _KClientGetNthServerDeprecated
00007ff817d549a0 (__TEXT,__text) external _KClientGetNthServerMapDeprecated
00007ff817d549ab (__TEXT,__text) external _KClientGetNthServerPortDeprecated
00007ff817d549cc (__TEXT,__text) external _KClientGetNthSessionDeprecated
00007ff817d54a03 (__TEXT,__text) external _KClientGetNumCredentialsDeprecated
00007ff817d549c1 (__TEXT,__text) external _KClientGetNumSessionsDeprecated
00007ff817d54cb4 (__TEXT,__text) external _KClientGetProtectedServiceReply
00007ff817d54953 (__TEXT,__text) external _KClientGetRealmDeprecated
00007ff817d54bf9 (__TEXT,__text) external _KClientGetRemoteAddress
00007ff817d54bcd (__TEXT,__text) external _KClientGetServerPrincipal
00007ff817d54c5c (__TEXT,__text) external _KClientGetServiceKey
00007ff817d54c0f (__TEXT,__text) external _KClientGetSessionKey
00007ff817d54ae6 (__TEXT,__text) external _KClientGetSessionKeyCompat
00007ff817d54b5f (__TEXT,__text) external _KClientGetSessionUserNameCompat
00007ff817d54c72 (__TEXT,__text) external _KClientGetTicketForService
00007ff817d54aa4 (__TEXT,__text) external _KClientGetTicketForServiceCompat
00007ff817d54aaf (__TEXT,__text) external _KClientGetTicketForServiceWithChecksumCompat
00007ff817d54a19 (__TEXT,__text) external _KClientGetUserNameDeprecated
00007ff817d54b8b (__TEXT,__text) external _KClientGetVersion
00007ff817d54c46 (__TEXT,__text) external _KClientKeyFileLogin
00007ff817d54c30 (__TEXT,__text) external _KClientLogin
00007ff817d54aba (__TEXT,__text) external _KClientLoginCompat
00007ff817d54c51 (__TEXT,__text) external _KClientLogout
00007ff817d54ad0 (__TEXT,__text) external _KClientLogoutCompat
00007ff817d54b6a (__TEXT,__text) external _KClientMakeSendAuthCompat
00007ff817d54b96 (__TEXT,__text) external _KClientNewClientSession
00007ff817d54ba1 (__TEXT,__text) external _KClientNewServerSession
00007ff817d54a8e (__TEXT,__text) external _KClientNewSessionCompat
00007ff817d54c3b (__TEXT,__text) external _KClientPasswordLogin
00007ff817d54ac5 (__TEXT,__text) external _KClientPasswordLoginCompat
00007ff817d54d01 (__TEXT,__text) external _KClientPrincipalToV4String
00007ff817d54d0c (__TEXT,__text) external _KClientPrincipalToV4Triplet
00007ff817d54cd5 (__TEXT,__text) external _KClientProtectIntegrity
00007ff817d54b07 (__TEXT,__text) external _KClientProtectIntegrityCompat
00007ff817d54bc2 (__TEXT,__text) external _KClientSetClientPrincipal
00007ff817d54c25 (__TEXT,__text) external _KClientSetKeyFile
00007ff817d54bee (__TEXT,__text) external _KClientSetLocalAddress
00007ff817d54948 (__TEXT,__text) external _KClientSetLocalRealmDeprecated
00007ff817d549b6 (__TEXT,__text) external _KClientSetNthServerPortDeprecated
00007ff817d54c04 (__TEXT,__text) external _KClientSetRemoteAddress
00007ff817d54bd8 (__TEXT,__text) external _KClientSetServerPrincipal
00007ff817d54adb (__TEXT,__text) external _KClientStatusCompat
00007ff817d54cf6 (__TEXT,__text) external _KClientV4StringToPrincipal
00007ff817d54c9e (__TEXT,__text) external _KClientVerifyAuthenticator
00007ff817d54c88 (__TEXT,__text) external _KClientVerifyEncryptedServiceReply
00007ff817d54ce0 (__TEXT,__text) external _KClientVerifyIntegrity
00007ff817d54b12 (__TEXT,__text) external _KClientVerifyIntegrityCompat
00007ff817d54c93 (__TEXT,__text) external _KClientVerifyProtectedServiceReply
00007ff817d54b75 (__TEXT,__text) external _KClientVerifyReplyTicketCompat
00007ff817d54b80 (__TEXT,__text) external _KClientVerifyUnencryptedReplyTicketCompat
00007ff817d54a83 (__TEXT,__text) external _KClientVersionCompat
00007ff817d4f497 (__TEXT,__text) external _KLAcquireInitialTickets
00007ff817d4f5f3 (__TEXT,__text) external _KLAcquireInitialTicketsWithPassword
00007ff817d4fd31 (__TEXT,__text) external _KLAcquireNewInitialTicketCredentialsWithPassword
00007ff817d4f569 (__TEXT,__text) external _KLAcquireNewInitialTickets
00007ff817d4fd57 (__TEXT,__text) external _KLAcquireNewInitialTicketsWithKeytab
00007ff817d4f6ab (__TEXT,__text) external _KLAcquireNewInitialTicketsWithPassword
00007ff817d4f514 (__TEXT,__text) external _KLAcquireNewTickets
00007ff817d4f666 (__TEXT,__text) external _KLAcquireNewTicketsWithPassword
00007ff817d4f455 (__TEXT,__text) external _KLAcquireTickets
00007ff817d4f5ae (__TEXT,__text) external _KLAcquireTicketsWithPassword
00007ff817d4f814 (__TEXT,__text) external _KLCacheHasValidTickets
