00007ff80f5e97f1 (__TEXT,__const) non-external _KW_ANY
00007ff80f5e9755 (__TEXT,__const) non-external _KW_ATTLIST
00007ff80f5e97a4 (__TEXT,__const) non-external _KW_CDATA
00007ff80f5e9738 (__TEXT,__const) non-external _KW_DOCTYPE
00007ff80f5e975d (__TEXT,__const) non-external _KW_ELEMENT
00007ff80f5e97eb (__TEXT,__const) non-external _KW_EMPTY
00007ff80f5e97ba (__TEXT,__const) non-external _KW_ENTITIES
00007ff80f5e974e (__TEXT,__const) non-external _KW_ENTITY
00007ff80f5e97e5 (__TEXT,__const) non-external _KW_FIXED
00007ff80f5e97aa (__TEXT,__const) non-external _KW_ID
00007ff80f5e97ad (__TEXT,__const) non-external _KW_IDREF
00007ff80f5e97b3 (__TEXT,__const) non-external _KW_IDREFS
00007ff80f5e9776 (__TEXT,__const) non-external _KW_IGNORE
00007ff80f5e97d4 (__TEXT,__const) non-external _KW_IMPLIED
00007ff80f5e976e (__TEXT,__const) non-external _KW_INCLUDE
00007ff80f5e9f10 (__TEXT,__const) non-external _KW_ISO_8859_1
00007ff80f5e977d (__TEXT,__const) non-external _KW_NDATA
00007ff80f5e97c3 (__TEXT,__const) non-external _KW_NMTOKEN
00007ff80f5e97cb (__TEXT,__const) non-external _KW_NMTOKENS
00007ff80f5e9765 (__TEXT,__const) non-external _KW_NOTATION
00007ff80f5e97f5 (__TEXT,__const) non-external _KW_PCDATA
00007ff80f5e9747 (__TEXT,__const) non-external _KW_PUBLIC
00007ff80f5e97dc (__TEXT,__const) non-external _KW_REQUIRED
00007ff80f5e9740 (__TEXT,__const) non-external _KW_SYSTEM
00007ff80f5e9f1b (__TEXT,__const) non-external _KW_US_ASCII
00007ff80f5e9f2a (__TEXT,__const) non-external _KW_UTF_16
00007ff80f5e9f31 (__TEXT,__const) non-external _KW_UTF_16BE
00007ff80f5e9f3a (__TEXT,__const) non-external _KW_UTF_16LE
00007ff80f5e9f24 (__TEXT,__const) non-external _KW_UTF_8
00007ff80f5e9f51 (__TEXT,__const) non-external _KW_encoding
00007ff80f5e9f69 (__TEXT,__const) non-external _KW_no
00007ff80f5e9f5a (__TEXT,__const) non-external _KW_standalone
00007ff80f5e9f49 (__TEXT,__const) non-external _KW_version
00007ff80f5e9f65 (__TEXT,__const) non-external _KW_yes
00007ff80f5d2d98 (__TEXT,__text) external _XML_DefaultCurrent
00007ff80f5d2eb3 (__TEXT,__text) external _XML_ErrorString
00007ff80f5d2ed4 (__TEXT,__text) external _XML_ExpatVersion
00007ff80f5d2ee1 (__TEXT,__text) external _XML_ExpatVersionInfo
00007ff80f5d1422 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00007ff80f5d2d3e (__TEXT,__text) external _XML_FreeContentModel
00007ff80f5d21f2 (__TEXT,__text) external _XML_GetBase
00007ff80f5d26f1 (__TEXT,__text) external _XML_GetBuffer
00007ff80f5d2c2d (__TEXT,__text) external _XML_GetCurrentByteCount
00007ff80f5d2c04 (__TEXT,__text) external _XML_GetCurrentByteIndex
00007ff80f5d2ce8 (__TEXT,__text) external _XML_GetCurrentColumnNumber
00007ff80f5d2c8f (__TEXT,__text) external _XML_GetCurrentLineNumber
00007ff80f5d2bed (__TEXT,__text) external _XML_GetErrorCode
