00007ff90edee4ae (__TEXT,__text) non-external +[Caller current]
00007ff90edeea89 (__TEXT,__text) non-external +[Caller pathFromPid:]
00007ff90edf0c26 (__TEXT,__text) non-external +[DaemonUtils _enumAllSubrequirements:processingBlock:]
00007ff90edf0ceb (__TEXT,__text) non-external +[DaemonUtils _isNonUiExtensionPointIdentifier:]
00007ff90edf0860 (__TEXT,__text) non-external +[DaemonUtils _updateDFRStatus]
00007ff90edffae6 (__TEXT,__text) non-external +[DaemonUtils _updateDFRStatus].cold.1
00007ff90edf0942 (__TEXT,__text) non-external +[DaemonUtils _updateWithDFRStatus:source:]
00007ff90edefdf5 (__TEXT,__text) non-external +[DaemonUtils callerDisplayNameWithPid:auditToken:bundleId:]
00007ff90edf0057 (__TEXT,__text) non-external +[DaemonUtils callerIdWithPid:auditToken:]
00007ff90edf1477 (__TEXT,__text) non-external +[DaemonUtils canCallToDependencies]
00007ff90edf079e (__TEXT,__text) non-external +[DaemonUtils deviceHasAtLeastSimulatedDFR]
00007ff90edf06dc (__TEXT,__text) non-external +[DaemonUtils deviceHasDFR]
00007ff90edf0e7e (__TEXT,__text) non-external +[DaemonUtils deviceHasPearl]
00007ff90edffba4 (__TEXT,__text) non-external +[DaemonUtils deviceHasPearl].cold.1
00007ff90edf0d6a (__TEXT,__text) non-external +[DaemonUtils deviceHasSEP]
00007ff90edffb58 (__TEXT,__text) non-external +[DaemonUtils deviceHasSEP].cold.1
00007ff90edf0a6d (__TEXT,__text) non-external +[DaemonUtils deviceHasSecureDFR]
00007ff90edf1131 (__TEXT,__text) non-external +[DaemonUtils deviceHasSecureDoublePressHW]
00007ff90edf11bc (__TEXT,__text) non-external +[DaemonUtils deviceHasSpecialTouchID]
00007ff90edf1238 (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchIDAndSecureDoublePress]
00007ff90edf0f92 (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchID]
00007ff90edffbf0 (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchID].cold.1
00007ff90edf11fa (__TEXT,__text) non-external +[DaemonUtils deviceIsPoseidon]
00007ff90edf10a6 (__TEXT,__text) non-external +[DaemonUtils deviceSupportsSecureDoubleClick]
00007ff90edf0a51 (__TEXT,__text) non-external +[DaemonUtils dfrHardwarePresent]
00007ff90edf0a3f (__TEXT,__text) non-external +[DaemonUtils dfrPresent]
00007ff90edf0a60 (__TEXT,__text) non-external +[DaemonUtils dfrStatus]
00007ff90edf13fd (__TEXT,__text) non-external +[DaemonUtils dispatchOnServer:]
00007ff90edf1276 (__TEXT,__text) non-external +[DaemonUtils dispatchReallyAfter:tolerance:queue:block:]
00007ff90edf139f (__TEXT,__text) non-external +[DaemonUtils dispatchSyncOnMain:]
00007ff90edf0441 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:]
00007ff90edff9a4 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.1
00007ff90edff9fe (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.2
00007ff90edffa58 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.3
00007ff90edffa8c (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.4
00007ff90edf033f (__TEXT,__text) non-external +[DaemonUtils isClosedLidPreventingUseOfTouchID]
00007ff90edf0120 (__TEXT,__text) non-external +[DaemonUtils isLidClosed]
00007ff90edff8f0 (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.1
00007ff90edff924 (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.2
00007ff90edff958 (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.3
00007ff90edefd9e (__TEXT,__text) non-external +[DaemonUtils queue]
00007ff90edefd1f (__TEXT,__text) non-external +[DaemonUtils sharedInstance]
00007ff90edff8c0 (__TEXT,__text) non-external +[DaemonUtils sharedInstance].cold.1
00007ff90edec80f (__TEXT,__text) non-external +[EvaluationRequest current]
00007ff90eded9bb (__TEXT,__text) non-external +[EvaluationRequest isApplePayPolicy:]
00007ff90edeb39a (__TEXT,__text) non-external +[InstalledAppsCache sharedInstance]
00007ff90edff6af (__TEXT,__text) non-external +[InstalledAppsCache sharedInstance].cold.1
00007ff90ede5448 (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod _persistedInstancesStorage]
00007ff90edff05b (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod _persistedInstancesStorage].cold.1
00007ff90ede4b22 (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod activePersistentInstances]
00007ff90edf8817 (__TEXT,__text) non-external +[LASIORemoteCall call]
00007ff90edfbaad (__TEXT,__text) non-external +[LASecureIO secureIO]
00007ff90edf7f81 (__TEXT,__text) non-external +[LASecureIOArchive createArchiveFromPath:]
00007ff90edf78d0 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:]
00007ff90edf83ca (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.1
00007ff90edf84a4 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.2
00007ff90edf8581 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.3
00007ff90edf865e (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.4
00007ff90edf873b (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.5
00007ff90ede85e6 (__TEXT,__text) non-external +[LASecureIOHelper sharedInstance]
00007ff90edff3cf (__TEXT,__text) non-external +[LASecureIOHelper sharedInstance].cold.1
00007ff90edfef6c (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromCredentialType:]
00007ff90edfef42 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromNotification:]
00007ff90edfeee2 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromOperation:]
00007ff90edfef02 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromScene:]
00007ff90edfef22 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromUserInput:]
