                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018f5ae6a8 (__TEXT,__text) non-external _au_assemble
000000018f5afe5c (__TEXT,__text) external _au_bsm_to_domain
000000018f5bbe90 (__TEXT,__text) external _au_bsm_to_errno
000000018f5bbf58 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
000000018f5b75bc (__TEXT,__text) external _au_bsm_to_socket_type
000000018f5ae920 (__TEXT,__text) external _au_close
000000018f5ae9ec (__TEXT,__text) external _au_close_buffer
000000018f5aead0 (__TEXT,__text) external _au_close_token
000000018f5ae5c4 (__TEXT,__text) external _au_close_with_errors
00000001ed01b7b8 (__DATA_DIRTY,__bss) non-external _au_cond
000000018f5afe28 (__TEXT,__text) external _au_domain_to_bsm
000000018f5bbe58 (__TEXT,__text) external _au_errno_to_bsm
000000018f5bbf24 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
000000018f5adc38 (__TEXT,__text) external _au_fetch_tok
000000018f5ae39c (__TEXT,__text) external _au_free_token
000000018f5b7478 (__TEXT,__text) external _au_get_state
000000018f5b7398 (__TEXT,__text) external _au_notify_initialize
000000018f5b7450 (__TEXT,__text) external _au_notify_terminate
000000018f5ae3e4 (__TEXT,__text) external _au_open
00000001e6aec2a8 (__DATA_CONST,__const) non-external _au_polstr
000000018f5aef88 (__TEXT,__text) external _au_poltostr
000000018f5b715c (__TEXT,__text) external _au_preselect
000000018f5b1f5c (__TEXT,__text) external _au_print_flags_tok
000000018f5b6480 (__TEXT,__text) external _au_print_tok
000000018f5b649c (__TEXT,__text) external _au_print_tok_xml
000000018f5b0748 (__TEXT,__text) external _au_print_xml_footer
000000018f5b06ec (__TEXT,__text) external _au_print_xml_header
000000018f5b64b8 (__TEXT,__text) external _au_read_rec
000000018f5bbe0c (__TEXT,__text) external _au_sdev_close
000000018f5bbe50 (__TEXT,__text) external _au_sdev_fd
000000018f5ad7e4 (__TEXT,__text) external _au_sdev_open
000000018f5ad8b8 (__TEXT,__text) external _au_sdev_read_aia
00000001e6aec398 (__DATA_CONST,__const) non-external _au_sflagsstr
000000018f5af14c (__TEXT,__text) external _au_sflagstostr
000000018f5b7588 (__TEXT,__text) external _au_socket_type_to_bsm
000000018f5af810 (__TEXT,__text) non-external _au_spacetobytes
000000018f5bbed8 (__TEXT,__text) external _au_strerror
000000018f5af05c (__TEXT,__text) external _au_strtopol
000000018f5af220 (__TEXT,__text) external _au_strtosflags
000000018f5ae870 (__TEXT,__text) non-external _au_teardown
000000018f5b7820 (__TEXT,__text) external _au_to_arg
000000018f5b7600 (__TEXT,__text) external _au_to_arg32
000000018f5b7700 (__TEXT,__text) external _au_to_arg64
000000018f5b9b10 (__TEXT,__text) external _au_to_certificate_hash
000000018f5b7824 (__TEXT,__text) external _au_to_data
000000018f5b99c8 (__TEXT,__text) external _au_to_exec_args
000000018f5b9b08 (__TEXT,__text) external _au_to_exec_env
000000018f5b7924 (__TEXT,__text) external _au_to_exit
000000018f5b7fa8 (__TEXT,__text) external _au_to_file
000000018f5b79ec (__TEXT,__text) external _au_to_groups
000000018f5ba35c (__TEXT,__text) external _au_to_header
000000018f5ba24c (__TEXT,__text) external _au_to_header32
000000018f5ba198 (__TEXT,__text) external _au_to_header32_ex
000000018f5b9ea8 (__TEXT,__text) external _au_to_header32_ex_tm
000000018f5b9d7c (__TEXT,__text) external _au_to_header32_tm
000000018f5ba2d4 (__TEXT,__text) external _au_to_header64
000000018f5ba044 (__TEXT,__text) external _au_to_header64_tm
000000018f5ba360 (__TEXT,__text) external _au_to_header_ex
000000018f5b9bec (__TEXT,__text) external _au_to_identity
000000018f5b7acc (__TEXT,__text) external _au_to_in_addr
000000018f5b7b5c (__TEXT,__text) external _au_to_in_addr_ex
000000018f5b7bf8 (__TEXT,__text) external _au_to_ip
000000018f5b7c98 (__TEXT,__text) external _au_to_ipc
000000018f5b7d48 (__TEXT,__text) external _au_to_ipc_perm
000000018f5b7e54 (__TEXT,__text) external _au_to_iport
000000018f5ba40c (__TEXT,__text) external _au_to_kevent
000000018f5b9b18 (__TEXT,__text) external _au_to_krb5_principal
000000018f5b9920 (__TEXT,__text) external _au_to_me
000000018f5b79f8 (__TEXT,__text) external _au_to_newgroups
000000018f5b7ee4 (__TEXT,__text) external _au_to_opaque
000000018f5b819c (__TEXT,__text) external _au_to_path
000000018f5b85e0 (__TEXT,__text) external _au_to_process
000000018f5b8268 (__TEXT,__text) external _au_to_process32
000000018f5b85e4 (__TEXT,__text) external _au_to_process32_ex
000000018f5b8404 (__TEXT,__text) external _au_to_process64
000000018f5b8838 (__TEXT,__text) external _au_to_process64_ex
000000018f5b8ac8 (__TEXT,__text) external _au_to_process_ex
000000018f5b8c4c (__TEXT,__text) external _au_to_return
000000018f5b8acc (__TEXT,__text) external _au_to_return32
000000018f5b8b7c (__TEXT,__text) external _au_to_return64
000000018f5b8c50 (__TEXT,__text) external _au_to_seq
000000018f5b90d0 (__TEXT,__text) external _au_to_sock_inet
000000018f5b9020 (__TEXT,__text) external _au_to_sock_inet128
000000018f5b8f80 (__TEXT,__text) external _au_to_sock_inet32
000000018f5b8ea8 (__TEXT,__text) external _au_to_sock_unix
000000018f5b8cf0 (__TEXT,__text) external _au_to_socket_ex
000000018f5b99d0 (__TEXT,__text) non-external _au_to_strings
000000018f5b944c (__TEXT,__text) external _au_to_subject
000000018f5b90d4 (__TEXT,__text) external _au_to_subject32
000000018f5b9450 (__TEXT,__text) external _au_to_subject32_ex
000000018f5b9270 (__TEXT,__text) external _au_to_subject64
000000018f5b9698 (__TEXT,__text) external _au_to_subject64_ex
000000018f5b991c (__TEXT,__text) external _au_to_subject_ex
000000018f5b80d0 (__TEXT,__text) external _au_to_text
000000018f5ba364 (__TEXT,__text) external _au_to_trailer
000000018f5b9b20 (__TEXT,__text) external _au_to_zonename
000000018f5ba774 (__TEXT,__text) external _au_user_mask
000000018f5ae52c (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00000001ea74a130 (__DATA,__bss) non-external _audit_free_q
000000018f5bbd64 (__TEXT,__text) external _audit_get_car
000000018f5bba10 (__TEXT,__text) external _audit_get_class
000000018f5bac38 (__TEXT,__text) external _audit_get_cond
000000018f5bbd74 (__TEXT,__text) external _audit_get_ctlmode
000000018f5bbd54 (__TEXT,__text) external _audit_get_cwd
000000018f5bbdc0 (__TEXT,__text) external _audit_get_expire_after
000000018f5bbb40 (__TEXT,__text) external _audit_get_fsize
000000018f5bb978 (__TEXT,__text) external _audit_get_kaudit
000000018f5bbaa8 (__TEXT,__text) external _audit_get_kmask
000000018f5bbc24 (__TEXT,__text) external _audit_get_pinfo
000000018f5bbc70 (__TEXT,__text) external _audit_get_pinfo_addr
000000018f5bb688 (__TEXT,__text) external _audit_get_policy
000000018f5bb800 (__TEXT,__text) external _audit_get_qctrl
000000018f5bb778 (__TEXT,__text) external _audit_get_sflags
000000018f5bb7b8 (__TEXT,__text) external _audit_get_sflags_mask
000000018f5adf84 (__TEXT,__text) external _audit_get_sinfo_addr
000000018f5bbcbc (__TEXT,__text) external _audit_get_stat
00000001ea74a128 (__DATA,__bss) non-external _audit_rec_count
000000018f5bb968 (__TEXT,__text) external _audit_send_trigger
000000018f5bba5c (__TEXT,__text) external _audit_set_class
000000018f5bb610 (__TEXT,__text) external _audit_set_cond
000000018f5bbb8c (__TEXT,__text) external _audit_set_fsize
000000018f5bb9c4 (__TEXT,__text) external _audit_set_kaudit
000000018f5bbaf4 (__TEXT,__text) external _audit_set_kmask
000000018f5bbbd8 (__TEXT,__text) external _audit_set_pmask
000000018f5bb700 (__TEXT,__text) external _audit_set_policy
000000018f5bb8b4 (__TEXT,__text) external _audit_set_qctrl
000000018f5bb788 (__TEXT,__text) external _audit_set_sflags
000000018f5bb7dc (__TEXT,__text) external _audit_set_sflags_mask
000000018f5bbd08 (__TEXT,__text) external _audit_set_stat
000000018f5bade0 (__TEXT,__text) non-external _audit_set_terminal_host
000000018f5bacb0 (__TEXT,__text) external _audit_set_terminal_id
000000018f5bae88 (__TEXT,__text) external _audit_set_terminal_id_ex
000000018f5bad04 (__TEXT,__text) non-external _audit_set_terminal_port
000000018f5ba910 (__TEXT,__text) external _audit_submit
000000018f5ad718 (__TEXT,__text) external _audit_token_to_asid
000000018f5ad758 (__TEXT,__text) external _audit_token_to_au32
000000018f5ad738 (__TEXT,__text) external _audit_token_to_auid
000000018f5ad740 (__TEXT,__text) external _audit_token_to_egid
000000018f5ad728 (__TEXT,__text) external _audit_token_to_euid
000000018f5ad720 (__TEXT,__text) external _audit_token_to_pid
000000018f5ad750 (__TEXT,__text) external _audit_token_to_pidversion
000000018f5ad748 (__TEXT,__text) external _audit_token_to_rgid
