                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
0000000268228dec (__TEXT,__text) external __crypt_blowfish_rn
000000026822af9c (__TEXT,__text) external __crypt_gensalt_blowfish_rn
0000000268228da0 (__TEXT,__text) external __crypt_output_magic
                 (undefined) external _abort (from libSystem)
                 (undefined) external _apr_allocator_alloc (from libapr-1)
                 (undefined) external _apr_allocator_free (from libapr-1)
                 (undefined) external _apr_array_make (from libapr-1)
                 (undefined) external _apr_array_push (from libapr-1)
                 (undefined) external _apr_atoi64 (from libapr-1)
                 (undefined) external _apr_atomic_dec32 (from libapr-1)
                 (undefined) external _apr_atomic_inc32 (from libapr-1)
                 (undefined) external _apr_atomic_read32 (from libapr-1)
                 (undefined) external _apr_atomic_set32 (from libapr-1)
000000026822da50 (__TEXT,__text) external _apr_base64_decode
000000026822da78 (__TEXT,__text) external _apr_base64_decode_binary
000000026822da10 (__TEXT,__text) external _apr_base64_decode_len
000000026822dbd0 (__TEXT,__text) external _apr_base64_encode
000000026822dbd4 (__TEXT,__text) external _apr_base64_encode_binary
000000026822dba8 (__TEXT,__text) external _apr_base64_encode_len
0000000268227ca8 (__TEXT,__text) external _apr_bcrypt_encode
00000002682238c0 (__TEXT,__text) external _apr_brigade_cleanup
0000000268223994 (__TEXT,__text) external _apr_brigade_create
0000000268223930 (__TEXT,__text) external _apr_brigade_destroy
0000000268223ce0 (__TEXT,__text) external _apr_brigade_flatten
000000026822482c (__TEXT,__text) external _apr_brigade_insert_file
0000000268223c2c (__TEXT,__text) external _apr_brigade_length
0000000268223b10 (__TEXT,__text) external _apr_brigade_partition
0000000268223db8 (__TEXT,__text) external _apr_brigade_pflatten
00000002682246cc (__TEXT,__text) external _apr_brigade_printf
0000000268224614 (__TEXT,__text) external _apr_brigade_putc
0000000268224640 (__TEXT,__text) external _apr_brigade_puts
00000002682246a0 (__TEXT,__text) external _apr_brigade_putstrs
0000000268223b08 (__TEXT,__text) external _apr_brigade_split
0000000268223a10 (__TEXT,__text) external _apr_brigade_split_ex
0000000268223e34 (__TEXT,__text) external _apr_brigade_split_line
0000000268224178 (__TEXT,__text) external _apr_brigade_to_iovec
00000002682246f8 (__TEXT,__text) external _apr_brigade_vprintf
0000000268224224 (__TEXT,__text) external _apr_brigade_vputstrs
0000000268223fc4 (__TEXT,__text) external _apr_brigade_write
0000000268224320 (__TEXT,__text) external _apr_brigade_writev
0000000268224a00 (__TEXT,__text) external _apr_bucket_alloc
00000002682248b4 (__TEXT,__text) external _apr_bucket_alloc_create
000000026822493c (__TEXT,__text) external _apr_bucket_alloc_create_ex
00000002682249a8 (__TEXT,__text) external _apr_bucket_alloc_destroy
00000002682248a4 (__TEXT,__text) external _apr_bucket_copy_notimpl
00000002682248b0 (__TEXT,__text) external _apr_bucket_destroy_noop
0000000268224af8 (__TEXT,__text) external _apr_bucket_eos_create
0000000268224ae4 (__TEXT,__text) external _apr_bucket_eos_make
0000000268224bd4 (__TEXT,__text) external _apr_bucket_file_create
0000000268224c74 (__TEXT,__text) external _apr_bucket_file_enable_mmap
0000000268224b5c (__TEXT,__text) external _apr_bucket_file_make
0000000268224fd4 (__TEXT,__text) external _apr_bucket_flush_create
0000000268224fc0 (__TEXT,__text) external _apr_bucket_flush_make
0000000268224ab4 (__TEXT,__text) external _apr_bucket_free
00000002682250f8 (__TEXT,__text) external _apr_bucket_heap_create
0000000268225038 (__TEXT,__text) external _apr_bucket_heap_make
0000000268225a74 (__TEXT,__text) external _apr_bucket_immortal_create
0000000268225a60 (__TEXT,__text) external _apr_bucket_immortal_make
0000000268225288 (__TEXT,__text) external _apr_bucket_mmap_create
00000002682251e0 (__TEXT,__text) external _apr_bucket_mmap_make
0000000268225488 (__TEXT,__text) external _apr_bucket_pipe_create
0000000268225470 (__TEXT,__text) external _apr_bucket_pipe_make
000000026822578c (__TEXT,__text) external _apr_bucket_pool_create
0000000268225688 (__TEXT,__text) external _apr_bucket_pool_make
0000000268224884 (__TEXT,__text) external _apr_bucket_setaside_noop
000000026822488c (__TEXT,__text) external _apr_bucket_setaside_notimpl
0000000268225910 (__TEXT,__text) external _apr_bucket_shared_copy
0000000268225944 (__TEXT,__text) external _apr_bucket_shared_destroy
0000000268225958 (__TEXT,__text) external _apr_bucket_shared_make
00000002682258dc (__TEXT,__text) external _apr_bucket_shared_split
000000026822596c (__TEXT,__text) external _apr_bucket_simple_copy
00000002682259c4 (__TEXT,__text) external _apr_bucket_simple_split
0000000268225bb8 (__TEXT,__text) external _apr_bucket_socket_create
0000000268225ba0 (__TEXT,__text) external _apr_bucket_socket_make
0000000268224898 (__TEXT,__text) external _apr_bucket_split_notimpl
0000000268225aec (__TEXT,__text) external _apr_bucket_transient_create
0000000268225ad8 (__TEXT,__text) external _apr_bucket_transient_make
00000002860b5e00 (__AUTH_CONST,__const) external _apr_bucket_type_eos
00000002860b5e38 (__AUTH_CONST,__const) external _apr_bucket_type_file
00000002860b5e70 (__AUTH_CONST,__const) external _apr_bucket_type_flush
