00007ffd09e99cb4 (__TEXT,__text) external _AAAFSCGetMetadata
00007ffd09e9a031 (__TEXT,__text) external _AAAFSCSetMetadata
00007ffd09e990e4 (__TEXT,__text) external _AAAFSCStreamOpen
00007ffd09e997f2 (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
00007ffd09e998fa (__TEXT,__text) external _AAAFSCStreamOpenWithState
00007ffd09e21eef (__TEXT,__text) external _AAArchiveStreamCancel
00007ffd09e21eb8 (__TEXT,__text) external _AAArchiveStreamClose
00007ffd09e37e66 (__TEXT,__text) external _AAArchiveStreamProcess
00007ffd09e21e6a (__TEXT,__text) external _AAArchiveStreamReadBlob
00007ffd09e21e50 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007ffd09e21e9e (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007ffd09e21e84 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007ffd09e234ff (__TEXT,__text) external _AAArchiveStreamWritePathList
00007ffd09e271ae (__TEXT,__text) external _AAAssetBuilderAddFilter
00007ffd09e270f3 (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
00007ffd09e27034 (__TEXT,__text) external _AAAssetBuilderCreate
00007ffd09e270e2 (__TEXT,__text) external _AAAssetBuilderDestroy
00007ffd09e8ed10 (__TEXT,__text) external _AAAssetBuilderGenerate
00007ffd09e2724c (__TEXT,__text) external _AAAssetBuilderGetParameter
00007ffd09e271b9 (__TEXT,__text) external _AAAssetBuilderSetParameter
00007ffd09e278a3 (__TEXT,__text) external _AAAssetExtractorCreate
00007ffd09e27e72 (__TEXT,__text) external _AAAssetExtractorDestroy
00007ffd09e288dc (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
00007ffd09e28867 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
00007ffd09e28383 (__TEXT,__text) external _AAAssetExtractorWrite
00007ffd09ea1680 (__TEXT,__text) external _AAAsyncByteStreamCancel
00007ffd09ea1695 (__TEXT,__text) external _AAAsyncByteStreamClose
00007ffd09ea109b (__TEXT,__text) external _AAAsyncByteStreamGetRange
00007ffd09ea152a (__TEXT,__text) external _AAAsyncByteStreamProcess
00007ffd09e5899e (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
00007ffd09e38d74 (__TEXT,__text) external _AAByteRangeAdd
00007ffd09e38c72 (__TEXT,__text) external _AAByteRangeClone
00007ffd09e38bd6 (__TEXT,__text) external _AAByteRangeCreate
00007ffd09e38c4c (__TEXT,__text) external _AAByteRangeDestroy
00007ffd09e38f40 (__TEXT,__text) external _AAByteRangeFirst
00007ffd09e3904e (__TEXT,__text) external _AAByteRangeNext
00007ffd09e38ed6 (__TEXT,__text) external _AAByteRangeOffsetAtSize
00007ffd09e38e64 (__TEXT,__text) external _AAByteRangeSizeAtOffset
00007ffd09e38df0 (__TEXT,__text) external _AAByteRangeSub
00007ffd09e981d4 (__TEXT,__text) external _AAByteStreamCancel
00007ffd09e981e9 (__TEXT,__text) external _AAByteStreamClose
00007ffd09e98220 (__TEXT,__text) external _AAByteStreamCloseWithState
00007ffd09e98269 (__TEXT,__text) external _AAByteStreamFlush
00007ffd09e9819c (__TEXT,__text) external _AAByteStreamPRead
00007ffd09e9829d (__TEXT,__text) external _AAByteStreamPReadAsync
00007ffd09e98164 (__TEXT,__text) external _AAByteStreamPWrite
00007ffd09e7192d (__TEXT,__text) external _AAByteStreamProcess
00007ffd09e98180 (__TEXT,__text) external _AAByteStreamRead
00007ffd09e981b8 (__TEXT,__text) external _AAByteStreamSeek
00007ffd09e98283 (__TEXT,__text) external _AAByteStreamTruncate
00007ffd09e980b3 (__TEXT,__text) external _AAByteStreamWrite
00007ffd09e56eb2 (__TEXT,__text) external _AAChunkAsyncStreamOpen
00007ffd09e565d1 (__TEXT,__text) external _AAChunkInputStreamOpen
00007ffd09e6ead6 (__TEXT,__text) external _AAChunkOutputStreamOpen
00007ffd09e9ca58 (__TEXT,__text) external _AACompressionOutputStreamOpen
00007ffd09e9d3a5 (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
00007ffd09e602e8 (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
00007ffd09e21f04 (__TEXT,__text) external _AACustomArchiveStreamOpen
00007ffd09e21f7d (__TEXT,__text) external _AACustomArchiveStreamSetCancelProc
00007ffd09e21f73 (__TEXT,__text) external _AACustomArchiveStreamSetCloseProc
00007ffd09e21f6a (__TEXT,__text) external _AACustomArchiveStreamSetData
00007ffd09e21fa5 (__TEXT,__text) external _AACustomArchiveStreamSetReadBlobProc
00007ffd09e21f9b (__TEXT,__text) external _AACustomArchiveStreamSetReadHeaderProc
00007ffd09e21f91 (__TEXT,__text) external _AACustomArchiveStreamSetWriteBlobProc
00007ffd09e21f87 (__TEXT,__text) external _AACustomArchiveStreamSetWriteHeaderProc
00007ffd09e9903e (__TEXT,__text) external _AACustomByteStreamOpen
00007ffd09e990d8 (__TEXT,__text) external _AACustomByteStreamSetCancelProc
00007ffd09e9909c (__TEXT,__text) external _AACustomByteStreamSetCloseProc
00007ffd09e99093 (__TEXT,__text) external _AACustomByteStreamSetData
00007ffd09e990b0 (__TEXT,__text) external _AACustomByteStreamSetPReadProc
00007ffd09e990c4 (__TEXT,__text) external _AACustomByteStreamSetPWriteProc
00007ffd09e990a6 (__TEXT,__text) external _AACustomByteStreamSetReadProc
00007ffd09e990ce (__TEXT,__text) external _AACustomByteStreamSetSeekProc
00007ffd09e990ba (__TEXT,__text) external _AACustomByteStreamSetWriteProc
00007ffd09e975b4 (__TEXT,__text) external _AADecodeArchiveInputStreamOpen
00007ffd09e98a59 (__TEXT,__text) external _AADecompressionInputStreamOpen
00007ffd09ea06ba (__TEXT,__text) external _AADecompressionRandomAccessInputStreamOpen
00007ffd09e95811 (__TEXT,__text) external _AAEncodeArchiveOutputStreamOpen
00007ffd09e8d863 (__TEXT,__text) external _AAEntryACLBlobAppendEntry
00007ffd09e8e5e0 (__TEXT,__text) external _AAEntryACLBlobApplyToPath
00007ffd09e8e5cf (__TEXT,__text) external _AAEntryACLBlobClear
00007ffd09e8e47c (__TEXT,__text) external _AAEntryACLBlobCreate
00007ffd09e8e53c (__TEXT,__text) external _AAEntryACLBlobCreateWithEncodedData
00007ffd09e8e583 (__TEXT,__text) external _AAEntryACLBlobCreateWithPath
00007ffd09e8e4e2 (__TEXT,__text) external _AAEntryACLBlobDestroy
00007ffd09e8ecfb (__TEXT,__text) external _AAEntryACLBlobGetEncodedData
00007ffd09e8ecf1 (__TEXT,__text) external _AAEntryACLBlobGetEncodedSize
00007ffd09e8e72a (__TEXT,__text) external _AAEntryACLBlobGetEntry
00007ffd09e8e722 (__TEXT,__text) external _AAEntryACLBlobGetEntryCount
00007ffd09e8ec29 (__TEXT,__text) external _AAEntryACLBlobRemoveEntry
00007ffd09e8e8d8 (__TEXT,__text) external _AAEntryACLBlobSetEntry
00007ffd09e8a842 (__TEXT,__text) external _AAEntryXATBlobAppendEntry
00007ffd09e8b057 (__TEXT,__text) external _AAEntryXATBlobApplyToPath
00007ffd09e8b046 (__TEXT,__text) external _AAEntryXATBlobClear
00007ffd09e8aef3 (__TEXT,__text) external _AAEntryXATBlobCreate
00007ffd09e8afb3 (__TEXT,__text) external _AAEntryXATBlobCreateWithEncodedData
00007ffd09e8affa (__TEXT,__text) external _AAEntryXATBlobCreateWithPath
00007ffd09e8af59 (__TEXT,__text) external _AAEntryXATBlobDestroy
00007ffd09e8b68a (__TEXT,__text) external _AAEntryXATBlobGetEncodedData
00007ffd09e8b680 (__TEXT,__text) external _AAEntryXATBlobGetEncodedSize
00007ffd09e8b1a1 (__TEXT,__text) external _AAEntryXATBlobGetEntry
00007ffd09e8b199 (__TEXT,__text) external _AAEntryXATBlobGetEntryCount
00007ffd09e8b5b8 (__TEXT,__text) external _AAEntryXATBlobRemoveEntry
00007ffd09e8b2d4 (__TEXT,__text) external _AAEntryXATBlobSetEntry
00007ffd09e95564 (__TEXT,__text) external _AAEntryYECBlobApplyToPath
00007ffd09e95422 (__TEXT,__text) external _AAEntryYECBlobCreate
00007ffd09e954c2 (__TEXT,__text) external _AAEntryYECBlobCreateWithEncodedData
00007ffd09e95509 (__TEXT,__text) external _AAEntryYECBlobCreateWithPath
00007ffd09e95488 (__TEXT,__text) external _AAEntryYECBlobDestroy
00007ffd09e95807 (__TEXT,__text) external _AAEntryYECBlobGetEncodedData
00007ffd09e957fe (__TEXT,__text) external _AAEntryYECBlobGetEncodedSize
00007ffd09e81da0 (__TEXT,__text) external _AAExtractArchiveOutputStreamOpen
00007ffd09e7f566 (__TEXT,__text) external _AAFieldKeySetClear
00007ffd09e7f447 (__TEXT,__text) external _AAFieldKeySetClone
00007ffd09e7f574 (__TEXT,__text) external _AAFieldKeySetContainsKey
00007ffd09e7f0a0 (__TEXT,__text) external _AAFieldKeySetCreate
00007ffd09e7f106 (__TEXT,__text) external _AAFieldKeySetCreateWithString
00007ffd09e7f421 (__TEXT,__text) external _AAFieldKeySetDestroy
00007ffd09e7fb3d (__TEXT,__text) external _AAFieldKeySetGetKey
00007ffd09e7fb35 (__TEXT,__text) external _AAFieldKeySetGetKeyCount
00007ffd09e7f618 (__TEXT,__text) external _AAFieldKeySetInsertKey
00007ffd09e7f886 (__TEXT,__text) external _AAFieldKeySetInsertKeySet
00007ffd09e7f7c6 (__TEXT,__text) external _AAFieldKeySetRemoveKey
00007ffd09e7fa3a (__TEXT,__text) external _AAFieldKeySetRemoveKeySet
00007ffd09e7fad1 (__TEXT,__text) external _AAFieldKeySetSelectKeySet
00007ffd09e7fb4c (__TEXT,__text) external _AAFieldKeySetSerialize
00007ffd09e982b7 (__TEXT,__text) external _AAFileStreamOpenWithFD
00007ffd09e9860a (__TEXT,__text) external _AAFileStreamOpenWithPath
00007ffd09ea1ac8 (__TEXT,__text) non-external (was a private external) _AAGenericRandomAccessInputStreamOpen
00007ffd09e8899d (__TEXT,__text) external _AAHeaderAssign
00007ffd09e88f5e (__TEXT,__text) external _AAHeaderClear
00007ffd09e888f1 (__TEXT,__text) external _AAHeaderClone
00007ffd09e88804 (__TEXT,__text) external _AAHeaderCreate
00007ffd09e88b55 (__TEXT,__text) external _AAHeaderCreateWithEncodedData
00007ffd09e88b9c (__TEXT,__text) external _AAHeaderCreateWithPath
00007ffd09e888ab (__TEXT,__text) external _AAHeaderDestroy
00007ffd09e8a004 (__TEXT,__text) external _AAHeaderGetEncodedData
00007ffd09e89ffa (__TEXT,__text) external _AAHeaderGetEncodedSize
00007ffd09e886f4 (__TEXT,__text) external _AAHeaderGetFieldBlob
00007ffd09e88696 (__TEXT,__text) external _AAHeaderGetFieldCount
00007ffd09e89152 (__TEXT,__text) external _AAHeaderGetFieldHash
00007ffd09e88782 (__TEXT,__text) external _AAHeaderGetFieldKey
00007ffd09e89041 (__TEXT,__text) external _AAHeaderGetFieldString
00007ffd09e89259 (__TEXT,__text) external _AAHeaderGetFieldTimespec
00007ffd09e8869e (__TEXT,__text) external _AAHeaderGetFieldType
00007ffd09e88fba (__TEXT,__text) external _AAHeaderGetFieldUInt
00007ffd09e88f83 (__TEXT,__text) external _AAHeaderGetKeyIndex
00007ffd09e89ff0 (__TEXT,__text) external _AAHeaderGetPayloadSize
00007ffd09e88be8 (__TEXT,__text) external _AAHeaderRemoveField
00007ffd09e89df3 (__TEXT,__text) external _AAHeaderSetFieldBlob
