0000000231d0d070 (__TEXT,__text) non-external _AppleNVMeDeviceHasAVP
0000000231d0cd04 (__TEXT,__text) external _AppleNVMeDeviceSupportsPanicLogAccess
0000000231d0c6e0 (__TEXT,__text) external _AppleNVMeNamespaceAccessFindServiceByNSType
0000000231d0c708 (__TEXT,__text) external _AppleNVMeNamespaceAccessFindServiceByName
0000000231d0ca44 (__TEXT,__text) external _AppleNVMeNamespaceAccessGetBlockCount
0000000231d0c984 (__TEXT,__text) external _AppleNVMeNamespaceAccessGetBlockSize
0000000231d0c8fc (__TEXT,__text) non-external _AppleNVMeNamespaceAccessMatchingServiceCallback
0000000231d0c95c (__TEXT,__text) external _AppleNVMeNamespaceAccessOpenConection
0000000231d0cb04 (__TEXT,__text) external _AppleNVMeNamespaceAccessReadData
0000000231d0cc5c (__TEXT,__text) external _AppleNVMeNamespaceAccessUnmapRange
0000000231d0cbb0 (__TEXT,__text) external _AppleNVMeNamespaceAccessWriteData
0000000231d0ce58 (__TEXT,__text) external _AppleNVMePanicLogGetSize
0000000293de2d48 (__DATA,__data) external _AppleNVMePanicLogSourcePath
0000000231d0cf1c (__TEXT,__text) external _AppleNVMeReadPanicLogData
0000000231d0d278 (__TEXT,__const) external _AppleNVMeVersionNumber
0000000231d0d240 (__TEXT,__const) external _AppleNVMeVersionString
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRunLoopAddSource (from CoreFoundation)
                 (undefined) external _CFRunLoopGetCurrent (from CoreFoundation)
                 (undefined) external _CFRunLoopRunInMode (from CoreFoundation)
                 (undefined) external _CFStringCreateFromExternalRepresentation (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _IOConnectCallMethod (from IOKit)
                 (undefined) external _IOIteratorNext (from IOKit)
                 (undefined) external _IONotificationPortCreate (from IOKit)
                 (undefined) external _IONotificationPortDestroy (from IOKit)
                 (undefined) external _IONotificationPortGetRunLoopSource (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IOObjectRetain (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryFromPath (from IOKit)
                 (undefined) external _IOServiceAddMatchingNotification (from IOKit)
                 (undefined) external _IOServiceClose (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
                 (undefined) external _IOServiceOpen (from IOKit)
0000000231d0ce38 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kIOMainPortDefault (from IOKit)
                 (undefined) external _mach_task_self_ (from libSystem)
0000000293de2cd0 (__DATA,__data) external _sNVMeEmbeddedNamespaceTypeNames
