000000018db086fc (__TEXT,__text) external _BZ2_bzBuffToBuffCompress
000000018db076f0 (__TEXT,__text) external _BZ2_bzBuffToBuffDecompress
000000018db089e4 (__TEXT,__text) external _BZ2_bzCompress
000000018db08b7c (__TEXT,__text) external _BZ2_bzCompressEnd
000000018db08800 (__TEXT,__text) external _BZ2_bzCompressInit
000000018db078d0 (__TEXT,__text) external _BZ2_bzDecompress
000000018db0866c (__TEXT,__text) external _BZ2_bzDecompressEnd
000000018db077f8 (__TEXT,__text) external _BZ2_bzDecompressInit
000000018db0bbcc (__TEXT,__text) external _BZ2_bzRead
000000018db0bb34 (__TEXT,__text) external _BZ2_bzReadClose
000000018db0bdd4 (__TEXT,__text) external _BZ2_bzReadGetUnused
000000018db0b9a0 (__TEXT,__text) external _BZ2_bzReadOpen
000000018db0b63c (__TEXT,__text) external _BZ2_bzWrite
000000018db0b784 (__TEXT,__text) external _BZ2_bzWriteClose
000000018db0b794 (__TEXT,__text) external _BZ2_bzWriteClose64
000000018db0b4ec (__TEXT,__text) external _BZ2_bzWriteOpen
000000018db0c148 (__TEXT,__text) external _BZ2_bzclose
000000018db0c08c (__TEXT,__text) external _BZ2_bzdopen
000000018db0c210 (__TEXT,__text) external _BZ2_bzerror
000000018db0c140 (__TEXT,__text) external _BZ2_bzflush
000000018db0b080 (__TEXT,__text) external _BZ2_bzlibVersion
000000018db0be48 (__TEXT,__text) external _BZ2_bzopen
000000018db0c0a0 (__TEXT,__text) external _BZ2_bzread
000000018db0c0f4 (__TEXT,__text) external _BZ2_bzwrite
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strlcat_chk (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _ungetc (from libSystem)
