00007ffb0ba255c3 (__TEXT,__text) external _CGLGetCurrentContext
00007ffb0ba255a6 (__TEXT,__text) external _CGLSetCurrentContext
00007ffb0ba1b450 (__TEXT,__text) external _glAccum
00007ffb0ba2179a (__TEXT,__text) external _glActiveShaderProgram
00007ffb0ba23eac (__TEXT,__text) external _glActiveStencilFaceEXT
00007ffb0ba1e29f (__TEXT,__text) external _glActiveTexture
00007ffb0ba22baf (__TEXT,__text) external _glActiveTextureARB
00007ffb0ba1b469 (__TEXT,__text) external _glAlphaFunc
00007ffb0ba1b482 (__TEXT,__text) external _glAreTexturesResident
00007ffb0ba1b4a1 (__TEXT,__text) external _glArrayElement
00007ffb0ba23702 (__TEXT,__text) external _glAttachObjectARB
00007ffb0ba1f693 (__TEXT,__text) external _glAttachShader
00007ffb0ba1b4ba (__TEXT,__text) external _glBegin
00007ffb0ba2027c (__TEXT,__text) external _glBeginConditionalRender
00007ffb0ba254b7 (__TEXT,__text) external _glBeginConditionalRenderNV
00007ffb0ba1ee60 (__TEXT,__text) external _glBeginQuery
00007ffb0ba2342b (__TEXT,__text) external _glBeginQueryARB
00007ffb0ba2156f (__TEXT,__text) external _glBeginQueryIndexed
00007ffb0ba2018e (__TEXT,__text) external _glBeginTransformFeedback
00007ffb0ba246f2 (__TEXT,__text) external _glBeginTransformFeedbackEXT
00007ffb0ba1fb5c (__TEXT,__text) external _glBindAttribLocation
00007ffb0ba23b3e (__TEXT,__text) external _glBindAttribLocationARB
00007ffb0ba1ef00 (__TEXT,__text) external _glBindBuffer
00007ffb0ba234cb (__TEXT,__text) external _glBindBufferARB
00007ffb0ba201e8 (__TEXT,__text) external _glBindBufferBase
00007ffb0ba246d1 (__TEXT,__text) external _glBindBufferBaseEXT
00007ffb0ba246ad (__TEXT,__text) external _glBindBufferOffsetEXT
00007ffb0ba201c1 (__TEXT,__text) external _glBindBufferRange
00007ffb0ba24686 (__TEXT,__text) external _glBindBufferRangeEXT
00007ffb0ba205c6 (__TEXT,__text) external _glBindFragDataLocation
00007ffb0ba24c42 (__TEXT,__text) external _glBindFragDataLocationEXT
00007ffb0ba20cc9 (__TEXT,__text) external _glBindFragDataLocationIndexed
00007ffb0ba1fe0c (__TEXT,__text) external _glBindFramebuffer
00007ffb0ba2441c (__TEXT,__text) external _glBindFramebufferEXT
00007ffb0ba2225d (__TEXT,__text) external _glBindProgramARB
00007ffb0ba217da (__TEXT,__text) external _glBindProgramPipeline
00007ffb0ba1fd4e (__TEXT,__text) external _glBindRenderbuffer
00007ffb0ba2435e (__TEXT,__text) external _glBindRenderbufferEXT
00007ffb0ba20d66 (__TEXT,__text) external _glBindSampler
00007ffb0ba1b4d3 (__TEXT,__text) external _glBindTexture
00007ffb0ba2148a (__TEXT,__text) external _glBindTransformFeedback
00007ffb0ba20053 (__TEXT,__text) external _glBindVertexArray
00007ffb0ba25166 (__TEXT,__text) external _glBindVertexArrayAPPLE
00007ffb0ba1b4ee (__TEXT,__text) external _glBitmap
00007ffb0ba1dc6b (__TEXT,__text) external _glBlendColor
00007ffb0ba242ee (__TEXT,__text) external _glBlendColorEXT
00007ffb0ba1dc85 (__TEXT,__text) external _glBlendEquation
00007ffb0ba24308 (__TEXT,__text) external _glBlendEquationEXT
00007ffb0ba1fc3c (__TEXT,__text) external _glBlendEquationSeparate
00007ffb0ba25439 (__TEXT,__text) external _glBlendEquationSeparateATI
00007ffb0ba24324 (__TEXT,__text) external _glBlendEquationSeparateEXT
00007ffb0ba2160a (__TEXT,__text) external _glBlendEquationSeparatei
00007ffb0ba23c90 (__TEXT,__text) external _glBlendEquationSeparateiARB
00007ffb0ba215ec (__TEXT,__text) external _glBlendEquationi
00007ffb0ba23c72 (__TEXT,__text) external _glBlendEquationiARB
00007ffb0ba1b50c (__TEXT,__text) external _glBlendFunc
00007ffb0ba1ebc6 (__TEXT,__text) external _glBlendFuncSeparate
00007ffb0ba2427c (__TEXT,__text) external _glBlendFuncSeparateEXT
00007ffb0ba2164c (__TEXT,__text) external _glBlendFuncSeparatei
00007ffb0ba23cd2 (__TEXT,__text) external _glBlendFuncSeparateiARB
00007ffb0ba2162b (__TEXT,__text) external _glBlendFunci
00007ffb0ba23cb1 (__TEXT,__text) external _glBlendFunciARB
00007ffb0ba1ff6a (__TEXT,__text) external _glBlitFramebuffer
00007ffb0ba2457a (__TEXT,__text) external _glBlitFramebufferEXT
00007ffb0ba1ef78 (__TEXT,__text) external _glBufferData
