                 (undefined) external _BLASStateRelease (from libBLAS)
                 (undefined) external _BLASStateRetain (from libBLAS)
000000018bbe9a58 (__TEXT,__text) external _BNNSAffineGridSample
000000018bbedfc4 (__TEXT,__text) external _BNNSApplyMultiheadAttention
000000018bbee3e0 (__TEXT,__text) external _BNNSApplyMultiheadAttentionBackward
000000018bbecea0 (__TEXT,__text) external _BNNSArithmeticFilterApplyBackwardBatch
000000018bbebbf4 (__TEXT,__text) external _BNNSArithmeticFilterApplyBatch
000000018bbe9a48 (__TEXT,__text) external _BNNSBandPart
000000018beee198 (__TEXT,__text) external _BNNSClearNetwork
000000018bbea080 (__TEXT,__text) external _BNNSClipByGlobalNorm
000000018bbe9f00 (__TEXT,__text) external _BNNSClipByNorm
000000018bbe9d88 (__TEXT,__text) external _BNNSClipByValue
000000018bbf446c (__TEXT,__text) external _BNNSCompareTensor
000000018bbf3770 (__TEXT,__text) external _BNNSComputeLSTMTrainingCacheCapacity
000000018bbea208 (__TEXT,__text) external _BNNSComputeNorm
000000018bbea380 (__TEXT,__text) external _BNNSComputeNormBackward
000000018bbee854 (__TEXT,__text) external _BNNSCopy
000000018bbe8a28 (__TEXT,__text) external _BNNSCreateNearestNeighbors
000000018bbeb044 (__TEXT,__text) external _BNNSCreateRandomGenerator
000000018bbeb048 (__TEXT,__text) external _BNNSCreateRandomGeneratorWithSeed
000000018bbe9a4c (__TEXT,__text) external _BNNSCropResize
000000018bbe9a50 (__TEXT,__text) external _BNNSCropResizeBackward
000000018bbf44a0 (__TEXT,__text) external _BNNSDataLayoutGetRank
000000018b9f5a68 (__TEXT,__text) external _BNNSDequantize
000000018bbe8a2c (__TEXT,__text) external _BNNSDestroyNearestNeighbors
000000018bbeb04c (__TEXT,__text) external _BNNSDestroyRandomGenerator
000000018bbf3838 (__TEXT,__text) external _BNNSDirectApplyActivationBatch
000000018bbf3930 (__TEXT,__text) external _BNNSDirectApplyBroadcastMatMul
000000018bbf35dc (__TEXT,__text) external _BNNSDirectApplyConvolutionBatch
000000018bbf375c (__TEXT,__text) external _BNNSDirectApplyFullyConnectedBatch
000000018bbeecac (__TEXT,__text) external _BNNSDirectApplyInTopK
000000018bbf3778 (__TEXT,__text) external _BNNSDirectApplyLSTMBatchBackward
000000018bbf3774 (__TEXT,__text) external _BNNSDirectApplyLSTMBatchTrainingCaching
000000018bbf383c (__TEXT,__text) external _BNNSDirectApplyLossBatch
000000018bbf377c (__TEXT,__text) external _BNNSDirectApplyPoolingBatch
000000018bbe9bfc (__TEXT,__text) external _BNNSDirectApplyQuantizer
000000018bbeea58 (__TEXT,__text) external _BNNSDirectApplyReduction
000000018bbeec64 (__TEXT,__text) external _BNNSDirectApplyTopK
000000018bbf3698 (__TEXT,__text) external _BNNSDirectApplyTransposedConvolutionBatch
000000018bbf4450 (__TEXT,__text) external _BNNSFilterApply
000000018bbf1a44 (__TEXT,__text) external _BNNSFilterApplyBackwardBatch
000000018bbed904 (__TEXT,__text) external _BNNSFilterApplyBackwardTwoInputBatch
000000018bbf0af4 (__TEXT,__text) external _BNNSFilterApplyBatch
000000018bbed36c (__TEXT,__text) external _BNNSFilterApplyTwoInput
000000018bbed38c (__TEXT,__text) external _BNNSFilterApplyTwoInputBatch
000000018bbef4a0 (__TEXT,__text) external _BNNSFilterCreateBatchLayerFullyConnected
000000018bbf42c0 (__TEXT,__text) external _BNNSFilterCreateConvolutionLayer
000000018bbf4448 (__TEXT,__text) external _BNNSFilterCreateFullyConnectedLayer
000000018bbef6a0 (__TEXT,__text) external _BNNSFilterCreateFusedLayer
000000018bbef4ac (__TEXT,__text) external _BNNSFilterCreateLayerActivation
000000018bbef690 (__TEXT,__text) external _BNNSFilterCreateLayerArithmetic
000000018bbed360 (__TEXT,__text) external _BNNSFilterCreateLayerBroadcastMatMul
000000018bbef48c (__TEXT,__text) external _BNNSFilterCreateLayerConvolution
000000018bbeea50 (__TEXT,__text) external _BNNSFilterCreateLayerDepthwiseConvolution
000000018bbef698 (__TEXT,__text) external _BNNSFilterCreateLayerDropout
000000018bbe9bf8 (__TEXT,__text) external _BNNSFilterCreateLayerEmbedding
000000018bbef498 (__TEXT,__text) external _BNNSFilterCreateLayerFullyConnected
000000018bbed338 (__TEXT,__text) external _BNNSFilterCreateLayerGram
000000018bbef4b0 (__TEXT,__text) external _BNNSFilterCreateLayerLoss
000000018bbedfc0 (__TEXT,__text) external _BNNSFilterCreateLayerMultiheadAttention
000000018bbef4b4 (__TEXT,__text) external _BNNSFilterCreateLayerNormalization
000000018bbef69c (__TEXT,__text) external _BNNSFilterCreateLayerPadding
000000018bbef694 (__TEXT,__text) external _BNNSFilterCreateLayerPermute
000000018bbef4a8 (__TEXT,__text) external _BNNSFilterCreateLayerPooling
000000018bbeea54 (__TEXT,__text) external _BNNSFilterCreateLayerReduction
000000018bbedfbc (__TEXT,__text) external _BNNSFilterCreateLayerResize
000000018bbea510 (__TEXT,__text) external _BNNSFilterCreateLayerSparseEmbedding
000000018bbef4a4 (__TEXT,__text) external _BNNSFilterCreateLayerSparseFullyConnected
000000018bbed314 (__TEXT,__text) external _BNNSFilterCreateLayerTensorContraction
000000018bbef490 (__TEXT,__text) external _BNNSFilterCreateLayerTransposedConvolution
000000018bbf444c (__TEXT,__text) external _BNNSFilterCreatePoolingLayer
000000018bbf4468 (__TEXT,__text) external _BNNSFilterCreateVectorActivationLayer
000000018bbf3b84 (__TEXT,__text) external _BNNSFilterDestroy
000000018bbef1f0 (__TEXT,__text) external _BNNSFilterGetState
000000018bbeecbc (__TEXT,__text) external _BNNSFilterGetStateSize
000000018bbeeed4 (__TEXT,__text) external _BNNSFilterSetState
000000018bc06820 (__TEXT,__text) external _BNNSFunctionGRUFusedGates
000000018bbf2fe8 (__TEXT,__text) external _BNNSFusedFilterApplyBackwardBatch
000000018bbec518 (__TEXT,__text) external _BNNSFusedFilterApplyBackwardMultiInputBatch
000000018bbf0490 (__TEXT,__text) external _BNNSFusedFilterApplyBatch
000000018bbeb64c (__TEXT,__text) external _BNNSFusedFilterApplyMultiInputBatch
000000018bbe8eec (__TEXT,__text) external _BNNSGather
000000018bbe8ef4 (__TEXT,__text) external _BNNSGatherND
000000018bbeea5c (__TEXT,__text) external _BNNSGetPointer
000000018ba98004 (__TEXT,__text) external _BNNSGraphAnalyzeIRSize
000000018b9a9074 (__TEXT,__text) external _BNNSGraphCompileFromFile
000000018ba915e4 (__TEXT,__text) external _BNNSGraphCompileFromFile_v2
000000018ba92048 (__TEXT,__text) external _BNNSGraphCompileOptionsDestroy
000000018ba92a3c (__TEXT,__text) external _BNNSGraphCompileOptionsGetCompilationEnableSignposts
000000018ba93d08 (__TEXT,__text) external _BNNSGraphCompileOptionsGetDeduplicationMode
000000018ba927ec (__TEXT,__text) external _BNNSGraphCompileOptionsGetDownconvertMode
000000018ba93aa8 (__TEXT,__text) external _BNNSGraphCompileOptionsGetFileWriteFSyncBarrier
000000018ba92594 (__TEXT,__text) external _BNNSGraphCompileOptionsGetGenerateDebugInfo
000000018ba9347c (__TEXT,__text) external _BNNSGraphCompileOptionsGetOptimizationPreference
000000018ba930b4 (__TEXT,__text) external _BNNSGraphCompileOptionsGetOutputFD
000000018ba92f68 (__TEXT,__text) external _BNNSGraphCompileOptionsGetOutputPath
000000018ba93bd8 (__TEXT,__text) external _BNNSGraphCompileOptionsGetPreallocateOutputFile
000000018ba926c4 (__TEXT,__text) external _BNNSGraphCompileOptionsGetPredefinedOptimizations
000000018ba92c9c (__TEXT,__text) external _BNNSGraphCompileOptionsGetTarget
000000018ba92464 (__TEXT,__text) external _BNNSGraphCompileOptionsGetTargetSingleThread
000000018ba92914 (__TEXT,__text) external _BNNSGraphCompileOptionsGetUpconvertMode
000000018ba93760 (__TEXT,__text) external _BNNSGraphCompileOptionsGetUserData
000000018ba92b6c (__TEXT,__text) external _BNNSGraphCompileOptionsGetValidateMILFile
