00000001eada60b0 (__DATA,__data) non-external _C
00000001eada72f0 (__DATA,__bss) non-external _CF6464
00000001803e0bc8 (__TEXT,__const) non-external _CIFP
00000001eada7bf8 (__DATA,__bss) non-external _EMSG
00000001eada7bf9 (__DATA,__bss) non-external _EMSG
00000001803e0b98 (__TEXT,__const) non-external _ExpandTr
00000001eada72e0 (__DATA,__bss) non-external _IE3264
00000001803e0b58 (__TEXT,__const) non-external _IP
00000001eada7250 (__DATA,__bss) non-external _KS
00000001eceb0290 (__DATA_DIRTY,__bss) non-external _NXArgc_pointer
00000001eceb02c0 (__DATA_DIRTY,__bss) non-external _NXArgv_pointer
                 (undefined) external _OSAtomicDequeue (from libsystem_platform)
                 (undefined) external _OSAtomicEnqueue (from libsystem_platform)
00000001803a1ec8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001803a8628 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001803cec50 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001803a863c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001803a8648 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001803a8664 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001803a8680 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001803a869c (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001803a86b4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
00000001803e0c08 (__TEXT,__const) non-external _P32Tr
00000001803e0b20 (__TEXT,__const) non-external _PC1
00000001eada7248 (__DATA,__bss) non-external _PC1ROT
00000001803e0ae0 (__TEXT,__const) non-external _PC2
00000001eada72d0 (__DATA,__bss) non-external _PC2ROT
00000001803e0ad0 (__TEXT,__const) non-external _Rotates
00000001803e0c28 (__TEXT,__const) non-external _S
00000001eada72e8 (__DATA,__bss) non-external _SPE
00000001803b9f7c (__TEXT,__text) non-external (was a private external) __BIG5_init
00000001803b9fc0 (__TEXT,__text) non-external __BIG5_mbrtowc
00000001803ba0e4 (__TEXT,__text) non-external __BIG5_mbsinit
00000001803ba08c (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00000001eada6100 (__DATA,__data) non-external __C_lconv
00000001e6b64a30 (__DATA_CONST,__const) non-external __C_messages_locale
00000001e6b64a50 (__DATA_CONST,__const) non-external __C_monetary_locale
00000001e6b64af8 (__DATA_CONST,__const) non-external __C_numeric_locale
00000001e6b64d08 (__DATA_CONST,__const) non-external __C_time_locale
00000001eada6250 (__DATA,__data) external __CurrentRuneLocale
00000001eada6370 (__DATA,__constrw) external __DefaultRuneLocale
00000001edb540a0 (__AUTH,__constrw) non-external (was a private external) __DefaultRuneXLocale
00000001803bbff4 (__TEXT,__text) non-external (was a private external) __EUC_CN_init
00000001803bc064 (__TEXT,__text) non-external __EUC_CN_mbrtowc
00000001803bc0ac (__TEXT,__text) non-external __EUC_CN_mbsnrtowcs
00000001803bc098 (__TEXT,__text) non-external __EUC_CN_wcrtomb
00000001803bc0b0 (__TEXT,__text) non-external __EUC_CN_wcsnrtombs
00000001803bc190 (__TEXT,__text) non-external (was a private external) __EUC_JP_init
00000001803bc200 (__TEXT,__text) non-external __EUC_JP_mbrtowc
00000001803bc248 (__TEXT,__text) non-external __EUC_JP_mbsnrtowcs
00000001803bc234 (__TEXT,__text) non-external __EUC_JP_wcrtomb
00000001803bc24c (__TEXT,__text) non-external __EUC_JP_wcsnrtombs
00000001803bc0d0 (__TEXT,__text) non-external (was a private external) __EUC_KR_init
00000001803bc140 (__TEXT,__text) non-external __EUC_KR_mbrtowc
00000001803bc188 (__TEXT,__text) non-external __EUC_KR_mbsnrtowcs
00000001803bc174 (__TEXT,__text) non-external __EUC_KR_wcrtomb
00000001803bc18c (__TEXT,__text) non-external __EUC_KR_wcsnrtombs
00000001803bc2c0 (__TEXT,__text) non-external (was a private external) __EUC_TW_init
00000001803bc330 (__TEXT,__text) non-external __EUC_TW_mbrtowc
00000001803bc378 (__TEXT,__text) non-external __EUC_TW_mbsnrtowcs
00000001803bc364 (__TEXT,__text) non-external __EUC_TW_wcrtomb
00000001803bc37c (__TEXT,__text) non-external __EUC_TW_wcsnrtombs
00000001803bc250 (__TEXT,__text) non-external (was a private external) __EUC_init
00000001803bc380 (__TEXT,__text) non-external __EUC_mbrtowc_impl
00000001803bc0b4 (__TEXT,__text) non-external __EUC_mbsinit
00000001803bc4bc (__TEXT,__text) non-external __EUC_wcrtomb_impl
00000001803cf344 (__TEXT,__text) external __Exit
00000001803bc5ec (__TEXT,__text) non-external (was a private external) __GB18030_init
00000001803bc630 (__TEXT,__text) non-external __GB18030_mbrtowc
00000001803bc8a4 (__TEXT,__text) non-external __GB18030_mbsinit
00000001803bc79c (__TEXT,__text) non-external __GB18030_wcrtomb
00000001803bc8c0 (__TEXT,__text) non-external (was a private external) __GB2312_init
00000001803bc904 (__TEXT,__text) non-external __GB2312_mbrtowc
00000001803bca74 (__TEXT,__text) non-external __GB2312_mbsinit
00000001803bca1c (__TEXT,__text) non-external __GB2312_wcrtomb
00000001803bca90 (__TEXT,__text) non-external (was a private external) __GBK_init
00000001803bcad4 (__TEXT,__text) non-external __GBK_mbrtowc
00000001803bcbf8 (__TEXT,__text) non-external __GBK_mbsinit
00000001803bcba0 (__TEXT,__text) non-external __GBK_wcrtomb
00000001803bd0a0 (__TEXT,__text) non-external (was a private external) __MSKanji_init
00000001803bd0e4 (__TEXT,__text) non-external __MSKanji_mbrtowc
00000001803bd2e4 (__TEXT,__text) non-external __MSKanji_mbsinit
00000001803bd1bc (__TEXT,__text) non-external __MSKanji_wcrtomb
000000018036b588 (__TEXT,__text) external __NSGetArgc
000000018036b57c (__TEXT,__text) external __NSGetArgv
0000000180365f18 (__TEXT,__text) external __NSGetEnviron
0000000180365fdc (__TEXT,__text) external __NSGetMachExecuteHeader
000000018036a798 (__TEXT,__text) external __NSGetProgname
00000001eceb0320 (__DATA_DIRTY,__common) external __PathLocale
0000000180387164 (__TEXT,__text) external __Read_RuneMagi
00000001803cec78 (__TEXT,__text) non-external (was a private external) __UTF2_init
00000001803cecdc (__TEXT,__text) non-external __UTF2_mbrtowc
00000001803ceed4 (__TEXT,__text) non-external __UTF2_mbsinit
00000001803ceef0 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
00000001803cee2c (__TEXT,__text) non-external __UTF2_wcrtomb
00000001803cf090 (__TEXT,__text) non-external __UTF2_wcsnrtombs
0000000180387b60 (__TEXT,__text) non-external (was a private external) __UTF8_init
000000018038950c (__TEXT,__text) non-external __UTF8_mbrtowc
00000001803bda1c (__TEXT,__text) non-external __UTF8_mbsinit
00000001803897a0 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
0000000180389f94 (__TEXT,__text) non-external __UTF8_wcrtomb
00000001803bda38 (__TEXT,__text) non-external __UTF8_wcsnrtombs
0000000180374eb4 (__TEXT,__text) external ___Balloc_D2A
00000001803750e4 (__TEXT,__text) external ___Bfree_D2A
00000001803a42d0 (__TEXT,__text) external ____mb_cur_max
00000001803a42fc (__TEXT,__text) external ____mb_cur_max_l
000000018037a3a4 (__TEXT,__text) external ____runetype
000000018037a3c8 (__TEXT,__text) external ____runetype_l
00000001803bd938 (__TEXT,__text) external ____tolower
00000001803bd89c (__TEXT,__text) external ____tolower_l
00000001803bd9f8 (__TEXT,__text) external ____toupper
00000001803bd95c (__TEXT,__text) external ____toupper_l
00000001803de85c (__TEXT,__text) non-external (was a private external) ___abort
00000001803af69c (__TEXT,__text) external ___add_ovflpage
00000001803af3a0 (__TEXT,__text) external ___addel
0000000180379314 (__TEXT,__text) external ___any_on_D2A
00000001803dd968 (__TEXT,__text) external ___assert_rtn
00000001eceb02a8 (__DATA_DIRTY,__bss) non-external ___atexit
0000000180384240 (__TEXT,__text) non-external (was a private external) ___atexit_init
00000001eceb02b0 (__DATA_DIRTY,__bss) non-external ___atexit_new_registration
000000018038b28c (__TEXT,__text) external ___b2d_D2A
00000001803adcd8 (__TEXT,__text) external ___big_delete
00000001803ada3c (__TEXT,__text) external ___big_insert
00000001803ae374 (__TEXT,__text) external ___big_keydata
00000001803ae00c (__TEXT,__text) external ___big_return
00000001803ae504 (__TEXT,__text) external ___big_split
00000001803e1138 (__TEXT,__const) external ___bigtens_D2A
00000001803a8874 (__TEXT,__text) external ___bt_close
00000001803ac5f0 (__TEXT,__text) external ___bt_cmp
00000001803ac6a8 (__TEXT,__text) external ___bt_defcmp
00000001803ac6ec (__TEXT,__text) external ___bt_defpfx
00000001803a8d00 (__TEXT,__text) external ___bt_delete
00000001803a9370 (__TEXT,__text) external ___bt_dleaf
00000001803aa14c (__TEXT,__text) external ___bt_fd
00000001803ab1a4 (__TEXT,__text) non-external ___bt_first
00000001803aa558 (__TEXT,__text) external ___bt_free
00000001803a99f0 (__TEXT,__text) external ___bt_get
00000001803aa580 (__TEXT,__text) external ___bt_new
00000001803a9ae4 (__TEXT,__text) external ___bt_open
00000001803a9748 (__TEXT,__text) non-external ___bt_pdelete
00000001803a8a0c (__TEXT,__text) external ___bt_pgin
00000001803a8b98 (__TEXT,__text) external ___bt_pgout
00000001803aa5fc (__TEXT,__text) external ___bt_put
00000001803a9960 (__TEXT,__text) non-external ___bt_relink
00000001803ac44c (__TEXT,__text) external ___bt_ret
00000001803aab1c (__TEXT,__text) external ___bt_search
00000001803aad6c (__TEXT,__text) external ___bt_seq
00000001803ab148 (__TEXT,__text) external ___bt_setcur
00000001803ab3bc (__TEXT,__text) external ___bt_split
00000001803a9000 (__TEXT,__text) non-external ___bt_stkacq
