00007ffa1ee58d30 (__TEXT,__text) external _ARMCompilationCallback
00007ffa1ee58d40 (__TEXT,__text) external _ARMCompilationCallbackC
00007ffa1f567e60 (__TEXT,__text) external _ConvertUTF16toUTF32
00007ffa1f567f40 (__TEXT,__text) external _ConvertUTF16toUTF8
00007ffa1f567d70 (__TEXT,__text) external _ConvertUTF32toUTF16
00007ffa1f5680e0 (__TEXT,__text) external _ConvertUTF32toUTF8
00007ffa1f568420 (__TEXT,__text) external _ConvertUTF8toUTF16
00007ffa1f568840 (__TEXT,__text) external _ConvertUTF8toUTF32
00007ffa1f568660 (__TEXT,__text) non-external _ConvertUTF8toUTF32Impl
00007ffa1f568650 (__TEXT,__text) external _ConvertUTF8toUTF32Partial
00007ffa4481f4e8 (__DATA,__common) external _EnableARMEHABI
00007ffa4481f228 (__DATA,__common) external _EnableARMLongCalls
00007ffa4481efb0 (__DATA,__common) external _ForceStackAlign
00007ffa1f375920 (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffa1f3758d0 (__TEXT,__text) external _LLVMABISizeOfType
00007ffa1f1cd410 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007ffa1f3a8d60 (__TEXT,__text) external _LLVMAddAlias
00007ffa1eb6ddc0 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffa1f378ea0 (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffa1eb6dcd0 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffa1f3a9400 (__TEXT,__text) external _LLVMAddAttribute
00007ffa1eb97770 (__TEXT,__text) external _LLVMAddBBVectorizePass
00007ffa1f1cda00 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007ffa1f1cd440 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffa1f3aa8a0 (__TEXT,__text) external _LLVMAddCase
00007ffa1f3aa8c0 (__TEXT,__text) external _LLVMAddClause
00007ffa1eb6dd00 (__TEXT,__text) external _LLVMAddConstantMergePass
00007ffa1f1cd8e0 (__TEXT,__text) external _LLVMAddConstantPropagationPass
00007ffa1f1cd970 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00007ffa1eb6dd30 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00007ffa1f1cd470 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00007ffa1f1cd910 (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
00007ffa1f3aa8b0 (__TEXT,__text) external _LLVMAddDestination
00007ffa1f1cd9a0 (__TEXT,__text) external _LLVMAddEarlyCSEPass
00007ffa1f3a8dd0 (__TEXT,__text) external _LLVMAddFunction
00007ffa1f3a8f90 (__TEXT,__text) external _LLVMAddFunctionAttr
00007ffa1eb6dd60 (__TEXT,__text) external _LLVMAddFunctionAttrsPass
00007ffa1eb6dd90 (__TEXT,__text) external _LLVMAddFunctionInliningPass
00007ffa1f1cd4d0 (__TEXT,__text) external _LLVMAddGVNPass
00007ffa1f3a8a50 (__TEXT,__text) external _LLVMAddGlobal
00007ffa1eb6ddf0 (__TEXT,__text) external _LLVMAddGlobalDCEPass
00007ffa1f3a8ad0 (__TEXT,__text) external _LLVMAddGlobalInAddressSpace
00007ffa1ec1de40 (__TEXT,__text) external _LLVMAddGlobalMapping
00007ffa1eb6de20 (__TEXT,__text) external _LLVMAddGlobalOptimizerPass
00007ffa1eb6de50 (__TEXT,__text) external _LLVMAddIPConstantPropagationPass
00007ffa1eb6deb0 (__TEXT,__text) external _LLVMAddIPSCCPPass
00007ffa1f3a9d40 (__TEXT,__text) external _LLVMAddIncoming
00007ffa1f1cd500 (__TEXT,__text) external _LLVMAddIndVarSimplifyPass
00007ffa1f3a9ac0 (__TEXT,__text) external _LLVMAddInstrAttribute
00007ffa1f1cd530 (__TEXT,__text) external _LLVMAddInstructionCombiningPass
00007ffa1eb6dee0 (__TEXT,__text) external _LLVMAddInternalizePass
00007ffa1f1cd560 (__TEXT,__text) external _LLVMAddJumpThreadingPass
00007ffa1f1cd590 (__TEXT,__text) external _LLVMAddLICMPass
00007ffa1f1cd5c0 (__TEXT,__text) external _LLVMAddLoopDeletionPass
00007ffa1f1cd5f0 (__TEXT,__text) external _LLVMAddLoopIdiomPass
00007ffa1f1cd650 (__TEXT,__text) external _LLVMAddLoopRerollPass
00007ffa1f1cd620 (__TEXT,__text) external _LLVMAddLoopRotatePass
00007ffa1f1cd680 (__TEXT,__text) external _LLVMAddLoopUnrollPass
00007ffa1f1cd6c0 (__TEXT,__text) external _LLVMAddLoopUnswitchPass
00007ffa1eb977b0 (__TEXT,__text) external _LLVMAddLoopVectorizePass
00007ffa1f1cda30 (__TEXT,__text) external _LLVMAddLowerExpectIntrinsicPass
00007ffa1f1cd6f0 (__TEXT,__text) external _LLVMAddMemCpyOptPass
00007ffa1ec1dd70 (__TEXT,__text) external _LLVMAddModule
00007ffa1ec1dd80 (__TEXT,__text) external _LLVMAddModuleProvider
00007ffa1f3a7f10 (__TEXT,__text) external _LLVMAddNamedMetadataOperand
00007ffa1f1cd720 (__TEXT,__text) external _LLVMAddPartiallyInlineLibCallsPass
00007ffa1f1cd750 (__TEXT,__text) external _LLVMAddPromoteMemoryToRegisterPass
00007ffa1eb6de80 (__TEXT,__text) external _LLVMAddPruneEHPass
00007ffa1f1cd780 (__TEXT,__text) external _LLVMAddReassociatePass
00007ffa1f1cd7b0 (__TEXT,__text) external _LLVMAddSCCPPass
00007ffa1eb977e0 (__TEXT,__text) external _LLVMAddSLPVectorizePass
00007ffa1f1cd7e0 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPass
00007ffa1f1cd820 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassSSA
00007ffa1f1cd860 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassWithThreshold
00007ffa1f1cd4a0 (__TEXT,__text) external _LLVMAddScalarizerPass
00007ffa1f1cd8a0 (__TEXT,__text) external _LLVMAddSimplifyLibCallsPass
00007ffa1eb6df50 (__TEXT,__text) external _LLVMAddStripDeadPrototypesPass
00007ffa1eb6df80 (__TEXT,__text) external _LLVMAddStripSymbolsPass
00007ffa1f1cd8b0 (__TEXT,__text) external _LLVMAddTailCallEliminationPass
00007ffa1f375570 (__TEXT,__text) external _LLVMAddTargetData
00007ffa1f3a9040 (__TEXT,__text) external _LLVMAddTargetDependentFunctionAttr
00007ffa1f3755c0 (__TEXT,__text) external _LLVMAddTargetLibraryInfo
00007ffa1f1cd9d0 (__TEXT,__text) external _LLVMAddTypeBasedAliasAnalysisPass
00007ffa1f1cd940 (__TEXT,__text) external _LLVMAddVerifierPass
00007ffa1f3a8240 (__TEXT,__text) external _LLVMAlignOf
00007ffa1f3a97a0 (__TEXT,__text) external _LLVMAppendBasicBlock
00007ffa1f3a9730 (__TEXT,__text) external _LLVMAppendBasicBlockInContext
00007ffa1f3a6d50 (__TEXT,__text) external _LLVMArrayType
00007ffa1f3a95e0 (__TEXT,__text) external _LLVMBasicBlockAsValue
00007ffa1f3a8730 (__TEXT,__text) external _LLVMBlockAddress
00007ffa1f3ab5c0 (__TEXT,__text) external _LLVMBuildAShr
00007ffa1f3aa8f0 (__TEXT,__text) external _LLVMBuildAdd
00007ffa1f3ac470 (__TEXT,__text) external _LLVMBuildAddrSpaceCast
00007ffa1f3aa2c0 (__TEXT,__text) external _LLVMBuildAggregateRet
00007ffa1f3abc10 (__TEXT,__text) external _LLVMBuildAlloca
00007ffa1f3ab5f0 (__TEXT,__text) external _LLVMBuildAnd
00007ffa1f3abcd0 (__TEXT,__text) external _LLVMBuildArrayAlloca
00007ffa1f3abb20 (__TEXT,__text) external _LLVMBuildArrayMalloc
00007ffa1f3acee0 (__TEXT,__text) external _LLVMBuildAtomicRMW
00007ffa1f3ab680 (__TEXT,__text) external _LLVMBuildBinOp
00007ffa1f3ac430 (__TEXT,__text) external _LLVMBuildBitCast
00007ffa1f3aa3e0 (__TEXT,__text) external _LLVMBuildBr
00007ffa1f3ac9d0 (__TEXT,__text) external _LLVMBuildCall
00007ffa1f3ac780 (__TEXT,__text) external _LLVMBuildCast
00007ffa1f3aa480 (__TEXT,__text) external _LLVMBuildCondBr
00007ffa1f3ab2b0 (__TEXT,__text) external _LLVMBuildExactSDiv
