0000000183553f2c (__TEXT,__text) external _CreateLSTMBreakEngine
0000000183553ef0 (__TEXT,__text) external _CreateLSTMData
0000000183553d9c (__TEXT,__text) external _CreateLSTMDataForScript
00000001835540e0 (__TEXT,__text) external _DeleteLSTMData
000000018355412c (__TEXT,__text) external _LSTMDataName
0000000183532974 (__TEXT,__text) external _T_CString_int64ToString
000000018353289c (__TEXT,__text) external _T_CString_integerToString
0000000183532a50 (__TEXT,__text) external _T_CString_stringToInteger
0000000183532844 (__TEXT,__text) external _T_CString_toLowerCase
0000000183532870 (__TEXT,__text) external _T_CString_toUpperCase
000000018359f3d4 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
000000018359f140 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
000000018359f018 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
000000018359f280 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
000000018359f93c (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
000000018359f8e4 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
000000018359f13c (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
000000018359f908 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
00000001835bc6a8 (__TEXT,__text) external _UDataMemory_createNewInstance
                 (undefined) external __DefaultRuneLocale (from libSystem)
00000001835eccb0 (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
000000018375f788 (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
0000000183529be0 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
0000000183529afc (__TEXT,__text) external __ZN3icu10Appendable15appendCodePointEi
0000000183529ca4 (__TEXT,__text) external __ZN3icu10Appendable15getAppendBufferEiiPDsiPi
0000000183529c9c (__TEXT,__text) external __ZN3icu10Appendable21reserveAppendCapacityEi
0000000183529af8 (__TEXT,__text) external __ZN3icu10AppendableD0Ev
0000000183529af4 (__TEXT,__text) external __ZN3icu10AppendableD1Ev
0000000183529af0 (__TEXT,__text) external __ZN3icu10AppendableD2Ev
00000001836186ec (__TEXT,__text) external __ZN3icu10CECalendar6ceToJDEiiii
