                 (undefined) external _CCHmac (from libSystem)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetCStringPtr (from CoreFoundation)
00007ff811421f4e (__TEXT,__text) external _NEAuditTokenForPID
00007ff811428bf8 (__TEXT,__text) non-external _NEAuditTokenForPID.cold.1
00007ff811428c82 (__TEXT,__text) non-external _NEAuditTokenForPID.cold.2
00007ff811422055 (__TEXT,__text) external _NECopyAuditPortForAuditToken
00007ff81142200f (__TEXT,__text) external _NECopyBootstrapPortForPID
00007ff811421dfa (__TEXT,__text) external _NECopySigningIdentifierForPID
00007ff811421e2d (__TEXT,__text) external _NECopySigningIdentifierForXPCMessage
00007ff811428af1 (__TEXT,__text) non-external _NECopySigningIdentifierForXPCMessage.cold.1
00007ff811428b55 (__TEXT,__text) non-external _NECopySigningIdentifierForXPCMessage.cold.2
00007ff811428b89 (__TEXT,__text) non-external _NECopySigningIdentifierForXPCMessage.cold.3
00007ff811421ffb (__TEXT,__text) external _NEGIDForAuditToken
                 (undefined) external _NEHelperCacheCopySigningIdentifierMapping (from libSystem)
00007ff81140bf0b (__TEXT,__text) external _NEHelperTrackerAddIP
00007ff81140b4fa (__TEXT,__text) external _NEHelperTrackerAddIPForAllFlows
00007ff8429336f0 (__DATA,__bss) non-external _NEHelperTrackerAddIPForAllFlows.buffer
00007ff811422d5d (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.1
00007ff811423137 (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.10
00007ff81142319b (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.11
00007ff8114231ff (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.12
00007ff811422def (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.2
00007ff811422e5b (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.3
00007ff811422ebf (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.4
00007ff811422f23 (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.5
00007ff811422f87 (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.6
00007ff811422feb (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.7
00007ff811423057 (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.8
00007ff8114230d3 (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.9
00007ff81140bef0 (__TEXT,__text) external _NEHelperTrackerAddIPWithDisposition
00007ff81140a264 (__TEXT,__text) external _NEHelperTrackerAppInfoGetPID
00007ff81140a101 (__TEXT,__text) external _NEHelperTrackerAppInfoIsBrowser
00007ff81140a06c (__TEXT,__text) external _NEHelperTrackerAppInfoSetAuditToken
00007ff81140a0ec (__TEXT,__text) external _NEHelperTrackerAppInfoSetIsBrowser
00007ff81140a0d5 (__TEXT,__text) external _NEHelperTrackerAppInfoSetPID
00007ff81140a054 (__TEXT,__text) external _NEHelperTrackerAppInfoSetSigningIdentifier
00007ff81140a0a3 (__TEXT,__text) external _NEHelperTrackerAppInfoSetUUID
00007ff81140b0c6 (__TEXT,__text) external _NEHelperTrackerAppendTLV
00007ff81140b320 (__TEXT,__text) external _NEHelperTrackerCalculateParameterLen
00007ff81140aa25 (__TEXT,__text) non-external _NEHelperTrackerCheckMetadataForApp
00007ff81140aa0f (__TEXT,__text) non-external _NEHelperTrackerCheckMetadataForWeb
00007ff81140b093 (__TEXT,__text) external _NEHelperTrackerClearCache
00007ff81140a2c0 (__TEXT,__text) external _NEHelperTrackerContextGetDomain
00007ff81140a2d3 (__TEXT,__text) external _NEHelperTrackerContextGetDomainOwner
00007ff8429337f0 (__DATA,__bss) non-external _NEHelperTrackerDomainIsApproved.buffer
00007ff81140bf38 (__TEXT,__text) external _NEHelperTrackerDumpIPEntries
00007ff811423263 (__TEXT,__text) non-external _NEHelperTrackerDumpIPEntries.cold.1
00007ff8114232c7 (__TEXT,__text) non-external _NEHelperTrackerDumpIPEntries.cold.2
00007ff811423337 (__TEXT,__text) non-external _NEHelperTrackerDumpIPEntries.cold.3
00007ff8114233a5 (__TEXT,__text) non-external _NEHelperTrackerDumpIPEntries.cold.4
00007ff811423413 (__TEXT,__text) non-external _NEHelperTrackerDumpIPEntries.cold.5
00007ff811423481 (__TEXT,__text) non-external _NEHelperTrackerDumpIPEntries.cold.6
00007ff8114234ed (__TEXT,__text) non-external _NEHelperTrackerDumpIPEntries.cold.7
00007ff81140b3a8 (__TEXT,__text) external _NEHelperTrackerFillParameters
00007ff81140a043 (__TEXT,__text) external _NEHelperTrackerFreeAppInfo
00007ff81140a00c (__TEXT,__text) external _NEHelperTrackerGetAppInfo
00007ff81140a114 (__TEXT,__text) external _NEHelperTrackerGetAppUUID
00007ff81140a2e6 (__TEXT,__text) external _NEHelperTrackerGetDisposition
00007ff842933470 (__DATA,__bss) non-external _NEHelperTrackerGetDisposition.buffer
00007ff811422c33 (__TEXT,__text) non-external _NEHelperTrackerGetDisposition.cold.1
00007ff8429335f0 (__DATA,__bss) non-external _NEHelperTrackerGetDisposition.puny_coded_domain_buf
00007ff81140b103 (__TEXT,__text) external _NEHelperTrackerParseTLV
00007ff811422c61 (__TEXT,__text) non-external _NEHelperTrackerParseTLV.cold.1
00007ff811422ce1 (__TEXT,__text) non-external _NEHelperTrackerParseTLV.cold.2
00007ff81140aa3b (__TEXT,__text) non-external _NEHelperTrackerProcessMatch
00007ff811421cbc (__TEXT,__text) external _NEPIDByName
00007ff811428a71 (__TEXT,__text) non-external _NEPIDByName.cold.1
00007ff811409f20 (__TEXT,__text) external _NEPunyCodeString
00007ff811422b5a (__TEXT,__text) non-external _NEPunyCodeString.cold.1
00007ff811422bc6 (__TEXT,__text) non-external _NEPunyCodeString.cold.2
00007ff811422005 (__TEXT,__text) external _NEUIDForAuditToken
                 (undefined) external _SANDBOX_CHECK_NO_REPORT (from libSystem)
                 (undefined) external _SecRandomCopyBytes (from Security)
                 (undefined) external _SecTaskCopySigningIdentifier (from Security)
                 (undefined) external _SecTaskCreateWithAuditToken (from Security)
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
                 (undefined) external __CFXPCCreateCFObjectFromXPCObject (from CoreFoundation)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff81141319c (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ff8114131b3 (__TEXT,__text) non-external ___Block_byref_object_dispose_
00007ff81140c8c8 (__TEXT,__text) non-external ___NEHelperTrackerDomainIsApproved_block_invoke
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
00007ff840c72fe0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ff840c73010 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ff840c73b58 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ff840c73d00 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ff840c73d40 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1
00007ff840c73080 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00007ff840c730a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
00007ff840c730d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00007ff840c730f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.13
00007ff840c73be8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
00007ff840c73420 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.144
