00000001ec2037c0 (__DATA,__data) external _AKAdornmentZPositionOffset
00000001ec203168 (__DATA,__data) external _AKAnnotationChangeObjectKey
00000001ec203150 (__DATA,__data) external _AKAnnotationLayerSetupCompleteNotification
00000001ec203160 (__DATA,__data) external _AKAnnotationPropertiesChangedNotification
00000001ec203158 (__DATA,__data) external _AKAnnotationsAddedOrRemovedNotification
00000001e804db98 (__DATA_CONST,__const) external _AKAttributeControllerInkDidChangeNotification
00000001e804e370 (__DATA_CONST,__const) external _AKChildAnnotationUUIDAssociatedObjectKey
00000001e804e470 (__DATA_CONST,__const) external _AKContentScrollViewEndScrollOrMagnifyNotification
00000001e804e468 (__DATA_CONST,__const) external _AKContentScrollViewVisibleRectChangeNotification
00000001ec2031a0 (__DATA,__data) external _AKControllerDrawingGestureRecognizerNeedsDependencyUpdate
00000001ec203198 (__DATA,__data) external _AKControllerWillSaveNotification
00000001e804de80 (__DATA_CONST,__const) external _AKControllerWillTeardownNotification
00000001ec203178 (__DATA,__data) external _AKDidEndEditingTextAnnotationNotification
00000001ec203180 (__DATA,__data) external _AKEditingTextAnnotationKey
00000001d4677888 (__TEXT,__text) external _AKLog
00000001e804e368 (__DATA_CONST,__const) external _AKParentAnnotationUUIDAssociatedObjectKey
00000001ec203738 (__DATA,__data) external _AKPointOfInterestRadius_Handle_Alternate
00000001ec203730 (__DATA,__data) external _AKPointOfInterestSize_Handle
00000001ec203728 (__DATA,__data) external _AKPointOfInterestSize_LargestHandleSize
00000001d467fadc (__TEXT,__text) external _AKQuadrilateralCreateDictionaryRepresentation
00000001d468003c (__TEXT,__text) external _AKQuadrilateralMakeWithDictionaryRepresentation
00000001ec203188 (__DATA,__data) external _AKSelectionChangedNotification
00000001ec203190 (__DATA,__data) external _AKSelectionChangedPageModelControllerKey
00000001d4731ff0 (__TEXT,__text) external _AKSidecarMarkupGetApplicationFromDictionary
00000001ec2031a8 (__DATA,__data) external _AKStatisticsDocumentTypeImage
00000001ec2031b0 (__DATA,__data) external _AKStatisticsDocumentTypePDF
00000001e804e660 (__DATA_CONST,__const) external _AKTextAnnotationTypingAttributesTextContentTypeKey
00000001ec203170 (__DATA,__data) external _AKWillBeginEditingTextAnnotationNotification
00000001d475de00 (__TEXT,__const) external _AKZeroQuadrilateral
                 (undefined) external _AnalyticsSendEventLazy (from CoreAnalytics)
                 (undefined) external _CADynamicRangeConstrainedHigh (from QuartzCore)
                 (undefined) external _CADynamicRangeHigh (from QuartzCore)
                 (undefined) external _CADynamicRangeStandard (from QuartzCore)
                 (undefined) external _CARenderServerRenderLayerWithTransform (from QuartzCore)
                 (undefined) external _CATransform3DMakeScale (from QuartzCore)
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFAutorelease (from CoreFoundation)
                 (undefined) external _CFDataCreateMutable (from CoreFoundation)
                 (undefined) external _CFEqual (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CGAffineTransformConcat (from CoreGraphics)
                 (undefined) external _CGAffineTransformEqualToTransform (from CoreGraphics)
                 (undefined) external _CGAffineTransformIdentity (from CoreGraphics)
                 (undefined) external _CGAffineTransformInvert (from CoreGraphics)
                 (undefined) external _CGAffineTransformMakeRotation (from CoreGraphics)
                 (undefined) external _CGAffineTransformMakeScale (from CoreGraphics)
                 (undefined) external _CGAffineTransformMakeTranslation (from CoreGraphics)
                 (undefined) external _CGAffineTransformRotate (from CoreGraphics)
                 (undefined) external _CGAffineTransformScale (from CoreGraphics)
                 (undefined) external _CGAffineTransformTranslate (from CoreGraphics)
                 (undefined) external _CGBitmapContextCreate (from CoreGraphics)
                 (undefined) external _CGBitmapContextCreateImage (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetBitmapInfo (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetBitsPerComponent (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetBitsPerPixel (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetBytesPerRow (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetColorSpace (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetData (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetHeight (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetWidth (from CoreGraphics)
                 (undefined) external _CGBitmapGetAlignedBytesPerRow (from CoreGraphics)
                 (undefined) external _CGColorCreate (from CoreGraphics)
                 (undefined) external _CGColorCreateCopyByMatchingToColorSpace (from CoreGraphics)
                 (undefined) external _CGColorCreateSRGB (from CoreGraphics)
                 (undefined) external _CGColorCreateWithContentHeadroom (from CoreGraphics)
                 (undefined) external _CGColorGetAlpha (from CoreGraphics)
                 (undefined) external _CGColorGetColorSpace (from CoreGraphics)
                 (undefined) external _CGColorGetComponents (from CoreGraphics)
                 (undefined) external _CGColorGetContentHeadroom (from CoreGraphics)
                 (undefined) external _CGColorGetNumberOfComponents (from CoreGraphics)
                 (undefined) external _CGColorRelease (from CoreGraphics)
                 (undefined) external _CGColorRetain (from CoreGraphics)
                 (undefined) external _CGColorSpaceCreateDeviceGray (from CoreGraphics)
                 (undefined) external _CGColorSpaceCreateDeviceRGB (from CoreGraphics)
                 (undefined) external _CGColorSpaceCreateLab (from CoreGraphics)
                 (undefined) external _CGColorSpaceCreateWithName (from CoreGraphics)
                 (undefined) external _CGColorSpaceCreateWithPropertyList (from CoreGraphics)
                 (undefined) external _CGColorSpaceGetName (from CoreGraphics)
                 (undefined) external _CGColorSpaceGetNumberOfComponents (from CoreGraphics)
                 (undefined) external _CGColorSpaceIsHDR (from CoreGraphics)
                 (undefined) external _CGColorSpaceRelease (from CoreGraphics)
                 (undefined) external _CGColorSpaceRetain (from CoreGraphics)
                 (undefined) external _CGColorSpaceSupportsOutput (from CoreGraphics)
                 (undefined) external _CGColorSpaceUsesExtendedRange (from CoreGraphics)
                 (undefined) external _CGColorTransformConvertColor (from CoreGraphics)
                 (undefined) external _CGColorTransformCreate (from CoreGraphics)
                 (undefined) external _CGContextAddCurveToPoint (from CoreGraphics)
                 (undefined) external _CGContextAddEllipseInRect (from CoreGraphics)
                 (undefined) external _CGContextAddLineToPoint (from CoreGraphics)
                 (undefined) external _CGContextAddPath (from CoreGraphics)
                 (undefined) external _CGContextBeginPath (from CoreGraphics)
                 (undefined) external _CGContextBeginTransparencyLayer (from CoreGraphics)
                 (undefined) external _CGContextBeginTransparencyLayerWithRect (from CoreGraphics)
                 (undefined) external _CGContextClearRect (from CoreGraphics)
                 (undefined) external _CGContextClip (from CoreGraphics)
                 (undefined) external _CGContextClipToMask (from CoreGraphics)
                 (undefined) external _CGContextClipToRect (from CoreGraphics)
                 (undefined) external _CGContextClosePath (from CoreGraphics)
                 (undefined) external _CGContextConcatCTM (from CoreGraphics)
                 (undefined) external _CGContextConvertRectToDeviceSpace (from CoreGraphics)
                 (undefined) external _CGContextConvertRectToUserSpace (from CoreGraphics)
                 (undefined) external _CGContextConvertSizeToDeviceSpace (from CoreGraphics)
                 (undefined) external _CGContextConvertSizeToUserSpace (from CoreGraphics)
                 (undefined) external _CGContextDrawImage (from CoreGraphics)
