                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff81663ef7f (__TEXT,__text) external _pcre_assign_jit_stack
00007ff843915340 (__DATA,__common) external _pcre_callout
00007ff81661b6c3 (__TEXT,__text) external _pcre_compile
00007ff81661b6d8 (__TEXT,__text) external _pcre_compile2
00007ff816625d9c (__TEXT,__text) external _pcre_config
00007ff81663ecc8 (__TEXT,__text) external _pcre_copy_named_substring
00007ff81663ec70 (__TEXT,__text) external _pcre_copy_substring
00007ff816625e40 (__TEXT,__text) external _pcre_dfa_exec
00007ff81662d670 (__TEXT,__text) external _pcre_exec
00007ff843915328 (__DATA,__data) external _pcre_free
00007ff816640ba8 (__TEXT,__text) external _pcre_free_study
00007ff81663ef63 (__TEXT,__text) external _pcre_free_substring
00007ff81663ee81 (__TEXT,__text) external _pcre_free_substring_list
00007ff81663e738 (__TEXT,__text) external _pcre_fullinfo
00007ff81663ef1c (__TEXT,__text) external _pcre_get_named_substring
00007ff81663e9c4 (__TEXT,__text) external _pcre_get_stringnumber
00007ff81663eab5 (__TEXT,__text) external _pcre_get_stringtable_entries
00007ff81663ee8f (__TEXT,__text) external _pcre_get_substring
00007ff81663eda1 (__TEXT,__text) external _pcre_get_substring_list
00007ff81663ef85 (__TEXT,__text) external _pcre_jit_free_unused_memory
00007ff81663ef71 (__TEXT,__text) external _pcre_jit_stack_alloc
00007ff81663ef79 (__TEXT,__text) external _pcre_jit_stack_free
00007ff81663ef8b (__TEXT,__text) external _pcre_maketables
00007ff843915320 (__DATA,__data) external _pcre_malloc
00007ff81661b4b0 (__TEXT,__text) external _pcre_pattern_to_host_byte_order
00007ff81663f754 (__TEXT,__text) external _pcre_refcount
00007ff843915338 (__DATA,__data) external _pcre_stack_free
00007ff843915348 (__DATA,__common) external _pcre_stack_guard
00007ff843915330 (__DATA,__data) external _pcre_stack_malloc
00007ff81663f7a4 (__TEXT,__text) external _pcre_study
00007ff816641124 (__TEXT,__text) external _pcre_version
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
