0000000184391f08 (__DATA,__data) non-external _C
0000000184393ba0 (__DATA,__bss) non-external _NXArgc_pointer
0000000184393b98 (__DATA,__bss) non-external _NXArgv_pointer
0000000180256604 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018025e374 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018026fa00 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001802700fc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018029f744 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018025e3b0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000180270118 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000018025e3cc (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000180270130 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
000000018025e3e8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
000000018025e400 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
000000018025e41c (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
000000018025e438 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
000000018025e44c (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
000000018025e460 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
000000018025e478 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
0000000180278bf8 (__TEXT,__text) non-external (was a private external) __BIG5_init
0000000180278c48 (__TEXT,__text) non-external __BIG5_mbrtowc
0000000180278d6c (__TEXT,__text) non-external __BIG5_mbsinit
0000000180278d18 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
000000018237d010 (__DATA_CONST,__const) non-external __C_messages_locale
000000018237d030 (__DATA_CONST,__const) non-external __C_monetary_locale
000000018237d0d8 (__DATA_CONST,__const) non-external __C_numeric_locale
000000018237d2b8 (__DATA_CONST,__const) non-external __C_time_locale
00000001843926c0 (__DATA,__data) external __CurrentRuneLocale
0000000184392d90 (__DATA,__constrw) external __DefaultRuneLocale
00000001843a8d70 (__AUTH,__constrw) non-external (was a private external) __DefaultRuneXLocale
000000018027ad1c (__TEXT,__text) non-external __EUC_free_extra
000000018027a7dc (__TEXT,__text) non-external (was a private external) __EUC_init
000000018027a998 (__TEXT,__text) non-external __EUC_mbrtowc
000000018027ad00 (__TEXT,__text) non-external __EUC_mbsinit
000000018027ab28 (__TEXT,__text) non-external __EUC_wcrtomb
000000018029ffcc (__TEXT,__text) external __Exit
000000018027ae20 (__TEXT,__text) non-external (was a private external) __GB18030_init
000000018027ae70 (__TEXT,__text) non-external __GB18030_mbrtowc
000000018027b0f4 (__TEXT,__text) non-external __GB18030_mbsinit
000000018027afe8 (__TEXT,__text) non-external __GB18030_wcrtomb
000000018027b110 (__TEXT,__text) non-external (was a private external) __GB2312_init
000000018027b160 (__TEXT,__text) non-external __GB2312_mbrtowc
000000018027b2c8 (__TEXT,__text) non-external __GB2312_mbsinit
