00000001e2d20868 (__DATA,__data) external _DefaultServerName
00000001d37a3968 (__TEXT,__text) external _FindLockBytePosition
00000001d37a3b04 (__TEXT,__text) external _FindResBytePosition
00000001d37c2f94 (__TEXT,__text) external _GetRfTransRegValProc
00000001e2d21098 (__DATA,__common) external _NdefInfo
00000001d37bd5c0 (__TEXT,__text) external _VerifyRoutingTable
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00000001d380c304 (__TEXT,__const) external _aCrcTab
00000001d380cca0 (__TEXT,__const) external _aHsuBr_115_2K
00000001d380ccb0 (__TEXT,__const) external _aHsuBr_1288K
00000001d380ccb8 (__TEXT,__const) external _aHsuBr_2400K
00000001d380ccc0 (__TEXT,__const) external _aHsuBr_3500K
00000001d380ccc8 (__TEXT,__const) external _aHsuBr_3750K
00000001d380ccd0 (__TEXT,__const) external _aHsuBr_4000K
00000001d380ccd8 (__TEXT,__const) external _aHsuBr_5000K
00000001d380cc98 (__TEXT,__const) external _aHsuBr_57_6K
00000001d380cca8 (__TEXT,__const) external _aHsuBr_921_6K
00000001e2d20d01 (__DATA,__common) external _aIoctlInputBuff
00000001e2d20e00 (__DATA,__common) external _aIoctlOutputBuff
00000001ec922048 (__AUTH,__data) external _atLibNfc_SM_Discovery
00000001ec923af8 (__AUTH,__data) external _atLibNfc_SM_Dnld_Busy
00000001ec923a68 (__AUTH,__data) external _atLibNfc_SM_Dnld_Idle
00000001ec923b38 (__AUTH,__data) external _atLibNfc_SM_Dnld_Recovery
00000001ec921908 (__AUTH,__data) external _atLibNfc_SM_Idle
00000001ec9219b8 (__AUTH,__data) external _atLibNfc_SM_Init
00000001ec922938 (__AUTH,__data) external _atLibNfc_SM_ListenActive
00000001ec922be8 (__AUTH,__data) external _atLibNfc_SM_ListenReceive
00000001ec922e68 (__AUTH,__data) external _atLibNfc_SM_ListenSend
00000001ec9230e8 (__AUTH,__data) external _atLibNfc_SM_ListenSleep
00000001ec922548 (__AUTH,__data) external _atLibNfc_SM_PollActive
00000001ec9222d8 (__AUTH,__data) external _atLibNfc_SM_PollDiscovered
00000001ec9237f8 (__AUTH,__data) external _atLibNfc_SM_SE_Apdu
00000001ec9233b8 (__AUTH,__data) external _atLibNfc_SM_SE_Idle
00000001ec923458 (__AUTH,__data) external _atLibNfc_SM_SE_Init
00000001ec9239a8 (__AUTH,__data) external _atLibNfc_SM_SE_PowerOff
00000001ec923628 (__AUTH,__data) external _atLibNfc_SM_SE_Virtual
00000001ec9218e8 (__AUTH,__data) external _atLibNfc_SM_Start
00000001ec921eb8 (__AUTH,__data) external _atLibNfc_SM_TestMode
00000001ec923358 (__AUTH,__data) external _atLibNfc_Shutdown
00000001d3802df9 (__TEXT,__cstring) non-external _au8ResCarrier
00000001d380cc10 (__TEXT,__const) external _bHsuBaudrate_115_2K
00000001d380cc58 (__TEXT,__const) external _bHsuBaudrate_115_2K_4_0
00000001d380cc20 (__TEXT,__const) external _bHsuBaudrate_1288K
00000001d380cc68 (__TEXT,__const) external _bHsuBaudrate_1288K_4_0
00000001d380cc28 (__TEXT,__const) external _bHsuBaudrate_2400K
00000001d380cc70 (__TEXT,__const) external _bHsuBaudrate_2400K_4_0
00000001d380cc30 (__TEXT,__const) external _bHsuBaudrate_3500K
00000001d380cc78 (__TEXT,__const) external _bHsuBaudrate_3500K_4_0
00000001d380cc38 (__TEXT,__const) external _bHsuBaudrate_3750K
00000001d380cc80 (__TEXT,__const) external _bHsuBaudrate_3750K_4_0
00000001d380cc40 (__TEXT,__const) external _bHsuBaudrate_4000K
00000001d380cc88 (__TEXT,__const) external _bHsuBaudrate_4000K_4_0
00000001d380cc48 (__TEXT,__const) external _bHsuBaudrate_5000K
00000001d380cc90 (__TEXT,__const) external _bHsuBaudrate_5000K_4_0
00000001d380cc08 (__TEXT,__const) external _bHsuBaudrate_57_6K
00000001d380cc50 (__TEXT,__const) external _bHsuBaudrate_57_6K_4_0
00000001d380cc18 (__TEXT,__const) external _bHsuBaudrate_921_6K
00000001d380cc60 (__TEXT,__const) external _bHsuBaudrate_921_6K_4_0
00000001e2d20d00 (__DATA,__common) external _bSetPwdReqd
                 (undefined) external _bzero (from libSystem)
00000001d37a37c8 (__TEXT,__text) external _chkDynLockBytes
00000001d37a3898 (__TEXT,__text) external _chkReservedBytes
00000001e2d205b9 (__DATA,__data) external _consoleLogLevel
00000001d37a34f0 (__TEXT,__text) external _cpDynLockBytes
00000001d37a365c (__TEXT,__text) external _cpReservedBytes
00000001e2d2165c (__DATA,__common) external _dwDnldCurrentAPI
00000001e2d21658 (__DATA,__common) external _dwMemDumpStarAddress
00000001e2d21660 (__DATA,__bss) non-external _eMwLoggingInfo
00000001e2d20c18 (__DATA,__data) external _fALMPhaseInfoMul
00000001e2d21010 (__DATA,__common) external _gCBContext
00000001e2d20fe8 (__DATA,__common) external _gGetDebugInfoCtx
00000001e2d210c8 (__DATA,__common) external _gStateMachineCtx
00000001e2d2108b (__DATA,__common) external _gbControllerConfigType
00000001e2d205b8 (__DATA,__data) external _gbDualNfccBoard
00000001e2d21030 (__DATA,__common) external _gbIgnoreWkUpRet
00000001e2d20fe0 (__DATA,__common) external _gbPktLogging
00000001e2d20fd8 (__DATA,__common) external _gbReadWrite
00000001e2d20fdb (__DATA,__common) external _gbSkipNciInit
00000001e2d20fda (__DATA,__common) external _gbWakeUpByteCnt
00000001e2d2108a (__DATA,__common) external _gblinkType
00000001e2d20fd0 (__DATA,__common) external _gpLibCtx
