00000001e785b40c (__TEXT,__text) non-external _DiToMD5
00000001e785b78c (__TEXT,__text) non-external _DiToSHA1
00000001e783fddc (__TEXT,__text) external _DriverExecutableMain
000000021e87d110 (__AUTH_CONST,__const) external _IOBufferMemoryDescriptor_Class
000000021e87d3d0 (__AUTH_CONST,__const) external _IOCommandPool_Class
000000021e87d2d8 (__AUTH_CONST,__const) external _IOCommand_Class
000000021e87d4c8 (__AUTH_CONST,__const) external _IODMACommand_Class
000000021e87d678 (__AUTH_CONST,__const) external _IODataQueueDispatchSource_Class
00000001e783bd0c (__TEXT,__text) external _IODelay
000000021e87d828 (__AUTH_CONST,__const) external _IODispatchQueue_Class
000000021e87d9d8 (__AUTH_CONST,__const) external _IODispatchSource_Class
00000001e784036c (__TEXT,__text) external _IODriverKitTest
00000001e786daa8 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00000001e786dadc (__TEXT,__text) non-external _IODriverKitTest.cold.2
00000001e786db08 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00000001e786db3c (__TEXT,__text) non-external _IODriverKitTest.cold.4
00000001e786db68 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00000001e786db94 (__TEXT,__text) non-external _IODriverKitTest.cold.6
00000001e786dbc0 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00000001e786dbec (__TEXT,__text) non-external _IODriverKitTest.cold.8
000000021e87db88 (__AUTH_CONST,__const) external _IOEventLink_Class
00000001e783bcd8 (__TEXT,__text) external _IOFree
00000001e783bcfc (__TEXT,__text) external _IOFreeData
00000001e784033c (__TEXT,__text) external _IOGetExecutableSDKVersion
000000021e87e428 (__AUTH_CONST,__const) external _IOHistogramReporter_Class
000000021e87dd38 (__AUTH_CONST,__const) external _IOInterruptDispatchSource_Class
00000001e783bd18 (__TEXT,__text) non-external (was a private external) _IOLibInit
00000001e783efec (__TEXT,__text) external _IOLockAlloc
00000001e783f02c (__TEXT,__text) external _IOLockAssert
00000001e786d35c (__TEXT,__text) non-external _IOLockAssert.cold.1
00000001e783f010 (__TEXT,__text) external _IOLockFree
00000001e783f020 (__TEXT,__text) external _IOLockLock
00000001e783f024 (__TEXT,__text) external _IOLockTryLock
00000001e783f028 (__TEXT,__text) external _IOLockUnlock
00000001e783bb48 (__TEXT,__text) external _IOLog
00000001e783b9f4 (__TEXT,__text) external _IOLogBuffer
00000001e783bb74 (__TEXT,__text) external _IOLogv
00000001e783bcb8 (__TEXT,__text) external _IOMalloc
00000001e783bcdc (__TEXT,__text) external _IOMallocData
00000001e783bccc (__TEXT,__text) external _IOMallocZero
00000001e783bcf0 (__TEXT,__text) external _IOMallocZeroData
000000021e87dee8 (__AUTH_CONST,__const) external _IOMemoryDescriptor_Class
000000021e87e098 (__AUTH_CONST,__const) external _IOMemoryMap_Class
00000001e783bdb8 (__TEXT,__text) external _IOParseBootArgNumber
00000001e783c280 (__TEXT,__text) external _IOParseBootArgString
00000001e783dfd0 (__TEXT,__text) external _IORPCMessageFromMach
00000001e786d00c (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00000001e786d04c (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00000001e783f294 (__TEXT,__text) external _IORWLockAlloc
00000001e786d4bc (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00000001e783f2d8 (__TEXT,__text) external _IORWLockFree
00000001e783f31c (__TEXT,__text) external _IORWLockRead
00000001e786d4e8 (__TEXT,__text) non-external _IORWLockRead.cold.1
00000001e783f35c (__TEXT,__text) external _IORWLockUnlock
00000001e786d540 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00000001e783f33c (__TEXT,__text) external _IORWLockWrite
00000001e786d514 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00000001e783f0b4 (__TEXT,__text) external _IORecursiveConditionLockAlloc
00000001e783f0f0 (__TEXT,__text) external _IORecursiveConditionLockFree
00000001e783f1d8 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00000001e786d438 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00000001e783f100 (__TEXT,__text) external _IORecursiveConditionLockLock
00000001e786d388 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00000001e786d3b4 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00000001e783f21c (__TEXT,__text) external _IORecursiveConditionLockTryLock
00000001e786d464 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00000001e786d490 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00000001e783f168 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00000001e786d3e0 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00000001e786d40c (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00000001e783f06c (__TEXT,__text) external _IORecursiveLockAlloc
00000001e783f090 (__TEXT,__text) external _IORecursiveLockFree
00000001e783f0ac (__TEXT,__text) external _IORecursiveLockHaveLock
00000001e783f0a0 (__TEXT,__text) external _IORecursiveLockLock
00000001e783f0b0 (__TEXT,__text) external _IORecursiveLockTryLock
00000001e783f0a8 (__TEXT,__text) external _IORecursiveLockUnlock
000000021e87e4c8 (__AUTH_CONST,__const) external _IOReportLegend_Class
000000021e87e248 (__AUTH_CONST,__const) external _IOReporter_Class
000000021e87eaf8 (__AUTH_CONST,__const) external _IOServiceNotificationDispatchSource_Class
000000021e87eca8 (__AUTH_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
000000021e87e948 (__AUTH_CONST,__const) external _IOService_Class
000000021e87e2e8 (__AUTH_CONST,__const) external _IOSimpleReporter_Class
00000001e783bd00 (__TEXT,__text) external _IOSleep
000000021e87e388 (__AUTH_CONST,__const) external _IOStateReporter_Class
00000001e783f42c (__TEXT,__text) external _IOThreadLocalStorageGet
00000001e783f37c (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00000001e783f3d0 (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00000001e783f3f8 (__TEXT,__text) external _IOThreadLocalStorageSet
000000021e880aa8 (__AUTH_CONST,__const) external _IOThread_Class
000000021e87ee58 (__AUTH_CONST,__const) external _IOTimerDispatchSource_Class
000000021e87f008 (__AUTH_CONST,__const) external _IOUserClient_Class
00000001e783fe30 (__TEXT,__text) external _IOUserServerMain
00000001e786d8f0 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00000001e786da7c (__TEXT,__text) non-external _IOUserServerMain.cold.10
00000001e786d91c (__TEXT,__text) non-external _IOUserServerMain.cold.2
00000001e786d948 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00000001e786d974 (__TEXT,__text) non-external _IOUserServerMain.cold.4
00000001e786d9a0 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00000001e786d9cc (__TEXT,__text) non-external _IOUserServerMain.cold.6
00000001e786d9f8 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00000001e786da24 (__TEXT,__text) non-external _IOUserServerMain.cold.8
00000001e786da50 (__TEXT,__text) non-external _IOUserServerMain.cold.9
000000021e87f388 (__AUTH_CONST,__const) external _IOUserServer_Class
000000021cddf5c0 (__DATA_DIRTY,__common) external _IOVMPageSize
000000021e87f538 (__AUTH_CONST,__const) external _IOWorkGroup_Class
00000001e785b5f0 (__TEXT,__text) external _MD5Final
00000001e785b344 (__TEXT,__text) external _MD5Init
00000001e785b570 (__TEXT,__text) non-external _MD5ToDi
00000001e785b480 (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
000000021e87f6e8 (__AUTH_CONST,__const) external _OSAction_Class
000000021e87f0a8 (__AUTH_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
000000021e8807e8 (__AUTH_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00000001e784a69c (__TEXT,__text) external _OSArrayAppendValue
00000001e784a21c (__TEXT,__text) external _OSArrayApply
00000001e784a1b4 (__TEXT,__text) external _OSArrayCreate
00000001e7849694 (__TEXT,__text) external _OSArrayGetCount
00000001e784a744 (__TEXT,__text) external _OSArrayGetStringValue
00000001e784a7f4 (__TEXT,__text) external _OSArrayGetUInt64Value
00000001e784a6d0 (__TEXT,__text) external _OSArrayGetValue
00000001e784a694 (__TEXT,__text) external _OSArrayReplaceValue
00000001e784a770 (__TEXT,__text) external _OSArraySetStringValue
00000001e784a8fc (__TEXT,__text) external _OSArraySetUInt64Value
00000001e784a4bc (__TEXT,__text) external _OSArraySetValue
000000021e87f898 (__AUTH_CONST,__const) external _OSArray_Class
000000021e87f990 (__AUTH_CONST,__const) external _OSBoolean_Class
000000021e87fa88 (__AUTH_CONST,__const) external _OSBundle_Class
00000001e78481f0 (__TEXT,__text) external _OSCollectionTypeID
