                 (undefined) external _IdentifierNamespaceGuid (from SiriOntology)
                 (undefined) external _IdentifierNamespaceIntentName (from SiriOntology)
                 (undefined) external _OBJC_CLASS_$_CAT (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_IEEvent (from IntelligenceEngine)
                 (undefined) external _OBJC_CLASS_$_IEIntelligence (from IntelligenceEngine)
                 (undefined) external _OBJC_CLASS_$_INIntent (from Intents)
                 (undefined) external _OBJC_CLASS_$_INIntentResponse (from Intents)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSPropertyListSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_OS_dispatch_queue (from libSystem)
                 (undefined) external _OBJC_CLASS_$_OS_os_log (from libSystem)
                 (undefined) external _OBJC_CLASS_$_PatternExecutionDialog (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_PatternExecutionResult (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_SABaseCommand (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAUIAppPunchOut (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAUIButton (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAUICloseAssistant (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SAUIRepeatIt (from SAObjects)
                 (undefined) external _OBJC_CLASS_$_SKIDirectInvocation (from SiriKitInvocation)
                 (undefined) external _OBJC_CLASS_$_SKIDirectInvocationPayload (from SiriKitInvocation)
0000000299929fe0 (__AUTH,__objc_data) external _OBJC_CLASS_$_SocialConversationIntent
000000029992a090 (__AUTH,__objc_data) external _OBJC_CLASS_$_SocialConversationIntentResponse
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external _OBJC_METACLASS_$_INIntent (from Intents)
                 (undefined) external _OBJC_METACLASS_$_INIntentResponse (from Intents)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
000000029992bc18 (__AUTH,__data) external _OBJC_METACLASS_$_SocialConversationIntent
000000029992bc40 (__AUTH,__data) external _OBJC_METACLASS_$_SocialConversationIntentResponse
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
000000026c92a548 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026c92bbec (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026c92bc34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026c92bc34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026c92bca4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026c92d228 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026c92d238 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026c930ff8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026c932004 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026c93242c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026c9360b8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026c93fa58 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026c945068 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026c947bfc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000026c92a580 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c92bc08 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c92bc34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c92bc34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c92bc34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c92bc34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c92bc34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c92bc34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c92bc34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c92bc34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c92bc34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c92bc88 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c92bca4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c92d238 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c92d258 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c92f7b4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c931008 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c93fa74 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c945080 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c94f974 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c953970 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c9595a8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c969490 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c9718e4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000026c92bc78 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
000000026c92bc88 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
000000026c92f7b4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
000000026c931088 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
000000026c938d60 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
000000026c93dadc (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
000000026c93fb04 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
000000026c945104 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
000000026c947ca0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
000000026c94fb74 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
000000026c9539fc (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
000000026c959654 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
000000026c95ee38 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
000000026c969514 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
000000026c94fffc (__TEXT,__text) non-external _OUTLINED_FUNCTION_100
000000026c93fb94 (__TEXT,__text) non-external _OUTLINED_FUNCTION_101
000000026c95001c (__TEXT,__text) non-external _OUTLINED_FUNCTION_102
000000026c95003c (__TEXT,__text) non-external _OUTLINED_FUNCTION_103
000000026c95005c (__TEXT,__text) non-external _OUTLINED_FUNCTION_104
000000026c950074 (__TEXT,__text) non-external _OUTLINED_FUNCTION_105
000000026c92d258 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
000000026c92f7b4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
000000026c9310b0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
000000026c9360f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
000000026c936158 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
000000026c93dae8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
000000026c93dd3c (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
000000026c93fb14 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
000000026c945118 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
000000026c947cb8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
000000026c94f9f0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
000000026c959664 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
000000026c95f010 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
000000026c96952c (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
000000026c92bc78 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
000000026c9310d4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
000000026c936110 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
000000026c9361c0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
000000026c93db08 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
000000026c93dbf4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
000000026c93fb38 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
000000026c94512c (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
000000026c947cdc (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
000000026c953a1c (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
000000026c959678 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
000000026c962498 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
