00007ff841d647c0 (__DATA,__data) external _NDR_record
00007ff8003d04ff (__TEXT,__text) non-external __Xexception_raise
00007ff8003d05a7 (__TEXT,__text) non-external __Xexception_raise_state
00007ff8003d0696 (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff8003c2a20 (__TEXT,__text) external _____sigwait_nocancel
00007ff8003e0928 (__TEXT,__const) external ____kernelVersionNumber
00007ff8003e08f0 (__TEXT,__const) external ____kernelVersionString
00007ff8003c2a38 (__TEXT,__text) external ___abort_with_payload
00007ff8003bf27c (__TEXT,__text) external ___accept
00007ff8003c2a50 (__TEXT,__text) external ___accept_nocancel
00007ff8003c2a68 (__TEXT,__text) external ___access_extended
00007ff8003c2a80 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff8003be768 (__TEXT,__text) external ___bind
00007ff8003bb538 (__TEXT,__text) external ___bsdthread_create
00007ff8003b9cf4 (__TEXT,__text) external ___bsdthread_ctl
00007ff8003bcff8 (__TEXT,__text) external ___bsdthread_register
00007ff8003ba998 (__TEXT,__text) external ___bsdthread_terminate
00007ff8003c3f65 (__TEXT,__text) non-external ___bzero
00007ff8003c23d0 (__TEXT,__text) external ___carbon_delete
00007ff8003c2a98 (__TEXT,__text) external ___channel_get_info
00007ff8003c2ab0 (__TEXT,__text) external ___channel_get_opt
00007ff8003c2ac8 (__TEXT,__text) external ___channel_open
00007ff8003c2ae0 (__TEXT,__text) external ___channel_set_opt
00007ff8003c2af8 (__TEXT,__text) external ___channel_sync
00007ff8003bb4c8 (__TEXT,__text) external ___chmod
00007ff8003bcb84 (__TEXT,__text) external ___chmod_extended
00007ff8003b99b4 (__TEXT,__text) external ___close_nocancel
00007ff8003c2b10 (__TEXT,__text) external ___coalition
00007ff8003c2b28 (__TEXT,__text) external ___coalition_info
00007ff8003c2b40 (__TEXT,__text) external ___coalition_ledger
00007ff8003b9dbd (__TEXT,__text) external ___commpage_gettimeofday
00007ff8003b9dc4 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff8003bbc0c (__TEXT,__text) external ___connect
00007ff8003bba94 (__TEXT,__text) external ___connect_nocancel
00007ff8003c2b58 (__TEXT,__text) external ___copyfile
00007ff8003c2b70 (__TEXT,__text) external ___crossarch_trap
00007ff8003b8d9c (__TEXT,__text) external ___csrctl
00007ff8003c9b5f (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff8003c2b88 (__TEXT,__text) external ___debug_syscall_reject
00007ff8003c2ba0 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff8003c23e8 (__TEXT,__text) external ___delete
00007ff8003ba980 (__TEXT,__text) external ___disable_threadsignal
00007ff8003b8d03 (__TEXT,__text) external ___error
00007ff8003c2bb8 (__TEXT,__text) external ___execve
00007ff8003be2b0 (__TEXT,__text) external ___exit
00007ff8003bbe1c (__TEXT,__text) external ___fchmod
00007ff8003bccb8 (__TEXT,__text) external ___fchmod_extended
00007ff8003b8fa4 (__TEXT,__text) external ___fcntl
00007ff8003bba64 (__TEXT,__text) external ___fcntl_nocancel
00007ff8003be5d4 (__TEXT,__text) external ___fork
00007ff8003c2bd0 (__TEXT,__text) external ___fs_snapshot
00007ff8003bcca0 (__TEXT,__text) external ___fstat64_extended
00007ff8003c2be8 (__TEXT,__text) external ___fstat_extended
00007ff8003c2c00 (__TEXT,__text) external ___fsync_nocancel
00007ff8003bfdc0 (__TEXT,__text) external ___get_remove_counter
00007ff8003b8d1c (__TEXT,__text) external ___getattrlist
00007ff8003b9c7c (__TEXT,__text) external ___getdirentries64
00007ff8003bcb54 (__TEXT,__text) external ___gethostuuid
00007ff8003c1ed0 (__TEXT,__text) external ___getlogin
00007ff8003bbd0c (__TEXT,__text) external ___getpeername
00007ff8003b8970 (__TEXT,__text) external ___getpid
00007ff8003ba184 (__TEXT,__text) external ___getrlimit
00007ff8003c2c18 (__TEXT,__text) external ___getsgroups
00007ff8003be674 (__TEXT,__text) external ___getsockname
00007ff8003b9b88 (__TEXT,__text) external ___gettid
00007ff8003bb57d (__TEXT,__text) external ___gettimeofday
00007ff8003bb568 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff8003c2c30 (__TEXT,__text) external ___getwgroups
00007ff8003c2c48 (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff8003bb1bc (__TEXT,__text) external ___guarded_open_np
00007ff8003c2c60 (__TEXT,__text) external ___identitysvc
00007ff8003bb393 (__TEXT,__text) external ___inc_remove_counter
00007ff8003c1eb8 (__TEXT,__text) external ___initgroups
00007ff8003bbbf4 (__TEXT,__text) external ___ioctl
00007ff8003bbe80 (__TEXT,__text) external ___iopolicysys
00007ff8003c2c78 (__TEXT,__text) external ___kdebug_trace
00007ff8003ba808 (__TEXT,__text) external ___kdebug_trace64
00007ff8003c2c90 (__TEXT,__text) external ___kdebug_trace_string
00007ff8003bcd88 (__TEXT,__text) external ___kdebug_typefilter
00007ff8003e0998 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff8003e0960 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff8003bed30 (__TEXT,__text) external ___kill
00007ff8003bd530 (__TEXT,__text) external ___kqueue_workloop_ctl
00007ff8003bcd18 (__TEXT,__text) external ___lchown
00007ff8003bcd9f (__TEXT,__text) external ___libkernel_init
00007ff8003c4121 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff8003c4071 (__TEXT,__text) external ___libkernel_init_late
00007ff8003bcfe6 (__TEXT,__text) external ___libkernel_platform_init
00007ff8003b8966 (__TEXT,__text) external ___libkernel_voucher_init
00007ff8003bf264 (__TEXT,__text) external ___listen
00007ff8003c2ca8 (__TEXT,__text) external ___log_data
00007ff8003b9a14 (__TEXT,__text) external ___lseek
00007ff8003bcb9c (__TEXT,__text) external ___lstat64_extended
00007ff8003c2cc0 (__TEXT,__text) external ___lstat_extended
00007ff8003c2cd8 (__TEXT,__text) external ___mac_execve
00007ff8003c2cf0 (__TEXT,__text) external ___mac_get_fd
00007ff8003c2d08 (__TEXT,__text) external ___mac_get_file
00007ff8003c2d20 (__TEXT,__text) external ___mac_get_link
00007ff8003c2d38 (__TEXT,__text) external ___mac_get_mount
00007ff8003c2d50 (__TEXT,__text) external ___mac_get_pid
00007ff8003c2d68 (__TEXT,__text) external ___mac_get_proc
00007ff8003c2d80 (__TEXT,__text) external ___mac_getfsstat
00007ff8003c2d98 (__TEXT,__text) external ___mac_mount
00007ff8003c2db0 (__TEXT,__text) external ___mac_set_fd
00007ff8003c2dc8 (__TEXT,__text) external ___mac_set_file
00007ff8003c2de0 (__TEXT,__text) external ___mac_set_link
00007ff8003bf218 (__TEXT,__text) external ___mac_set_proc
00007ff8003b9aa8 (__TEXT,__text) external ___mac_syscall
00007ff8003c2df8 (__TEXT,__text) external ___mach_bridge_remote_time
00007ff8003c2e10 (__TEXT,__text) external ___mach_eventlink_signal
00007ff8003c2e28 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00007ff8003c2e40 (__TEXT,__text) external ___mach_eventlink_wait_until
00007ff8003c2e58 (__TEXT,__text) external ___map_with_linking_np
00007ff8003c2e70 (__TEXT,__text) external ___memorystatus_available_memory
00007ff8003c2e88 (__TEXT,__text) external ___microstackshot
00007ff8003c2ea0 (__TEXT,__text) external ___mkdir_extended
00007ff8003c2eb8 (__TEXT,__text) external ___mkfifo_extended
00007ff8003b9098 (__TEXT,__text) external ___mmap
00007ff8003bb550 (__TEXT,__text) external ___mprotect
00007ff8003c2ed0 (__TEXT,__text) external ___msgctl
00007ff8003c2ee8 (__TEXT,__text) external ___msgrcv_nocancel
00007ff8003c2f00 (__TEXT,__text) external ___msgsnd_nocancel
00007ff8003c2f18 (__TEXT,__text) external ___msgsys
00007ff8003bd4e4 (__TEXT,__text) external ___msync
00007ff8003c2f30 (__TEXT,__text) external ___msync_nocancel
00007ff8003bb2a4 (__TEXT,__text) external ___munmap
00007ff8003c2f48 (__TEXT,__text) external ___nexus_create
00007ff8003c2f60 (__TEXT,__text) external ___nexus_deregister
00007ff8003c2f78 (__TEXT,__text) external ___nexus_destroy
00007ff8003c2f90 (__TEXT,__text) external ___nexus_get_opt
00007ff8003c2fa8 (__TEXT,__text) external ___nexus_open
00007ff8003c2fc0 (__TEXT,__text) external ___nexus_register
00007ff8003c2fd8 (__TEXT,__text) external ___nexus_set_opt
00007ff8003b8d4c (__TEXT,__text) external ___open
00007ff8003bcc88 (__TEXT,__text) external ___open_dprotected_np
00007ff8003c23a0 (__TEXT,__text) external ___open_extended
00007ff8003b8fec (__TEXT,__text) external ___open_nocancel
00007ff8003b99cc (__TEXT,__text) external ___openat
00007ff8003c2ff0 (__TEXT,__text) external ___openat_dprotected_np
00007ff8003bcd48 (__TEXT,__text) external ___openat_nocancel
00007ff841d64888 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00007ff8003cdcbc (__TEXT,__text) external ___os_nexus_flow_add
00007ff8003cdd24 (__TEXT,__text) external ___os_nexus_flow_del
00007ff8003cdd8c (__TEXT,__text) external ___os_nexus_get_llink_info
00007ff8003cdb42 (__TEXT,__text) external ___os_nexus_ifattach
00007ff8003cdc27 (__TEXT,__text) external ___os_nexus_ifdetach
00007ff8003bb620 (__TEXT,__text) external ___persona
00007ff8003bd4fc (__TEXT,__text) external ___pipe
00007ff8003c3008 (__TEXT,__text) external ___poll_nocancel
00007ff8003be040 (__TEXT,__text) external ___posix_spawn
00007ff8003c3020 (__TEXT,__text) external ___pread_nocancel
00007ff8003c3038 (__TEXT,__text) external ___preadv_nocancel
00007ff8003b9618 (__TEXT,__text) external ___proc_info
00007ff8003c3050 (__TEXT,__text) external ___proc_info_extended_id
00007ff8003be6d4 (__TEXT,__text) external ___process_policy
00007ff8003bd32c (__TEXT,__text) external ___pselect
00007ff8003c3068 (__TEXT,__text) external ___pselect_nocancel
00007ff8003bb0fc (__TEXT,__text) external ___psynch_cvbroad
00007ff8003bb5c0 (__TEXT,__text) external ___psynch_cvclrprepost
00007ff8003bc198 (__TEXT,__text) external ___psynch_cvsignal
00007ff8003bb0e4 (__TEXT,__text) external ___psynch_cvwait
00007ff8003ba9b0 (__TEXT,__text) external ___psynch_mutexdrop
00007ff8003ba878 (__TEXT,__text) external ___psynch_mutexwait
00007ff8003c3080 (__TEXT,__text) external ___psynch_rw_downgrade
00007ff8003c3098 (__TEXT,__text) external ___psynch_rw_longrdlock
00007ff8003bc828 (__TEXT,__text) external ___psynch_rw_rdlock
00007ff8003bc810 (__TEXT,__text) external ___psynch_rw_unlock
00007ff8003c30b0 (__TEXT,__text) external ___psynch_rw_unlock2
00007ff8003c30c8 (__TEXT,__text) external ___psynch_rw_upgrade
00007ff8003bc7f8 (__TEXT,__text) external ___psynch_rw_wrlock
00007ff8003c30e0 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00007ff8003c2114 (__TEXT,__text) external ___pthread_canceled
00007ff8003bdd84 (__TEXT,__text) external ___pthread_chdir
00007ff8003bdd6c (__TEXT,__text) external ___pthread_fchdir
00007ff8003bf1e8 (__TEXT,__text) external ___pthread_kill
00007ff8003c30f8 (__TEXT,__text) external ___pthread_markcancel
00007ff8003be254 (__TEXT,__text) external ___pthread_sigmask
00007ff8003bf614 (__TEXT,__text) external ___ptrace
00007ff8003c3110 (__TEXT,__text) external ___pwrite_nocancel
00007ff8003c3128 (__TEXT,__text) external ___pwritev_nocancel
00007ff8003b9e58 (__TEXT,__text) external ___read_nocancel
00007ff8003c3140 (__TEXT,__text) external ___readv_nocancel
00007ff8003c3158 (__TEXT,__text) external ___reboot
00007ff8003c3170 (__TEXT,__text) external ___record_system_event
00007ff8003bbc3c (__TEXT,__text) external ___recvfrom
00007ff8003bbb0c (__TEXT,__text) external ___recvfrom_nocancel
00007ff8003bbf58 (__TEXT,__text) external ___recvmsg
00007ff8003c3188 (__TEXT,__text) external ___recvmsg_nocancel
00007ff843ad2340 (__DATA_DIRTY,__bss) non-external ___remove_counter
00007ff8003bb37c (__TEXT,__text) external ___rename
00007ff8003c31a0 (__TEXT,__text) external ___renameat
00007ff8003c31b8 (__TEXT,__text) external ___renameatx_np
00007ff8003bb3b8 (__TEXT,__text) external ___rmdir
00007ff8003c2cd8 (__TEXT,__text) external ___sandbox_me
00007ff8003c2d98 (__TEXT,__text) external ___sandbox_mm
00007ff8003b9aa8 (__TEXT,__text) external ___sandbox_ms
00007ff8003bf218 (__TEXT,__text) external ___sandbox_msp
00007ff8003c1278 (__TEXT,__text) external ___select
00007ff8003bbaf4 (__TEXT,__text) external ___select_nocancel
00007ff8003bff98 (__TEXT,__text) external ___sem_open
00007ff8003c31d0 (__TEXT,__text) external ___sem_wait_nocancel
00007ff8003c31e8 (__TEXT,__text) external ___semctl
00007ff8003c3200 (__TEXT,__text) external ___semsys
00007ff8003bafb4 (__TEXT,__text) external ___semwait_signal
00007ff8003be26c (__TEXT,__text) external ___semwait_signal_nocancel
00007ff8003bcd60 (__TEXT,__text) external ___sendmsg
