                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
00000002007a233c (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00000002007a2dbc (__TEXT,__const) external _libopenpam
00000002007a2860 (__TEXT,__text) external _misc_conv
00000002007a2568 (__TEXT,__text) external _pam_acct_mgmt
00000002007a2470 (__TEXT,__text) external _pam_authenticate
00000002007a25e4 (__TEXT,__text) external _pam_chauthtok
00000002007a26e0 (__TEXT,__text) external _pam_close_session
00000002007a23fc (__TEXT,__text) external _pam_end
00000002007a2aa8 (__TEXT,__text) external _pam_get_data
00000002007a27dc (__TEXT,__text) external _pam_get_item
00000002007a2cd8 (__TEXT,__text) external _pam_get_pass
00000002007a2bb8 (__TEXT,__text) external _pam_get_user
00000002007a29d0 (__TEXT,__text) external _pam_getenv
00000002007a2a40 (__TEXT,__text) external _pam_getenvlist
00000002007a2668 (__TEXT,__text) external _pam_open_session
00000002007a2c3c (__TEXT,__text) external _pam_prompt
00000002007a295c (__TEXT,__text) external _pam_putenv
00000002007a2b2c (__TEXT,__text) external _pam_set_data
00000002007a2758 (__TEXT,__text) external _pam_set_item
00000002007a24ec (__TEXT,__text) external _pam_setcred
00000002007a2370 (__TEXT,__text) external _pam_start
00000002007a28ec (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00000002007a22d8 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
00000002007a22e8 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
00000002007a2338 (__TEXT,__text) external _xlate_pam_shim_item_type
00000002007a2314 (__TEXT,__text) external _xlate_pam_shim_retval
00000002007a2300 (__TEXT,__text) external _xlate_pam_shim_session_flags
00000002007a230c (__TEXT,__text) external _xlate_pam_shim_setcred_flags
